S,E,I,R,M,epiweek
4902172.690560051,446.8844809539866,446.9011492932069,107.14285732014818,11.38095238095238,202015
4902039.599443316,486.40695686690526,426.38126289891085,219.00022632487315,13.612110592321981,202015
4901886.156922932,537.3655472369834,436.27671484861554,308.8998054362438,16.301009546008963,202015
4901701.138374486,607.8560719500136,468.01548176116324,388.60029031560805,19.389781486632284,202015
4901497.634313513,682.3969266234657,510.3571695174931,471.9909195027914,22.620670843028716,202015
4901326.847545006,713.5915034958248,529.1454878129342,589.2216545071951,26.193809176778,202015
4901131.7768103825,761.2190891526889,559.9204029018887,701.7925257225318,30.291171839105225,202015
4900903.657703553,830.281203403345,606.557752643102,809.8160662687316,34.68727413042464,202016
4900695.991597106,868.1443138161193,633.7551540795282,947.8503296647575,39.258605332995046,202016
4900496.987365076,891.2422046168296,652.6908912880601,1099.7463646912777,44.33317432612448,202016
4900294.667591386,913.1492493142956,669.8964007439803,1257.453714951964,49.833043603244874,202016
4900097.391403338,926.483037877002,681.2398460327216,1424.1232464605728,55.76246629040391,202016
4899916.832671446,922.1947706083431,681.2188461706468,1602.42040041379,62.33331135984363,202016
4899702.551700093,949.3407823873841,699.8762341506242,1763.922364068171,69.30891929898631,202016
4899483.624332398,975.7722462558769,717.4818874221384,1931.767230864397,76.35430305706359,202017
4899271.72711334,991.0111719239829,729.698463709302,2109.0656751600136,83.49757586473297,202017
4899026.671269243,1033.636423266374,758.7772562793825,2274.9665058673045,90.94854534248825,202017
4898773.879725579,1075.5471773420488,788.1028079293919,2448.6898931494466,98.78039599811248,202017
4898555.918217319,1078.1649408868948,793.5118876140447,2650.5523493343308,106.85260484371884,202017
4898351.314639931,1068.1615768635988,789.7258162852817,2860.825908837541,114.97205808188517,202017
4898121.703220371,1082.6856676568634,796.7257422349286,3060.913680262136,122.9716894738571,202017
4897899.163255341,1088.16095636579,802.6251911897558,3264.0074082290676,131.04318887305502,202018
4897688.887817004,1081.4914579549884,800.2514897217783,3474.921849023096,139.44738629509447,202018
4897480.4619273115,1074.345524538007,795.7852417017051,3686.4596820386664,147.94762440800957,202018
4897304.413520934,1039.3439539451133,849.4333968808643,3835.084332630214,156.7247956071656,202018
4897131.063613418,1007.9078439262313,802.0765854803062,4077.920228180563,166.03172899316084,202018
4896904.510846263,1030.527199535473,797.1017188371214,4277.050941932795,175.80929342986653,202018
4896691.535515436,1036.715761536992,786.3255412978838,4484.925043782976,185.49813794391943,202018
4896495.705831874,1026.2358778039177,773.6163354106045,4694.494442912521,194.94751199670623,202019
4896284.41759695,1031.7106941481804,772.1504144169646,4892.251854976481,204.46943950598452,202019
4896039.828836162,1066.476170987731,791.2780410350213,5073.331470382482,214.08548143134098,202019
4895831.398023402,1062.4334565409074,884.8226303782466,5182.0081715202605,224.33771815635964,202019
4895569.740493637,1107.2096397507714,927.6915873486288,5344.950106418258,235.40817284378306,202019
4895287.870097886,1161.976269199629,924.0896933728325,5564.358300292686,246.7056392470489,202019
4895041.761469211,1174.355932669685,909.4596565776486,5801.3924672131525,258.03047432650584,202019
4894787.972132011,1191.4987407943704,906.0035694715267,6030.142430563454,269.3831271572915,202020
4894524.758020651,1214.1189991041072,912.1716162925891,6253.143016435974,280.8083475147449,202020
4894265.419957199,1229.1192598986636,917.0726941964851,6480.774720636141,292.61336806763825,202020
4894027.980570498,1221.4973366426393,909.1092883462044,6721.658325130585,304.7544793805389,202020
4893749.098902681,1252.928659593729,925.3261352752961,6940.303766060097,317.34253638819047,202020
4893461.799636863,1286.26349108398,935.5185121161637,7171.009046274473,330.40931366050455,202020
4893164.6635014,1322.4525321041358,942.3012660441698,7411.9891417119625,343.59355873813973,202020
4892871.92878663,1348.1692777397352,964.7145133471109,7643.524610447194,356.6628118346075,202021
4892561.740018443,1385.0781123018958,993.2421869464786,7875.566224971794,369.3734573354005,202021
4892235.560964999,1429.8456414291509,1032.5161274493819,8105.1585756265795,381.91869049560023,202021
4891896.624790429,1477.9425555003238,1048.1623052381651,8367.690504573902,394.5798442585171,202021
4891549.769710887,1524.6149752585143,1086.5634648143393,8616.930744996374,407.1211040437596,202021
4891215.839056526,1551.0460186644623,1113.4289928042601,8885.351433552885,419.3344984522441,202021
4890875.852700274,1578.1915762921478,1144.1143628496457,9155.24295418149,431.59840640226514,202021
4890541.6627175445,1595.0968342945307,1161.2918517791036,9442.92153161268,444.0270647690798,202022
4890116.236917304,1692.0147303364063,1245.9202709279698,9674.216561190056,456.6115202408875,202022
4889706.363922931,1757.0222016825821,1288.4026334364996,9963.913922400528,469.29731954820045,202022
4889324.832142288,1784.403664409523,1301.2129243736679,10293.234855297262,481.31641363092393,202022
4888931.322597766,1817.7397475694981,1326.962217212531,10616.664204500737,492.3112329508104,202022
4888517.811567799,1863.220461727693,1364.4279480975856,10936.53845876281,503.0015636125216,202022
4888107.498704057,1897.5089229638925,1392.2667504681879,11273.891443905353,513.8341786050878,202022
4887662.838334822,1956.800908171923,1436.59594462027,11603.85946667724,524.9053457080424,202023
4887259.85000203,1967.5177860941449,1472.9672592647232,11948.326660733308,536.338291877595,202023
4886891.248730484,1944.8939629009014,1453.9502487729892,12347.588606705536,547.3184511362855,202023
4886511.702252446,1936.3191074882052,1442.6659231300857,12736.969379153095,557.3433377822411,202023
4886132.577590151,1928.9351134028616,1436.232249924807,13120.788187692166,566.4668588291815,202023
4885664.323261213,2003.9429247376943,1485.4137439125543,13455.972086936765,575.3479832004656,202023
4885234.501892857,2030.3728735727893,1506.9538543421236,13828.369533035553,584.8018461929539,202023
4884798.868295636,2057.279119468529,1528.304581832401,14206.032271744685,594.5157313195341,202024
4884337.677864594,2102.52087123029,1559.3919278902918,14580.581551477415,604.8277848091351,202024
4883870.321787493,2145.1433100059585,1589.118833998451,14964.780356032223,615.6357124714773,202024
4883319.819915412,2255.631893495868,1659.575674478304,15323.703357467586,626.2691591478209,202024
4882788.347540609,2328.734532297468,1712.3365215395622,15718.647426366519,636.933979188875,202024
4882147.008836933,2488.5159502346337,1821.1351124450937,16080.60913229794,647.7309680898912,202024
4881496.209203434,2627.8179659437656,1917.0647897820043,16485.43167130529,658.4763695365666,202024
4880847.675378952,2739.7353409327447,2001.8881911009198,16926.612624776022,669.0884642398136,202025
4880386.335386592,2661.153933672852,1969.268893236929,17488.907870712956,679.333915786663,202025
4879864.924768688,2651.3890708843373,1971.8719607077298,18007.645761529977,689.1684381905106,202025
4879192.509016791,2780.689184703138,2057.8618515541993,18454.96757953402,698.9723674184233,202025
4878571.225442771,2839.9802704698855,2104.0715690958905,18960.60730583154,709.1154118325138,202025
4877993.856448597,2848.550955345357,2113.7242353405995,19509.49066932032,719.377691397228,202025
4877416.101844574,2855.931056662417,2126.736068339778,20056.566428619233,729.6646018047228,202025
4876863.838369767,2838.7845745533277,2119.1921893287076,20623.30393352815,739.8809328231146,202026
4876211.242421063,2915.9345050800325,2166.478834632854,21141.849445320546,749.4947939042775,202026
4875390.510489558,3132.396378276724,2369.123952974074,21533.81238210629,759.1567970852396,202026
4874562.651989976,3315.5123023243227,2474.720826556814,22062.252509268666,769.8623718743519,202026
4873717.860596593,3480.7690019046386,2579.6618480899815,22625.399532956566,781.3090204556916,202026
4872923.55032152,3570.0636530942115,2640.1833940582974,23258.613066986698,792.589564339904,202026
4872279.110748848,3506.9599151647776,2615.121657567831,23980.2402923493,803.5673860687244,202026
4871316.428012393,3744.606676360563,2756.729714216557,24552.805915415858,814.4296816120559,202027
4870411.811403201,3886.289028993441,2861.2610926482503,25200.791728406533,824.846746748789,202027
4869550.347214869,3962.963269795268,2926.8295954983287,25909.72639490478,835.1335249305272,202027
4868667.511313102,4045.1142490678035,2993.116377538654,26633.43309137153,845.8249689185591,202027
4867600.722178305,4278.944011684344,3019.3835648402746,27429.232486016394,856.7177591530116,202027
4866777.007792284,4250.372411356335,3126.4101162693705,28163.36387350295,867.8458065864196,202027
4865926.562462174,4250.847419961604,3145.221711349528,28983.306998488933,879.0614080241029,202027
4865079.67500352,4247.988677503586,3158.640013506863,29808.49092899905,890.2053764694946,202028
4864071.192971315,4392.527934755042,3257.146950151473,30562.811665326994,901.320478450474,202028
4862965.821454253,4598.980265031092,3408.9239746694775,31298.501817047534,912.7724889985394,202028
4861812.366389687,4811.865047177883,3616.4186426937235,32019.286085198182,925.0638352429603,202028
4860637.624299197,5004.9816193371835,3731.7366100755544,32873.07948095029,937.5779904397467,202028
4859352.602276988,5263.344285771789,3899.1462734186434,33719.47028061464,950.4368832063617,202028
4858034.271821349,5505.038443125706,4063.774061910323,34618.203136667435,963.7125369480016,202028
4856530.213980294,5871.748007915353,4304.866626842527,35501.18640013673,976.9849848122046,202029
4855162.821571636,6047.482029637173,4447.253700908903,36537.00846433894,990.4342334795762,202029
4853692.213255359,6285.128397641604,4628.103479889598,37575.23816547438,1004.3167016364937,202029
4852194.230038215,6504.439277102585,4797.413026105565,38669.83633896455,1019.0813196119692,202029
4850649.493123978,6726.369673603183,4966.401449746361,39808.08223085743,1034.65352181462,202029
4849042.302112666,6964.730967592605,5145.136200378537,40981.69838318515,1051.132336178238,202029
4847163.560966595,7405.0044806151745,5120.60062723039,42427.458787639116,1068.3751379207938,202029
4845648.86628903,7436.438104141956,5297.0784932107645,43716.7355600777,1085.8815535397125,202030
4844052.514731326,7535.733343325454,5369.051690557652,45124.45141917807,1103.2488156128088,202030
4842421.230308067,7649.080511391348,5526.243113613727,46468.17591122981,1120.2701556985949,202030
4840676.087198766,7845.294418450365,5723.539678666791,47802.059541460745,1138.0191626564495,202030
4839003.373438329,7940.069038749024,5883.471474700364,49200.914818361955,1157.1712298591892,202030
4837102.64646786,8224.626415757042,6090.975767367759,50589.485847165066,1177.2655018503024,202030
4835344.826616641,8327.496162235966,6185.839054774082,52128.593306126284,1198.2448602227016,202030
4833429.693693286,8554.666495579218,6353.504295354462,53627.10592839659,1220.0295873841542,202031
4831614.792610185,8649.440672699044,6446.682558240728,55231.43320640044,1242.6509524749551,202031
4829878.307141599,8655.633400764857,6463.520463103404,56922.46457295596,1265.0744215770255,202031
4828107.356273454,8692.06760024826,6510.556630058668,58587.61036695967,1287.4091292806575,202031
4826247.046928467,8803.034302149676,6589.5574530755885,60234.690151656396,1310.6711646527942,202031
4824495.008712205,8795.415668027737,6589.3716836157455,61971.36420217565,1333.8397339779394,202031
4822589.439904167,8928.76606183216,6689.237931792587,63620.73985011056,1356.816252098998,202031
4821018.883172461,8733.507264458294,6587.282936897534,65464.821574503796,1380.5050516813533,202032
4819362.223253659,8651.832806636015,6531.684191555893,67234.58877251473,1404.670975635777,202032
4817936.428666113,8375.374428297499,6366.161395532198,69078.29377050849,1428.7417395498162,202032
4816272.938553814,8364.897895535614,6336.205363545011,70758.7415012605,1452.2166858455485,202032
4814656.364413012,8314.1819264533,6404.6889385180375,72334.49263302895,1475.2720889878253,202032
4813039.105500497,8272.989203520203,6397.73399778485,73977.18606773554,1497.9852304621104,202032
4811665.034737819,8018.199021449259,6193.850734813576,75787.58421936343,1520.3312865538858,202032
4810045.621697702,8032.487171845007,6157.234376397469,77406.71161459998,1542.945139454013,202033
4808590.662444705,7894.852894606897,6039.94279048416,79093.1086604698,1566.4332097327667,202033
4807082.446010138,7830.560540536003,5961.467437975682,80719.09435402868,1591.4316573204499,202033
4805846.791075499,7530.52776138623,5756.91047355448,82434.04954432332,1616.7211452365518,202033
4804690.540359006,7212.8734323084955,5535.149077794078,84105.64239696122,1640.794733929539,202033
4803507.56274898,6977.13284542016,5360.486077591558,85676.44326445163,1663.3750635561803,202033
4802259.762285894,6843.086608361239,5248.287323187925,87149.17941959985,1684.6843629563677,202033
4801158.358280242,6600.439361500831,5070.917237996894,88650.0066105969,1705.2785096622945,202034
4799807.613991467,6628.299710583888,5061.061161193469,89962.29941042144,1725.7257263335011,202034
4798513.527791071,6599.9661330723375,5104.209679915487,91220.63583341836,1746.660562523108,202034
4797369.941407919,6439.709248122445,4963.886772807513,92644.53237680257,1766.9301943482933,202034
4796336.609653712,6208.4916738080055,4789.628018980113,94063.9375075598,1786.3331459393821,202034
4795127.870105997,6178.2472192018,4666.491915253908,95406.42076612488,1805.9699934224523,202034
4794268.932770957,5836.303412580973,4452.822178999469,96801.36128866069,1825.5803488016684,202034
4793228.317097175,5721.2894944629015,4361.614822711183,98029.29486209554,1844.4837235548428,202035
4792210.996721287,5606.03758316131,4278.442362554054,99226.53992597398,1862.9834070228376,202035
4790777.906078905,5889.402047923675,4396.789076753961,100239.7736727462,1881.1291236711322,202035
4789640.3312522825,5853.20999147199,4457.75331061606,101335.4052237393,1898.300221889681,202035
4788622.860163205,5714.145400469714,4361.92930935745,102570.81754267612,1915.2475842908673,202035
4787483.492871685,5711.049371649181,4348.007262307609,103709.72898989634,1932.721504461069,202035
4786258.284894424,5786.53437687366,4386.021298405931,104803.1292720494,1951.0301582469235,202035
4785316.851961887,5590.55905583178,4261.1192378598935,106046.60838079319,1969.8613636274151,202036
4784033.433646953,5740.815153140188,4334.796634023369,107087.55217898145,1988.4023869024884,202036
4782979.676280811,5655.08983054712,4265.911042383713,108278.34050535111,2005.9823409065082,202036
4781777.480557098,5719.858999519938,4303.694451847767,109361.60550205583,2022.3604894781681,202036
4780574.188140014,5774.153748263634,4406.472667551245,110391.67785595721,2038.5075882142296,202036
4779412.081720163,5780.820686703033,4400.0432948822845,111536.50311177141,2055.5511864809646,202036
4778331.743650313,5712.002628733834,4349.218056766153,112718.5812356898,2073.454428498459,202036
4777180.236869762,5720.3365486587,4345.106812253764,113847.84242904733,2091.4773402790183,202037
4776270.660365839,5507.454365193719,4207.381116187501,115090.66252854052,2108.8416242398102,202037
4775310.521499086,5379.105492615022,4114.6133736314805,116255.44117983853,2125.3184548285176,202037
4774293.695396074,5325.5267409987055,4062.2615156898,117361.95867678932,2141.5576704478744,202037
4773219.187131166,5334.098512896866,4052.400390604492,118421.8525249839,2157.46144034869,202037
4772285.097320638,5213.607559586285,3973.7806349899997,119539.24736557892,2173.2671192075336,202037
4771121.371116305,5323.620055979612,4030.794369567726,120519.85560302761,2189.3588551205808,202037
4770051.75828271,5328.143880984465,4031.878248524659,121567.74207915757,2205.4775086231693,202038
4768934.347735177,5375.291976205057,4062.05968091595,122591.89510116821,2221.4055065334946,202038
4768148.947669423,5112.405010606888,3915.004856633737,123771.0353272781,2237.6071360570804,202038
4767375.884321584,4885.950085905446,3759.78321651406,124909.1863696989,2254.1960062965054,202038
4766426.4508838225,4860.707893791268,3717.130098856746,125910.51442416516,2270.196699363815,202038
4765591.726450584,4735.930681502437,3628.560419456414,126943.20602164429,2285.576426812589,202038
4764766.730670703,4624.964542681853,3544.664900798826,127948.62430255904,2300.0155832578,202038
4763852.333165773,4614.956187203505,3425.858532391908,128978.51366281044,2313.3384518207176,202039
4763107.53239782,4453.270555783955,3350.609190925277,129947.57301260786,2326.0148428630127,202039
4762237.167435129,4434.934115624612,3346.5277928899764,130828.11678474421,2338.253871611781,202039
4761341.900235519,4442.553116863388,3357.6813468374003,131692.03960624262,2350.8256945371672,202039
4760092.076536455,4771.405250456007,3595.928402987995,132361.8306378551,2363.759172244498,202039
4759182.028594308,4730.434699562671,3358.851625653427,133537.37627187272,2376.3088086025623,202039
4758187.952068141,4774.4880698947245,3468.5843339725584,134365.49936007438,2388.47616791658,202039
4757269.263404228,4741.865110943849,3498.921348774079,135274.3031820949,2400.6469539580357,202040
4756264.803686236,4793.061187464737,3565.665060431022,136148.67892580578,2412.791140060569,202040
4755188.49335197,4900.216000039795,3654.790086175075,137016.20712871742,2425.29343309543,202040
4754174.04062665,4931.647610889896,3694.898415384706,137945.90294672834,2438.510400345229,202040
4753219.681589361,4902.5943780662665,3656.4780120020323,138954.35178543502,2451.8942351339674,202040
4752054.401027208,5070.708913583804,3777.8214701695815,139817.7117093957,2464.356879640734,202040
4751113.797597216,5004.033645613198,3751.245697863817,140840.01594973856,2475.9071095662666,202040
4750155.037585947,4966.173262731884,3795.4797872560443,141781.08889399367,2487.2204700695843,202041
4749161.596915151,4966.410145149165,3788.734811870141,142769.82393221083,2498.434195616531,202041
4748176.757603687,4958.789086638886,3777.1878405876537,143762.95055311488,2509.3149159693107,202041
4747227.779292514,4919.97391207496,3746.5154896217923,144770.41892152748,2520.312384259886,202041
4746095.270818843,5054.98837434067,3819.3779996803396,145683.02412545608,2532.3386816785655,202041
4745110.4723570505,5031.17403903105,3782.4836930398174,146716.13198897478,2544.737921902435,202041
4744106.746385222,5029.030080164292,3795.7016480404427,147696.5932319174,2556.9286546543403,202041
4743109.197484926,5021.647573595201,3801.9043510819956,148683.0829627747,2569.1676276205803,202042
4742046.550612441,5074.748098918519,3841.50789675581,149640.8122611312,2581.381130752236,202042
4740972.610071706,5128.323493942893,3848.9224485804334,150642.00048103614,2593.1435047339287,202042
4739898.377365929,5172.613271208136,3894.4147629584554,151614.87903791622,2604.7155619863006,202042
4739163.196165823,4900.917194562686,3736.8663378923056,152766.75502770112,2617.2652740183516,202042
4738094.925112592,4980.924360236633,3758.6402098246426,153719.56347544995,2630.9468418945457,202042
4737032.278322456,5041.406756636767,3798.113407062723,154668.3988951212,2644.8026187206883,202042
4735964.913915345,5095.221708015763,3842.4541845367617,155623.94098701523,2658.46920508497,202043
4734859.536482641,5173.801397000109,3900.9486583098665,156578.55422192224,2672.1592401259854,202043
4733851.649705465,5149.520506100789,3900.9556895834166,157596.99914069974,2685.874958149357,202043
4732767.613130422,5198.81116864495,3936.107005488919,158582.87990892364,2699.5887865182704,202043
4730975.835205078,5883.902260812758,4463.322137632585,159148.52995765634,2713.41043881873,202043
4729679.973081596,5992.247905317302,4536.320644126485,160248.6669894536,2727.7913795045547,202043
4728354.60511348,6107.737379812023,4617.802932388435,161362.375324038,2742.479250280186,202043
