S,E,I,R,M,epiweek
7278450.830253377,87.14285714285714,135.22510218622884,40.51607300864119,3.2857142857142856,202014
7278378.952083428,109.81235349801361,159.6918740084006,64.38039726645333,4.163291798773848,202014
7278308.989497548,122.29534797694318,202.11395245255113,78.36892137437653,5.232280648548064,202014
7278234.003201707,133.78521259790932,258.534085821175,84.08984130849639,6.587658565554647,202014
7278145.313564767,151.27500395008633,282.73352968158076,129.49735013612894,8.180551465974936,202014
7278049.699831716,167.707860261646,355.48404660539643,134.04989761827534,10.058363799516941,202014
7277936.356495825,191.3205153262594,385.50325264510633,191.4755751056487,12.344161099056535,202014
7277811.5694245165,215.22878105926304,474.4011557767701,200.69987322349363,15.100765424477977,202015
7277681.949933619,232.93016803385373,498.929994869348,285.02156960251165,18.168333874932244,202015
7277552.243584796,243.7600124209627,524.6689080279156,374.8716968234112,21.45579793189993,202015
7277414.263881349,257.1924310134783,639.9501857233953,380.2823856634248,25.311116249955834,202015
7277253.195037149,283.4256251719834,704.5783822266939,446.0413094050651,29.759646046515176,202015
7277103.512409965,290.25175352192406,762.0401119518319,526.5773326586036,34.618391901843786,202015
7276928.8948073,313.661053571951,763.6062807240608,670.9417380368606,39.896120366185436,202015
7276760.160794065,323.3400732425906,776.7279976123112,811.1857838618478,45.585351216463906,202016
7276589.178251792,331.0173187666546,791.8339958061761,953.3615272554171,51.608906378585615,202016
7276422.780551435,332.3145294507992,840.5058048092436,1063.4054151727346,57.99369913019481,202016
7276247.785274061,340.0136239688478,907.4363877761731,1156.9354557116899,64.82925848036287,202016
7276058.357133638,355.91282750344067,950.0620082056898,1280.5783346599721,72.08969599109955,202016
7275867.281758809,367.1486487014597,1035.2583480484288,1367.4582910288213,79.8529534097096,202016
7275671.456844698,377.20583720698824,1041.3198136595915,1539.0481841824676,87.96932025047485,202016
7275475.7713420885,383.263257848297,1053.4588009114411,1708.3475848378087,96.15901431056251,202017
7275297.218465077,373.1052808784976,1078.167132785175,1864.009148051197,104.49997320471121,202017
7275104.72006655,378.1969082234721,1151.5149970572004,1969.3504200778734,113.21760808704934,202017
7274905.222541668,387.104955855885,1248.9577560735277,2053.1143467653023,122.60039963266217,202017
7274698.442611674,398.2399424806144,1340.292500970388,2147.3046004456883,132.72034442463055,202017
