S,E,I,R,M,epiweek
39511612.60673632,156.09523809523807,360.38973691546335,85.717812479799,8.19047619047619,202013
39511480.91432677,199.2413981803479,447.0846479702941,85.72528773214985,10.034339342555423,202013
39511331.024600565,239.89416837270355,542.8245622261777,97.01496470347537,12.241704127703418,202013
39511157.29744837,283.6591526459367,669.9513663001784,97.01496479473606,15.077067892494954,202013
39510910.83192199,367.41349868321873,797.9709050896513,128.1735772393855,18.610097003560515,202013
39510637.11489191,440.0491732604424,965.3235816951589,157.65274166901813,22.859611468631115,202013
39510369.89298037,479.14991186943536,1187.5901017876272,157.65275803307745,28.714247948542614,202013
39510041.37176986,549.6327211262462,1225.449606828886,370.464582374806,36.081319816049906,202014
39509612.944314465,672.235562587502,1367.3272407765746,526.1727223740672,44.32015979957713,202014
39509154.34606984,770.4683368423701,1546.695794946659,697.8979438563109,53.591854514885476,202014
39508630.743039116,881.4064935319652,1733.4409768511784,913.3811968305934,64.02829367674572,202014
39508030.56777081,1008.6195868292706,1880.8722665637374,1226.9076197563534,76.03275604644759,202014
39507386.97453766,1120.1405911265197,2059.924099786006,1566.3229544712833,89.63781695716877,202014
39506743.369911276,1187.2034464608562,2197.6954528090887,1990.3821766410604,104.34901281890477,202014
39505889.94642385,1396.3348440918296,2594.8479657423427,2220.8596870841943,121.01107923916871,202015
39505095.22752411,1474.6787302647829,2838.0597461660914,2675.097868303432,139.93613116592542,202015
39504218.00229752,1587.5614603938984,3126.7273066923262,3130.1123035918135,160.5966318125611,202015
39503255.77767157,1724.2143941116954,3552.718718085532,3506.560112580592,183.72910366324618,202015
39502320.67195189,1784.4713459222287,3896.363422892003,4011.9437639497096,209.54951535747014,202015
39501293.20342468,1892.9001979180875,4136.807252778532,4662.714562652311,237.37456198530492,202015
39500295.57704625,1934.0257818662528,4246.720782537555,5480.253420761763,266.42296859522213,202015
39499227.43639091,2015.11957506784,4432.2250979991895,6251.728293962938,296.49064207259477,202016
39498138.50173801,2080.5947770325142,4610.243111065708,7065.014318173268,328.6460557259045,202016
39496972.498222396,2182.422561762541,4976.315959679339,7728.211849328968,363.55140683946803,202016
39495790.091435455,2257.7739577660445,5486.460525486762,8287.014860852614,401.6592204459239,202016
39494656.99055032,2264.3669017734005,5996.460407937281,8861.682760041154,443.4993799382167,202016
39493405.58954132,2360.997285914295,6421.468845552777,9546.229983828867,488.7143433910866,202016
39492118.41427249,2447.1259115627513,6761.492687034296,10359.252183146098,536.7149457850087,202016
39490883.57393874,2456.8620904838663,6905.290487821329,11390.785968212425,586.4875147498371,202017
39489535.84574887,2551.580098419616,7029.505602327058,12468.859565040777,637.2089853465432,202017
39488169.13590281,2624.908524800529,7297.546577217568,13442.032666770343,689.3763284133903,202017
39486771.804608405,2696.206509398996,8036.400968321538,13973.366020928583,745.2218929583188,202017
39485326.32400404,2775.2122821370467,8428.702812782638,14887.582687730528,805.1782133210497,202017
39483866.584262066,2834.507497127652,8860.256371318756,15793.510256051337,868.1416134491114,202017
39482430.57815361,2851.046413161955,9167.550412945244,16840.022936241236,933.8020840539538,202017
39481134.824344754,2748.2314973617667,8997.583291220682,18342.40252557944,999.958341096011,202018
39479702.14342265,2795.148105330517,9141.48284832113,19518.22193650302,1066.003687208988,202018
39478291.645791456,2795.102257994924,7292.6656940890825,22711.731388395532,1131.8548680769088,202018
39476770.58330693,2893.3560973880767,7421.419258709945,23937.164562755155,1200.4767742236504,202018
39475253.64753017,2949.6978008122555,7549.080048112045,25200.316577716076,1270.258043203117,202018
39473727.19691738,2992.5188040945573,7855.500770955889,26305.696632386913,1342.086875197006,202018
39472148.83765558,3058.283776345294,8034.218444673637,27565.50451985475,1416.1556035604694,202018
39470570.10493924,3096.417656116313,7895.790963964215,29169.625471385487,1491.0609693069493,202019
39469028.15696061,3091.1542172900085,7886.147416294099,30651.52562736415,1566.0157784523926,202019
39467348.52353456,3197.8028455030203,8056.594405681727,31978.368171808313,1641.711042452767,202019
39465634.36384018,3288.0529177218427,7991.353284636396,33591.35148536756,1717.8784721048933,202019
39463910.02933008,3350.5659914731878,7896.073395434859,35273.04183296154,1793.2894500567502,202019
39462245.17635572,3342.0951702203206,7881.132878558925,36886.37536311966,1868.2202323863617,202019
39460404.91212934,3474.3034538604397,7755.81356855792,38645.563714258795,1942.4071339800312,202019
39458656.380717136,3482.924572485489,7710.677508125247,40357.169361329485,2015.8478409268464,202020
39456973.76034129,3437.3320755803543,7826.068231302044,41896.16848326624,2089.670868565934,202020
39455270.57007659,3426.1574476097817,7996.6711845846985,43364.756049265525,2164.8452419470764,202020
39453567.869851,3415.287671269309,7645.839461524836,45354.939918090204,2239.0630981136446,202020
39451887.65737775,3393.661161212461,7640.796631375121,46989.21903992033,2311.665789742244,202020
39450191.546789445,3392.730421406343,7590.66208105628,48664.07037786497,2383.9903302248085,202020
39448365.372641005,3495.002936699947,7605.600542733729,50300.90570570678,2456.1181738518158,202020
39446590.81866221,3516.0808546011954,7585.640608240441,52002.21083517166,2528.2490397750203,202021
39444830.579229996,3517.1694268533624,7520.51987795393,53754.756687013796,2599.97477818384,202021
39442954.55493382,3611.3247309969465,7741.058665246245,55243.6127526882,2672.448917245437,202021
39441196.39440121,3573.9447773717716,7761.233764112787,56945.34011341052,2746.0869438966397,202021
39439323.44611096,3641.5824238119453,7771.24664931609,58666.89948503652,2819.825330880616,202021
39437445.50831423,3685.645935158986,7686.312144601788,60512.33636079012,2893.197245218754,202021
39435498.419438526,3768.438641307125,7776.4464751036785,62213.08657957614,2966.6088654875284,202021
