S,E,I,R,M,epiweek
5757861.728450081,219.04762803195015,527.8370787164632,116.67255745564034,10.714285714285712,202014
5757714.56179931,249.05069358980447,570.9249624546914,188.32304370005357,13.139500945110735,202014
5757550.899003263,280.7848780879198,681.5384088943031,206.70006581174388,16.077643943343148,202014
5757368.370288536,314.72751870574785,777.3522772477821,255.85806372455662,19.691851786032593,202014
5757167.532253234,350.1728213037612,938.4901079855949,255.85806422511808,23.946753251657597,202014
5756943.16627799,389.86750208307103,1063.0259063511135,311.02272704162493,28.917586533887444,202014
5756705.003931512,424.9064409485542,1206.596259138064,364.9372890809674,34.556079320378316,202014
5756449.70509086,458.469132969522,1181.285022169974,605.6671233783273,40.87363062145183,202015
5756195.361979826,478.3254110010805,1188.7781442204312,825.7602313605228,47.77423359084981,202015
5755930.979407443,499.6453918410353,1410.7000257088102,839.0949414471454,55.58023355978993,202015
5755658.665088512,518.076762452079,1521.6136655968503,973.254092275511,64.39039116326859,202015
5755340.917970691,564.3269944741493,1516.8946306472824,1239.6204016458682,74.2400025413274,202015
5755032.890312328,585.8322488026653,1680.0773251839569,1351.7688499591086,85.43126372503535,202015
5754708.710358905,611.5014369055992,1836.489489652676,1481.5581584269496,97.74055610948041,202015
5754368.210279719,639.558443056556,1931.6816025478042,1685.6205679619586,110.92910671331254,202016
5754017.83437306,664.4792449560588,2047.274972297656,1881.5540579724207,124.85735171204996,202016
5753678.690010758,670.7350782895909,2162.841529562537,2084.13304548184,139.60033590609112,202016
5753326.356644032,684.717156559563,2285.0832476264995,2284.6695507545355,155.1734010257634,202016
5752978.0382921975,689.9667186732592,2400.677446309648,2495.734498453964,171.58304436355695,202016
5752625.825591933,695.8159862913758,2434.530009658577,2791.3169630747357,188.5114490405638,202016
5752269.464713876,702.7557388646632,2495.731039792094,3062.2730473959227,205.77546007005083,202016
5751913.470796623,706.5751103493515,2536.376533494637,3356.1822751696463,223.39528436167336,202017
5751553.561519254,712.486384827672,2692.5664343130575,3535.6771382866946,241.7085233169052,202017
5751195.397507256,714.5151644134147,2814.706769419583,3750.3825619617646,260.997996947159,202017
5750833.309170202,718.9011193729726,2902.7166406388383,4000.0482374829103,281.02483230040804,202017
5750474.436731516,719.1888073558788,3093.1487257348526,4147.194583402832,302.03115198745013,202017
5750052.288072106,769.5494517329597,3440.651334304776,4147.194583402832,326.3165584497538,202017
5749628.187505923,800.373169868302,3410.149054235642,4544.295486023816,352.99478394617717,202017
5749217.087408837,808.9849327331527,3348.823540703545,4981.784732289691,379.31938543398536,202018
5748788.835009367,827.8837225103866,3397.5426201074597,5316.137605159404,405.6010428530583,202018
5748351.771643525,846.103369943173,3403.502723451618,5702.527823525502,432.0944395523327,202018
5747903.058534447,866.7105424003524,3501.1335094699816,6006.0998769617345,458.9975367189093,202018
5747471.483240244,864.7575550809523,3366.603699425675,6547.41064531336,485.7448599341948,202018
5747016.015572229,883.4550380169163,3488.6062956254636,6835.464251275983,512.4588428506822,202018
5746566.975843647,888.8715375097255,3409.2444857857568,7331.577668944197,539.3304641124952,202018
5746122.668403621,888.639764055153,3378.8527367019187,7780.058454586929,565.7806410337837,202019
5745690.968418654,878.5028708895053,3330.1049210343854,8244.501238367533,591.9225510528232,202019
5745229.952238199,896.4601336362756,3519.3012529061066,8471.67178227027,618.6145929858416,202019
5744764.827222562,909.4205351138604,3451.9894564586884,8963.992963014494,645.7698228485589,202019
5744292.868876009,923.4604774397517,3494.3542835125368,9352.474909054254,672.8414539816961,202019
5743816.209594392,931.6040544316319,2752.9590472254254,10535.76931932178,699.4579846264469,202019
5743331.200374078,946.4243474199658,2680.5921796871708,11051.509901474325,726.2731973386278,202019
5742853.353321017,950.3112805754764,2656.2421360571957,11523.46982981507,752.6234325342006,202020
5742402.951380339,930.4566877047447,2603.453198010119,12020.537146090195,778.6015878540758,202020
5741947.444703746,922.5798223752204,2540.7545385652647,12521.221995241083,803.9989400711138,202020
5741499.404033176,913.1138175777079,2680.5098366380257,12813.170210438058,829.8021021695805,202020
5741045.168626824,910.8412907255852,2574.441003327629,13349.812308471603,855.7367706499181,202020
5740658.779764365,855.0690467343321,2294.8982142420255,14047.51150674586,879.7414679113765,202020
5740270.060108263,825.5535805838331,2449.0540267146484,14288.136747451668,903.1955369860977,202020
5739878.377979673,809.5988566601188,2540.5995060951327,14579.569516022442,927.8541415485201,202021
5739494.556950884,793.0862943700921,2497.1480293753184,14998.473436276763,952.7352890940274,202021
5739117.33573774,778.2520302004498,2511.487801929507,15351.443778031968,977.4806520985708,202021
5738744.215529895,766.233497933759,2569.247306089225,15653.71716389549,1002.5865021864115,202021
5738377.302272147,753.3322702340906,2569.5870268876533,16007.800971460576,1027.9774592715535,202021
5738025.739523133,733.1791597615473,2424.8243539744103,16499.62974360271,1052.627219528331,202021
5737653.661955663,737.4480676936016,2386.277309159227,16882.23062207478,1076.3820454098397,202021
5737309.19611507,718.3240942380396,2362.251042461078,17246.38941619002,1099.8393320405162,202022
5736972.722870669,700.3967104360673,2323.7022626005332,17616.193874415672,1122.9842818780455,202022
5736640.5420426885,685.4493657027875,2164.572931835527,18100.308384349824,1145.1272754235429,202022
5736330.075277012,660.5897510155426,2280.343226523465,18297.89230248057,1167.0994429692219,202022
5736022.249477444,643.3195194904567,2299.3529194950215,18581.351558398015,1189.7265251724016,202022
5735693.132883543,646.6162150543888,1774.6265023791875,19409.79727340279,1211.8271256199007,202022
5735377.443371038,640.6204477194814,1774.7181647626503,19708.71420753676,1234.503808942331,202022
5735063.070445597,636.1776239557199,1767.1299746571194,20012.499023667286,1257.1229321216015,202023
5734742.349281285,638.4519493409169,1755.8660901299343,20319.713633531075,1279.6190457123782,202023
5734431.327683898,632.1559615227254,1729.6800626234408,20640.95801313407,1301.8782788210285,202023
5734120.224053481,627.8333273324397,1610.3324575214253,21054.42953141522,1323.1806302495627,202023
5733814.085650538,621.9043550596941,1587.8897322077823,21368.51143888215,1343.6088233117455,202023
5733518.781130302,608.7621458985377,1393.9542009224394,21851.90912405886,1362.5933988178092,202023
5733233.866921202,592.6490676602396,1248.6882210240062,22281.364414291344,1379.4313758220437,202023
5732955.503508365,578.1300655359272,1162.9848876946774,22644.56606258611,1394.8154758190744,202024
5732676.940719427,570.0599464857387,1189.3420205113434,22889.806417410196,1409.850896166086,202024
5732405.320985395,558.919258607885,1103.6785655240392,23243.61016640532,1424.4710240668446,202024
5732144.90082476,543.3911757092078,1017.9155137028723,23591.796630486522,1437.9958553412673,202024
5731903.328671208,519.655297384778,1014.204847966022,23847.8274739086,1450.9837095326668,202024
5731656.887743391,507.9953082683041,898.6606119039494,24208.924125936373,1463.5322105000687,202024
5731437.393930338,481.20566360755794,940.3865978568273,24400.885117430174,1476.1286907670387,202024
5731208.882278607,472.0137994963371,977.0505076005917,24589.156462257375,1488.8969520385156,202025
5730964.326489479,478.91825767030696,999.0234691599992,24792.024553552947,1501.7072301371154,202025
5730743.075117621,464.3504918161777,973.3144966595661,25040.766451206815,1514.4934426969162,202025
5730506.4204718005,466.7903394337602,867.9537223623333,25368.386621360012,1526.4488450438416,202025
5730286.898634464,454.8533052529579,781.4557531407094,25675.517683408412,1537.2746237354415,202025
5730083.488446006,435.6401342849877,745.4056726832914,25924.09899947469,1547.3667475516954,202025
5729904.32461959,404.58823416089444,689.6462698869551,26180.306483808028,1557.134392554198,202025
5729712.620498922,396.07935960635376,682.9242137931788,26377.571862543446,1566.804065135545,202026
5729518.008245999,392.8431040134439,647.0431930096408,26601.909950883222,1576.195506095214,202026
5729324.025179854,390.8576867996291,640.2890451102496,26795.491407241036,1585.3366809958018,202026
5729129.332629281,389.7908672847245,609.6346078223094,27013.2433467124,1593.9985489001135,202026
5728930.546457645,392.2252002868978,553.2231569502932,27258.178485791042,1601.82669932731,202026
5728726.420923205,397.960003888017,525.1923048901882,27477.329181799116,1609.0975862180344,202026
5728528.076770252,397.37151680364485,518.0654834097909,27676.344283142324,1616.141946393172,202026
5728313.444806948,409.8245008910859,525.2228169938925,27864.321350301616,1623.1865248657339,202027
5728105.00874839,411.6875840279931,486.6674738555323,28102.6361798283,1630.000013899152,202027
5727893.916874763,415.2856877130528,483.3420628739493,28306.908345577132,1636.5470290737455,202027
5727665.464052206,430.6370836117482,441.05202967483854,28556.09600497827,1642.750829529437,202027
5727428.454439994,447.4125619996486,419.7613261862237,28791.842780961633,1648.5288908584996,202027
5727193.745912938,456.0624475653346,419.2198612258224,29012.771645254943,1654.2001330159571,202027
5726957.543556134,461.8034790320864,366.2840653378371,29290.9129922078,1659.4559072886725,202027
5726715.656042701,470.4870520251047,362.293908989262,29523.17590764019,1664.3870886459435,202028
5726478.04222626,472.57426026304233,372.952217177992,29743.059802728778,1669.3714935718426,202028
5726209.353492534,498.2140729297844,357.0621341583262,29997.140710331514,1674.2295900478216,202028
5725934.097669029,519.6114613867685,363.79063962208,30239.709320816317,1678.7909091479817,202028
5725653.37791179,536.7319358014825,371.07070741048494,30491.723881192458,1683.0955638075638,202028
5725340.517025161,573.0499200049807,400.10293475807094,30734.737982589584,1687.5921374893067,202028
5725026.077791811,595.9012126050186,412.7940383455845,31008.90177694491,1692.3251802951688,202028
5724713.352234967,608.4424054981772,426.1935207277429,31291.019308021343,1696.9925307876508,202029
5724391.075417925,623.4638804897272,434.34432449825357,31585.50806871653,1701.608308372936,202029
5724048.877528969,648.5141060484734,451.1514842196522,31881.352792981837,1706.1040877829,202029
5723700.92969826,668.3066514224295,470.5281583752921,32185.60544652727,1710.6300454179504,202029
5723338.082233013,691.9266492998188,483.3791492029667,32507.390183577805,1715.22178490918,202029
5722957.303350405,720.7207327063313,507.7528208784004,32830.38325182893,1719.839844184188,202029
5722571.47374155,741.568582879417,507.8752472860556,33190.58353349392,1724.4988947940278,202029
5722192.9986854745,748.1801060598192,497.4923167822041,33568.21959223419,1729.1092994528833,202030
5721794.225109694,769.2215748242165,528.0061384888454,33910.838471718744,1733.7087052782522,202030
5721375.474385031,796.7384146423815,525.8677484070166,34299.695642424995,1738.2238094989652,202030
5720940.1090969555,827.8125935369164,567.0006750829112,34658.39997516674,1742.6776592614567,202030
5720492.732655998,855.7336521821479,592.6224921948375,35047.49033370181,1747.4208659261287,202030
5720017.678554852,894.6434539960869,623.2084155695077,35447.95423375543,1752.5153418304947,202030
5719505.611701593,947.6937962992656,662.8524816200045,35862.0436553364,1757.7983651550983,202030
5718991.551297759,980.9667048128304,683.1566119284978,36317.149726758485,1763.1756587452467,202031
5718497.954297593,984.5301009554865,681.8202864068049,36803.259145919495,1768.4361691294407,202031
5717965.98767198,1017.221877801913,692.6529225491248,37286.49245187132,1773.6450758015658,202031
5717455.018308504,1020.0906914732805,686.3816032854672,37795.42302416624,1779.0863725751983,202031
5716947.112241453,1020.0253649289461,703.7982302607497,38280.40064705879,1784.6635163031813,202031
