S,E,I,R,M,epiweek
3564687.7728038453,189.80952709474693,320.04969142553733,80.98702525296632,8.38095238095238,202014
3564523.313539434,244.86050521089834,338.9325034454838,169.8551185573064,10.038333351648014,202014
3564336.3051952943,297.95900230216193,462.3000985755442,177.85815327400326,12.577550553751976,202014
3564137.5235091783,338.765903467696,577.7540895751902,216.72208255368082,16.234415224990194,202014
3563938.333359337,363.8860991681502,747.1355685287934,216.72208255368082,20.9228904123246,202014
3563627.4420551048,466.61657092086284,874.2364180446413,292.01778275664395,26.687173173226864,202014
3563354.1902463785,500.0990502359657,1101.0262142540037,297.9583841750444,33.72610495684859,202014
3563057.5559324264,538.1017145618158,1261.0758618642767,388.1155865659424,42.150904582229415,202015
3562643.0146792037,653.8209457264736,1374.428566788778,564.2052468104708,51.530561471193316,202015
3562217.287385643,734.7310940499193,1707.7244004783033,564.2052468104708,63.051873018534906,202015
3561855.7633486656,732.0161995939034,2004.351039728363,617.4761194271751,77.39329258545868,202015
3561259.71801681,915.9336559215958,2324.793882324015,692.503830170721,94.0506147740383,202015
3560718.0425953935,984.5930953370173,2722.4539854732116,748.2825886813886,113.62773511515357,202015
3560110.016208734,1077.6195411093115,3004.4539170182566,959.0599914168727,135.85034172185635,202015
3559526.726771932,1114.6754855494983,3347.6153217239053,1137.4647328019016,160.51768799283235,202016
3558819.1836376307,1234.744359197228,3629.58678378515,1415.8953854065555,187.58983398049094,202016
3558155.673558451,1273.3667664873817,4040.327202337798,1600.2548651065538,217.37760761721262,202016
3557461.393596187,1321.912536450145,4650.04334580136,1600.2548651065538,253.3956564546486,202016
3556683.9892870607,1416.489297985887,5203.153393280078,1687.163178775827,296.2048428971581,202016
3555899.554967522,1478.1822806859932,5526.158789741739,2040.2617784773201,342.84218357247033,202016
3555100.5147147994,1526.623973131746,5767.097137485964,2500.828732090839,391.9354424918773,202016
3554345.4192443453,1521.1158200529526,5986.256772015157,2991.160677716082,443.047485870327,202017
