S,E,I,R,M,epiweek
705363.3743667697,95.42857144590707,205.48220794760095,77.42913955115456,7.285714285714285,202015
705307.0125555525,102.38036977767733,222.60623833609168,108.52506498750188,8.47577134624466,202015
705242.2317172496,113.3103428240066,240.97240940215633,142.72560120576588,9.759929318443703,202015
705159.2981581496,134.34799454618374,265.8332329902711,178.3092929711452,11.211321342788356,202015
705083.5166801881,141.46647697258283,290.375336832045,220.73806274187336,12.903443265344123,202015
705000.4979810503,151.46928739477556,328.66451166715547,253.53671043970925,14.83150944800012,202015
704914.4159440479,160.2049993632394,389.75269467512186,267.5577889423636,17.068572971323217,202015
704823.2404532388,169.12306241914817,399.32276165946587,337.7943353751614,19.519387307261255,202016
704731.3722047721,175.08206319689154,406.9193026379336,413.5840948273966,22.042334565597194,202016
704634.1716712874,182.77813967328746,419.2704065951702,487.80136043743653,24.978422006644927,202016
704531.912911426,191.5653029479958,449.72685992801956,547.4113109541344,28.38361474374168,202016
704423.4579567292,202.04952717829252,498.257157050622,593.137937857837,32.097421183943176,202016
704312.2621323278,210.29967244799505,512.1175363232841,678.2001444677005,36.12051443316987,202016
704188.4766574225,225.1470031391175,535.7735086101101,759.2461501328919,40.35668069526323,202016
704065.289768899,233.67368457595703,542.8637078077033,862.389289738097,44.78354897917286,202017
703939.7587720202,240.8823321283917,571.3807216875224,947.5513118305342,49.42686233323803,202017
703810.386406777,248.28143280581145,597.6122215424576,1038.3622203291175,54.35771854555203,202017
703685.0586079628,249.98416065059183,681.3057684836283,1072.838657275488,59.81280562741094,202017
703550.0280154464,258.438296852137,731.5152635308224,1143.1811913347256,65.8372328358644,202017
703413.8946372041,264.56989156749387,792.8374092486677,1205.3595810488482,72.33848093082577,202017
703279.0216694701,267.10865238945235,826.2831001288667,1297.3415663729388,79.24501163854195,202017
703141.1819499831,271.18250354677315,893.2174783995158,1356.8377431666645,86.58032490384855,202018
703011.4621899325,266.692491939874,921.4375143398777,1455.0845318046913,94.32327198297055,202018
702879.9036382864,265.36294505403765,938.3813438186834,1563.0976193612964,102.25445347939014,202018
702761.7535707281,253.9149797136382,994.576685402366,1628.2523176054722,110.50244655023597,202018
702619.5937009727,266.22762676288136,1072.5509804376006,1671.3193509127098,119.30834091386104,202018
702462.3528511194,285.2373688989062,1077.9825998804174,1794.9596567901417,128.46752331100635,202018
702316.6788288044,287.64113203236957,1078.052539751802,1928.9701049601822,137.65739445098643,202018
