S,E,I,R,M,epiweek
973503.9084730056,63.52380974611654,141.61125297037142,50.00408332533623,4.952380952380952,202015
973459.4633169266,73.80644300823403,174.6572134553289,50.004083384752626,6.068943224808211,202015
973406.3690050357,86.99170756293651,211.3353016607869,51.90867614168562,7.395309598599864,202015
973340.8417043268,104.75382893570576,239.97790203370602,69.51147073235538,8.915093971243497,202015
973278.8155552931,112.46338468808722,254.21339465611362,107.92649911745046,10.581166245035792,202015
973209.7353682658,122.83534508650897,268.27980250498615,150.80816180668046,12.341322335849853,202015
973131.2294609909,136.77225571632238,324.84948705827514,156.80927766642432,14.339518567952798,202015
973046.6795699501,149.71102823293845,334.0016953715208,216.96190180290125,16.645804642354964,202016
972957.639413705,161.34341735886613,366.66938899582743,259.15562228977257,19.19215765025899,202016
972861.6345547285,173.7793421655519,412.6512567150888,293.90985401329056,22.024992377255526,202016
972766.4427350084,180.817113111147,458.4306709156093,333.11752829849365,25.19195266601615,202016
972670.9180995207,185.1617956624403,478.0335812962487,401.2894848139854,28.597038706277065,202016
972552.9045524818,205.6954749320083,510.6884687832685,462.5231431010802,32.18836070158273,202016
972430.2602892258,222.0516839050432,569.5112239642209,506.0620782519603,36.114724652679385,202016
972321.9829226143,220.3777501911092,595.6476893250057,585.6362207012976,40.35541716802681,202017
972191.4930983264,237.18081398227685,661.0355107871208,629.3660196543896,44.924557249634404,202017
972057.3338122213,249.74435458833318,647.4522678630228,759.6939775182757,49.77558780896756,202017
971906.2594775482,270.82794064286736,649.1412949019065,883.0268589233073,54.74442798358957,202017
971761.4517271381,278.813386176687,662.8674315349074,1000.8131706939884,60.05428445617554,202017
971613.4324896253,286.2261848236907,678.0747703454683,1120.2825039454733,65.98405125999,202017
971472.3963104085,285.4237193937221,719.1096597588922,1214.6054963117554,72.46481412699305,202017
971284.5422579759,321.6490168311078,729.6370409511505,1348.791840161909,79.37984407974893,202018
971122.4710963942,323.41555944898334,747.3277991742102,1484.0222082810324,86.76333670134916,202018
970929.3400118767,349.1290557315892,779.6111727152885,1611.4245038928832,94.49525578337939,202018
970769.1147923267,338.84565953778576,817.1242919083517,1736.3155297780015,102.59972644892245,202018
970602.4514652664,337.5506251022432,835.8637625546509,1877.150313711081,110.98383336539558,202018
970426.8481776916,344.0289248490452,882.7629830400813,1990.6592109008132,119.70070351824161,202018
970259.6664508232,340.8756290643391,864.4500119453674,2170.2643762257258,128.74353194113314,202018
970087.3076918075,343.2216882268119,868.3905770898289,2327.0288493150483,138.05119356054098,202019
969923.0425331257,338.1621803057796,856.9631672851983,2498.185654585169,147.64646469782977,202019
969765.4101541124,330.05403979550323,873.7305904789087,2637.342932594093,157.4622830188499,202019
969562.4132730083,360.64065421116436,856.9102708166196,2816.7818041114956,167.25399785221333,202019
969370.6308772629,370.75825472645425,881.3023720778505,2964.029739612123,177.2787563204565,202019
969195.7522247818,363.657263555638,909.6408756955775,3107.1632482270934,187.78638773972983,202019
969021.6642950346,358.41833908293347,895.3783288037567,3290.2288725052995,198.3101645731895,202019
968843.8528451293,358.4927912017571,924.0547683023634,3428.737752653196,208.86184271314426,202020
968656.0203314993,366.3152188385889,932.2183339308717,3589.824947237808,219.62116849313918,202020
968475.236059192,365.38513372482873,920.1134064108949,3772.6976159410992,230.56778473090273,202020
968300.8512920091,359.8573822513713,918.0806576579097,3943.474210665942,241.7364574153467,202020
968102.2792223525,375.53468836296037,910.2624001437431,4123.006514770929,252.91717436947053,202020
967913.7367974588,377.0996918919774,890.7853036980684,4318.442697062101,263.9355098886742,202020
967721.6642480046,380.9694283412371,889.129084349005,4497.353512407135,274.8837268976815,202020
967573.2555943688,348.8231316424956,877.5943387270532,4678.500828747916,285.82610651337137,202021
967391.2716152279,355.8320103094411,854.3166710258083,4866.048814745755,296.53088869077385,202021
967244.5762987667,332.31661814925735,854.3154851620769,5025.677343647593,307.11425427408676,202021
967070.2465120839,339.750012063526,842.7323201556053,5193.663396729877,317.60775896677063,202021
966887.9279554657,350.636436165738,838.8499127872225,5358.579735218104,328.00596036295457,202021
966718.7867907613,346.6959618677379,811.9200942653575,5548.381564579218,338.2155885261679,202021
966561.2614224276,335.18595044585936,788.8216495559969,5730.61053498208,348.12044258822533,202021
966381.7594985471,345.79581226377866,803.0713622179563,5875.589818950668,357.78350802034157,202022
966200.8777786742,353.12483984912245,787.0625502792166,6055.68264160509,367.25218959216636,202022
966023.5557618554,354.89867238788077,783.0229334953538,6225.915328658882,376.60730360225676,202022
965893.7385885387,318.7438259453489,810.9131394059696,6354.475100778704,386.12934533110086,202022
965745.9754767959,310.5104620851708,778.9276865801935,6532.984438363137,395.6019361754529,202022
965604.9305941671,300.2588118302546,754.9316320102366,6699.134735099413,404.74422689286445,202022
965453.6871922434,302.23469652315174,754.8800302747853,6839.455124229149,413.7429567293785,202022
965294.3797972071,309.53503420786024,722.9314410857162,7014.612681148094,422.54104635120876,202023
965162.988814166,292.1761470971599,712.8137854315229,7165.066104351761,430.95514895337675,202023
965029.7776661481,282.9582212186446,693.5625506588893,7318.792008863285,438.90955311088834,202023
964911.6450190523,265.29392934923254,642.1657735314182,7498.562500665896,446.33277740098094,202023
964809.106862448,242.52561610626844,642.1489349554435,7616.732647787612,453.4859387025533,202023
964703.7608642855,230.75012667831643,612.1298221347895,7756.898442776902,460.4607441244349,202023
964601.6039916667,220.9371027938128,569.3308050278293,7905.101761540536,467.0263389711375,202023
964495.2423306385,218.45179185511424,555.9274873431326,8021.185912756457,473.1924774068142,202024
964407.5621294614,202.27084051296646,538.1994999621803,8136.867049955197,479.10048010825335,202024
964321.8580729681,190.77805433957263,507.26769538236726,8259.354806753163,484.7413705568298,202024
964242.4873520606,178.01133269044178,476.68931534185054,8376.756595891991,490.05540401520653,202024
964170.9652362174,164.4143943175053,463.47465816816344,8470.015181953859,495.1305293432397,202024
964098.2068962313,157.19553618119176,450.18170216092983,8558.356218314926,500.0596471118237,202024
964013.0183552329,162.5805662081654,436.9142577763497,8646.646480774909,504.8403400078362,202024
963961.5437862652,138.99489835736858,406.2567764583395,8747.811680737745,509.3928581815437,202025
963901.8475164871,131.3322674543854,388.61666077831694,8828.52484160747,513.6787136729018,202025
963840.7524257475,127.74274121558422,354.074872684556,8923.780274692816,517.6496856598161,202025
963775.5033427696,128.81945025571474,322.67785423107614,9015.762838992385,521.2365137514277,202025
963713.4795366016,126.92030346292981,291.2954815456564,9107.814069520631,524.4906088693768,202025
963644.3879556335,131.24668819597812,277.99921411262966,9182.855599887791,527.5105421703003,202025
963592.8501781808,120.20876674645905,260.0217097079519,9260.551921476492,530.3674238883334,202025
963530.7200885257,121.98465475838185,259.96681795729506,9318.20018444742,533.1282543112621,202026
963477.4454108971,116.09621653506643,260.5580919021353,9374.031321318918,535.8689593467257,202026
963425.9870229468,111.0570537621665,255.95963321679628,9432.43576041956,538.5605296546523,202026
963368.7485942916,112.50302531887985,246.80906557170766,9494.762453737427,541.1768610803705,202026
963305.3575146016,117.74626927129759,211.19647092362462,9586.241907178377,543.4578380251817,202026
963245.0212048491,118.5076956548247,185.87852446139078,9669.196437613418,545.3961374213485,202026
963185.4529963788,118.5945207321705,181.38067005755116,9731.24869370992,547.323119121723,202026
963121.5257233127,122.12948845496561,182.5810848676526,9788.51271014042,549.2509932244413,202027
963045.7109491357,133.35454817867213,173.62590480106826,9860.207485489746,551.1011123950364,202027
962972.7026991452,137.91081634863895,169.3548824733383,9931.193749709777,552.8378523233275,202027
962903.2848614878,137.6020968405725,164.86543829189782,10003.766330850787,554.4812725291931,202027
962813.3684855332,154.128762222396,159.7622084893308,10080.674718037477,556.0658257179027,202027
962721.0085935286,166.26589306808745,160.09330906010976,10159.049504897737,557.5826994457026,202027
962635.5759009733,167.9932109200769,155.38430324131258,10246.037948553645,559.008636311978,202027
962539.4805618342,177.8950573163408,160.1312213879134,10326.076594501577,560.4165649602082,202028
962440.0783611782,186.31262406848236,167.75457928242957,10408.034304358824,561.8201311122846,202028
962340.1922602974,191.70144120154046,181.63865105665136,10487.263737215924,563.2039102287006,202028
962243.6034251817,192.4192535011927,181.3105582644191,10582.130234118085,564.5365289347583,202028
962145.8271854871,193.7982785521584,180.87228549696366,10677.706636874922,565.7956135888965,202028
962048.0295019415,194.5934597134681,185.13294540236626,10769.280173324172,566.9639196185354,202028
961948.3443079204,196.54796604815226,188.62540770130315,10862.39859240432,568.0837259258421,202028
961854.3688785523,193.61390739392215,188.40957652283635,10958.382754254526,569.2248832764474,202029
961754.316835031,196.70831886389112,188.22986246742886,11054.380406630255,570.3645770074542,202029
961648.3957289082,202.51982445001337,188.87472850267443,11152.700708342993,571.5090097961562,202029
961542.7318600062,206.20877162672292,194.00400089639774,11248.4511988339,572.6041686367982,202029
961443.0525304383,203.55446683826028,194.12386261673151,11349.616294674535,573.6528454322882,202029
961318.4051252299,221.18533751158037,177.26016902339728,11472.50501955752,574.644348677749,202029
961205.7113303631,223.08613150997763,172.03933872159078,11587.545401206082,575.6177981993538,202029
961099.415504877,218.81232567834098,155.84977678498734,11713.290361027715,576.6320316319483,202030
960995.4926593115,214.5325467363546,148.75257949749226,11827.56825711325,577.6539573413411,202030
960885.4877512481,216.6869836586881,151.1801305097213,11931.965695344526,578.6794392389089,202030
960775.6272635582,217.56444682642461,139.2336070326515,12051.832454275642,579.7422283069717,202030
960677.332727033,209.00021577391078,129.77570009765776,12167.079721246933,580.81163584844,202030
