S,E,I,R,M,epiweek
21477402.752456225,95.61904761910363,203.95392252904256,30.960287914410177,3.7142857142857144,202013
21477328.774650335,116.75971423725284,256.0453614234644,30.966810018080867,4.453463990968216,202013
21477248.499809425,134.39077137326265,287.9698712770673,60.833054092576134,5.306493835123043,202013
21477149.178182516,160.2391542787747,328.38668329898354,92.91203955623892,6.283940351966993,202013
21476988.85039928,224.80649027520863,408.11216729366487,107.71626800422901,7.51467514864853,202013
21476812.39831407,276.8037443107084,503.36895766978057,135.39796748652452,9.03101646594002,202013
21476572.40650712,359.02463099365974,629.6280560619348,164.77980530652655,11.161000522103686,202013
21476337.005041327,405.01000093030177,751.6856829795986,229.5908976948074,13.70837707055936,202014
21475989.729611162,522.1857161648041,930.141351090994,278.5230113770051,16.420310208056875,202014
21475579.414126378,643.3881261635152,1138.2565448096723,356.0869984786077,19.854204171626577,202014
21475236.068257697,663.1693017987458,1306.6590373561805,507.26155382872145,23.841849320439007,202014
21474661.997277983,859.0489372083919,1581.7630982111402,604.3771416857169,29.81354491191429,202014
21474088.01257721,977.8266203416066,1886.024433266323,747.525803831904,37.61056535242937,202014
21473454.07485513,1096.8441236948947,2166.657788411422,973.2270506096447,46.19618215796487,202014
21472815.018390965,1172.4203080079667,2387.0357212737517,1306.539965083663,55.9856146755135,202015
21472116.09613566,1265.6123996174824,2613.7824616819325,1674.7958911275114,66.713111915,202015
21471351.673042174,1374.0283496942172,2853.8105131122884,2078.5903711610044,78.89772386094393,202015
21470573.53140647,1450.176645904125,3038.861451578227,2581.722673527326,92.70782252611798,202015
21469761.542259477,1525.400872142106,3471.279099340095,2870.664980030078,108.11278901624274,202015
21468878.807157725,1624.5547957199344,3637.5448602105907,3470.7432807845744,125.34990556543758,202015
21467980.031219635,1697.7666113696155,3841.263392321593,4073.44450960503,144.49426707422197,202015
21466996.62908155,1808.8970198106101,4025.5670897780265,4740.636090483818,165.27071838170556,202016
21465990.50607528,1895.2482556125024,4322.042999051496,5341.812576646891,187.39009340933066,202016
21464997.533764668,1935.8923102970343,4432.461748219421,6159.086566263298,212.02561055378098,202016
21463961.49859233,1994.6380183594395,4551.416016591668,6990.6150783514095,238.8322943684296,202016
21462951.69785968,2009.7167357850674,4677.485626897587,7830.393454902875,267.7063227341059,202016
21461847.30619744,2093.364429968603,4785.925681196968,8711.062386200523,299.3413051949552,202016
21460823.07876062,2080.9557915003847,4886.388074909176,9614.272579596623,332.3047933744114,202016
21459748.078900836,2113.46594280781,4988.533915573548,10520.99468981195,365.92655097027193,202017
21458758.0891148,2067.4689642976336,5273.225938775136,11237.086789953828,401.1291921714772,202017
21457787.045817528,2023.6222511506119,5433.006320659709,12055.479175527136,437.8464351325857,202017
21456754.88496345,2045.2029186414456,5599.727581019739,12861.52030837596,475.66422851154016,202017
21455825.543099314,1976.9501832499425,5717.793265381149,13702.233992708596,514.4794593439376,202017
21454890.666932847,1941.038326803671,6086.0172592298195,14264.314259897907,554.9632212203986,202017
21454035.127674744,1848.8383597736124,4903.817998612176,16353.62020723691,595.5957596333542,202017
21453130.3098714,1837.3600345325883,4869.590194232054,17263.335333425694,636.404566408779,202018
21452261.526873443,1802.1087719230213,4858.2056783290645,18138.124446605794,677.0342297009568,202018
21451429.152715802,1753.1719501481418,5063.481383220423,18772.69507885278,718.498871978547,202018
21450627.159366697,1699.0061519607139,5183.175107261247,19466.344492566437,761.314881519039,202018
21449832.671948362,1659.5951973666356,5211.741322819099,20228.2551357555,804.7363957016269,202018
21449023.66539667,1647.2401219344438,5268.76746042632,20948.818744728393,848.5082762456625,202018
21448239.988477,1615.8597972599414,5280.0487397565375,21708.53600162024,892.5669843700518,202018
21447526.799557656,1541.0342540591746,5234.416086670539,22498.25768307455,936.4924185458561,202019
21446792.563775536,1512.0071514148035,5131.686552051901,23320.96702864999,979.7754923518271,202019
21446044.731177468,1505.5754125758756,5131.562286549288,24032.497265666498,1022.633857742832,202019
21445332.178935118,1474.9933427975661,5376.548040201774,24486.739754223556,1066.5399276617384,202019
21444594.14120186,1475.1368164916141,5313.98091832662,25242.560501333628,1111.1805619866968,202019
21443983.566652868,1375.564212130434,5382.439516909602,25839.542180434397,1155.8874376569038,202019
21443288.28428822,1382.0698665963048,5513.64510131958,26351.606069706355,1201.394674158248,202019
21442624.27392684,1360.3956218278265,5399.671628683361,27105.69665253609,1246.9621701144124,202020
21441986.689763986,1326.4095174189035,5205.595372417476,27927.068372874106,1291.236973304117,202020
21441307.798323892,1338.8364167474197,5199.954993130918,28555.72555641087,1334.6847098178168,202020
21440634.49894175,1342.4823108358992,5325.463175465316,29055.910544338883,1378.6450276079056,202020
21440026.06608432,1292.053836992756,5063.420956759624,29933.445947664153,1422.0131742581723,202020
21439374.52857635,1296.150962161087,4966.488929575763,30635.94879998894,1463.8827319188817,202020
21438683.466733515,1331.0375866656746,5183.247512953271,31032.983361710278,1506.2648051512933,202020
21438007.621477246,1338.8958944024462,5120.6740290993375,31720.52865118491,1549.2799480604963,202021
21437308.62127036,1362.4623262711327,5183.453164547249,32290.162303713732,1592.3009351030294,202021
21436651.79677018,1342.6102536762257,5023.837983213433,33083.84613520279,1634.9088577184666,202021
21435958.43062368,1359.8995787401334,5006.788301129901,33735.09916615155,1676.7823302922388,202021
21435191.313641742,1427.164971077722,4747.152749118753,34652.672067499894,1718.696570555033,202021
21434509.45497098,1402.270750401718,4747.101963885165,35317.75263683831,1760.4196778870546,202021
21433815.269782417,1396.6731956839606,4709.15583370036,36013.93625441318,1801.9649337782407,202021
21433101.379922714,1408.6165315948388,4649.631332310884,36734.29934137796,1843.0728719949648,202022
21432389.710818056,1414.3999586642487,4622.492566652992,37426.59117008572,1883.8054865340328,202022
21431684.293762796,1411.1751869194566,4270.330143131338,38448.384174275234,1922.8167328693273,202022
