S,E,I,R,M,epiweek
10617064.004751349,147.89511039151398,147.8620430254931,59.52380952139135,3.714285714285714,202013
10616994.756425148,183.85806348454742,147.86113638330337,91.62440772531347,4.899967260846111,202013
10616891.759689081,243.862391112372,146.24757341679367,134.88441965823924,6.245926734006399,202013
10616785.026864968,296.4878284232886,154.940366580064,178.58877491910658,7.956165112026997,202013
10616653.025874356,362.6916329169931,179.76204359227845,217.4740938381619,10.046355298828335,202013
10616456.90614219,475.5905829905034,239.6740512117805,238.13359931600593,12.695624292939,202013
10616266.391024148,562.2725800899252,258.4061650942551,320.07882880954753,15.851401859426431,202013
10616079.409865323,630.1444188614961,288.9020962543579,405.14464140257627,19.39897815948446,202014
10615913.520886881,666.3441780707261,297.8171415073131,521.9445815286806,23.37321201306553,202014
10615542.380683286,879.123576477802,451.6092063953004,521.9445815286806,27.94195231324393,202014
10615181.677788675,1037.103701847307,519.9306599035034,650.3898292619559,33.89802031362587,202014
10614787.716782818,1194.858620792427,589.2923725333399,810.0748972742756,41.057326582951156,202014
10614417.612443108,1300.928442911227,665.6827761196854,989.5042722754083,49.272065584981625,202014
10614067.547081683,1367.8964911502671,660.5902364263952,1268.5961214548352,58.37006928508375,202014
10613663.089775922,1471.4946081516518,697.7484085190611,1522.5437766183597,68.1234307880111,202015
10613191.174175289,1616.4413674554335,764.816861155977,1772.0248725177323,78.54272358133557,202015
10612481.603321418,1949.7106731021267,954.5637004510419,1945.285906132987,91.83639889299515,202015
10611813.38329117,2180.726825797182,1065.2309673276632,2255.4844488698823,108.17446683173424,202015
10611208.140271824,2309.9443887632497,1093.191347065929,2686.235743041819,125.4882493021966,202015
10610539.521637857,2471.971900667256,1158.7801535512015,3108.887901140319,143.8384067805039,202015
10609865.548023304,2607.7074384509096,1207.8895824972253,3578.7213245526846,163.13363119149946,202015
10609256.254160626,2658.7239296704142,1200.5799500199682,4124.874082209603,182.5678774707038,202016
10608516.23968016,2818.7305185012915,1291.7872392268175,4593.480124574548,202.76243753452445,202016
10607668.665445114,3045.4797788467326,1414.7702648891736,5069.100653889318,224.98385725952312,202016
10606975.955228282,3087.732815544001,1364.4013884098267,5746.061246486711,248.84932127485962,202016
10606221.438423835,3178.5262879628917,1423.1267142914721,6326.0226360031065,273.8859379046896,202016
10605287.616596296,3414.4907287776005,1566.2159600200303,6854.006956295283,300.66975860691235,202016
10604537.29067106,3438.9672408754514,1614.3449809938961,7503.370777494861,329.0263295708634,202016
10603722.070358891,3516.950348626519,1622.361405195787,8203.775572417755,357.8423148645579,202017
10602741.150291016,3730.2171473194962,1719.874420581202,8843.066031973673,388.69210910463136,202017
