S,E,I,R,M,epiweek
3154756.396996883,81.04761904761904,185.50430952605734,42.860598352676796,4.19047619047619,202015
3154707.461761303,87.90123702827435,215.22636455423262,54.263797350357365,5.1468397643076065,202015
3154651.5046171667,97.50103538543141,225.21300455000446,89.44650586379122,6.334837034366042,202015
3154592.746661591,105.57821093104451,237.7723417289659,126.3306503616229,7.572135387681198,202015
3154525.876124444,116.81652117220298,255.4756726353201,162.92846887235982,8.90321287652839,202015
3154453.5126823257,127.97668340112371,275.47381389175416,202.70533413456315,10.331486247139512,202015
3154377.980322492,137.39602681750296,302.0615022605438,240.6837172081842,11.878431222390203,202015
3154303.1523739365,142.6629110681886,364.30588671657443,246.2149806726571,13.663847606691924,202016
3154218.797011128,152.91402590558414,364.52370905223324,318.1512469825134,15.614006931873572,202016
3154121.939640846,169.18057377408974,379.10317224493923,382.02129083865384,17.755322296385074,202016
3154028.5915749143,176.2822790281506,392.62808017456234,452.33830472087317,20.159761162096004,202016
3153927.4256242905,186.9490596679579,445.5806438591084,487.24314507114957,22.80152711101915,202016
3153817.751391342,199.85849560952124,455.4702093014021,571.2638241288124,25.6560796179524,202016
3153703.8002399504,211.1599611452258,474.66390862915324,651.574787537616,28.80110273752413,202016
3153556.0684474185,244.73615517311381,496.30639966503,740.7147477448663,32.17424999835623,202017
3153413.899351547,260.91987129448756,540.1626283969948,819.4209671928518,35.59718156880573,202017
3153234.399766544,300.00233791948824,562.7674126271255,933.6937860412525,39.13669686855823,202017
3153078.1533396416,305.24239396590497,599.9892674426407,1043.7367281663935,42.878270783811914,202017
3152913.19902627,315.70845025256205,662.4418520523567,1131.8231644693824,46.827506956117716,202017
3152703.8032340063,357.3351862737233,748.1420281945748,1209.5881249200258,51.131426605518314,202017
3152458.3963895757,410.02359434336995,763.7409036816026,1382.1000490078923,55.73906339154602,202017
3152217.049443111,438.7806784744504,779.3406120039881,1574.3811421202925,60.44812429026915,202018
3151959.794348297,468.7454662935772,794.9197180411313,1781.2883020667944,65.25216530125677,202018
3151676.9481971245,507.6717006432172,865.0893932911523,1949.9694610024612,70.32124793828594,202018
3151380.1698098048,542.7536169747616,983.2444835684119,2087.9932547358094,75.83883491601074,202018
3151088.7082884507,559.6715912171812,1094.5780528383946,2245.153639349759,81.88842814355503,202018
3150734.6112908632,618.6226102872752,1143.9366816393083,2484.4738101125727,88.35560709746586,202018
3150348.423867189,679.2435503073481,1160.440341251217,2786.88220390221,95.01003735009694,202018
3149953.6300827493,722.8412431487059,1176.6735894252672,3115.0862114891706,101.76887318738396,202019
3149543.739035977,761.3544132568938,1209.631269896328,3446.60620778887,108.6690730805364,202019
3149137.8196572824,782.1967027331118,1300.1631373928,3733.8843425556574,115.93616003553437,202019
3148723.7695767605,800.9425000135094,1366.0179807309662,4055.6161425364294,123.65379995813349,202019
3148262.20656856,849.4663477063611,1407.2403658933335,4419.4152548840575,131.67146295580778,202019
3147813.3275725,869.1516238995077,1473.1078801251513,4774.404809892405,140.00811358264062,202019
3147374.7027050955,872.2771276888391,1464.912656112115,5209.601283706536,148.50622739682868,202019
3146951.973830154,862.6971483460419,1563.661632895914,5534.386709581016,157.28067902276982,202020
3146501.8803320825,877.6669397049208,1580.159225919987,5943.91910891469,166.37439337808163,202020
3146058.058913391,883.1502998266137,1746.6288825711317,6206.306911944903,175.8549922662252,202020
3145585.664908147,908.9359280972044,1911.5907206122056,6477.91135487439,185.89708826907588,202020
3145106.812711822,928.9874876347391,2000.585357241705,6837.288516666603,196.32592663494574,202020
3144660.8118256414,914.883070211283,2063.800613421831,7223.431427641957,207.07306308344093,202020
3144248.3946220633,879.8646627614074,2108.8326713341094,7614.799838909464,218.10820493138587,202020
3143815.893510749,874.088044966397,2099.803990002867,8050.986900847869,229.22755343350894,202021
