S,E,I,R,M,epiweek
12669466.890732467,1092.6309775720167,1092.621147104388,157.14285714244858,11.714285714285712,202014
12669127.38707124,1202.1560295575352,1066.1682065364114,410.27610850098716,15.012584164679899,202014
12668642.645257693,1424.3332162504053,1176.4397490595475,558.4594287402133,19.12234825819849,202014
12668102.93910463,1656.029495114424,1281.3029422347824,755.8716825631893,24.856775457494724,202014
12667586.327118717,1824.6209897124481,1370.0906994525615,1007.8652948346677,32.09589728344224,202014
12666908.840381905,2109.1832859408805,1545.798971180695,1216.1741121237023,41.0032488505778,202014
12666111.999654833,2450.9021954157474,1793.1537719678015,1413.1512748362675,51.79310294913078,202014
12665386.375714773,2665.218858145776,1941.9929605086313,1763.2854569972756,64.12700957722694,202015
12664595.360329188,2900.0115847793904,2099.0116285333875,2148.656187060527,77.96027044056719,202015
12663699.856675092,3188.9914032147476,2591.1845133527554,2246.694678548171,94.27272979432936,202015
12662691.57157697,3525.7154308733043,2738.517084598318,2750.941172566762,114.25473499357449,202015
12661674.98774864,3810.0529818683244,3112.755464762089,3085.5042505083543,137.6995542234811,202015
12660571.575652067,4120.103692600025,3210.5025221459828,3754.563217129908,164.254916059864,202015
12659454.426759649,4388.0540187243905,3638.8937080741603,4145.30062433401,194.324889220736,202015
12658215.85597971,4715.72982288878,3715.2151092011163,4947.002953690206,227.19613451226866,202016
12657027.033094391,4938.863487604826,3783.5522813405237,5808.730043394671,262.821093271677,202016
12655784.857742993,5170.094777170762,3887.612415067852,6676.623699078229,301.81136569432,202016
12654484.557125557,5412.280755369681,4026.6417388849295,7553.282295609758,344.2380845835714,202016
12653279.633496791,5523.729132422067,4092.5772568947013,8533.774685728924,391.28542816939057,202016
12651819.394524686,5847.121954290018,4287.377119231037,9424.792786996699,442.3136148022826,202016
12650358.206661964,6112.647007238324,4468.103341691308,10384.714263363167,497.32872574937994,202016
12649111.843185144,6134.556338805164,4499.901945295927,11519.36825759291,555.330273167648,202017
12647702.86309371,6300.301465172338,4617.140785071632,12585.839523690438,614.8551323623191,202017
12646284.918300886,6445.097984369131,4953.648304294964,13459.464046669571,677.8713637866068,202017
12644717.53616407,6698.001861648148,5041.473869064047,14619.647912085173,744.3401931392395,202017
12643085.91229373,6963.528123128153,5175.817696493852,15781.206128544776,814.5357581082768,202017
12641297.375671,7323.597056078219,5389.562316352829,16921.909234026753,888.5557225490443,202017
12639658.439544575,7482.200141531371,5495.474797222682,18219.76313843637,965.122378240871,202017
12637841.693612428,7773.68563135923,5688.387716104331,19473.799119104144,1043.4339210094295,202018
12636031.403536247,8006.35198874704,5858.777771969315,20801.642449230676,1122.824253809854,202018
12634187.398323288,8227.348827521986,6018.395021639211,22183.582793576064,1204.27503397836,202018
12632350.79783351,8401.432402177115,6150.061751822658,23631.15252712912,1287.5554853652047,202018
12630352.671406273,8691.012850764717,6409.678385402008,24994.84161475295,1372.7957428097045,202018
12628176.87118013,9089.187291082435,6665.007630031777,26429.38867774033,1460.5452210185094,202018
12626055.740939895,9364.710333484756,6740.146474951095,28110.80020333888,1549.6020483330155,202018
12623837.1921236,9679.536760324181,7005.2156452936515,29659.474419035967,1639.5810517489972,202019
12621612.388166308,9942.686537673644,7217.916895542804,31318.950173251593,1729.058227226443,202019
12619391.5508072,10154.39839736831,7404.312539737695,33050.546287493125,1820.1919682026585,202019
12617099.75662939,10392.068366001891,7592.7413114883,34821.21745235073,1915.2162407715632,202019
12614628.393472973,10748.804335716104,7645.247306222979,36786.63695000442,2011.9179350872118,202019
12612205.812096965,10997.668120874048,7911.413562914663,38595.410433859535,2110.695785391143,202019
12609812.40625973,11174.613414517798,8106.458550731639,40516.82992652235,2210.6918485019323,202019
12607457.883489378,11283.926889733915,8234.94465389538,42533.399413007675,2310.8455539883707,202020
12605172.855261356,11310.128993173565,8293.912969661553,44632.627488137434,2411.4752876758084,202020
12602265.74418812,11897.874797705244,8819.363100220784,46325.53544199642,2512.48247195939,202020
12599986.74641672,11808.585023319843,9208.035189162772,48201.24290102684,2616.3904697737657,202020
12597254.451116344,12145.085581388345,9261.225270130433,50437.5415265689,2722.696505570237,202020
12594901.257270312,12076.269378660647,9135.264669951144,52878.316591018,2829.8920900603634,202020
12592494.279297132,12068.894191339095,9068.328860231175,55252.052189260765,2937.4454620392917,202020
12590183.531170318,11975.549496925176,8976.58750523498,57640.79650715075,3044.5353203750856,202021
12587706.410250798,12050.33347000674,8990.884772021915,59921.823320571966,3151.5481866048676,202021
12585473.359936606,11889.832681859272,8870.522092312282,62328.488332256886,3258.796956967591,202021
12583061.144614527,11921.274353788369,8872.451889282418,64598.6772262776,3367.45191612726,202021
12580753.316593384,11852.220799353934,8827.593803070178,66911.79088441163,3476.0779197830616,202021
12578483.503334135,11761.497528568065,8851.124062886722,69141.39162014518,3583.4834542684634,202021
12576157.124585887,11738.166231944522,8793.581156691589,71441.77490074454,3690.3531247353785,202021
12573937.181549544,11622.435719630892,8692.423324776162,73772.21618662488,3796.7432194277712,202022
12571761.127573429,11487.891949360634,8587.911914035332,76081.04615381276,3903.022409364759,202022
12569708.631075487,11265.473086172586,8404.396417262366,78436.71630000802,4005.7831210718027,202022
12567778.852306917,10972.086712568778,8198.990448799816,80765.36416568463,4105.706366031818,202022
12565876.263590643,10707.277530200168,8008.9931599653555,83023.15227338969,4205.313445805115,202022
12564067.270599583,10405.555579759455,7792.529742380616,85252.62363929849,4303.020438980567,202022
12562212.656766487,10200.043140616279,7634.673508866769,87375.13109941287,4398.495484618591,202022
12560254.956993071,10125.509223673937,7563.534250473999,89384.1098357501,4492.889697032956,202023
12558306.68354313,10055.97628992357,7501.739158322643,91369.97320721544,4586.627801410276,202023
12556925.266141342,9484.437005402202,7127.62932003569,93604.78967105273,4678.877862170065,202023
12555209.643088669,9319.883401091018,6969.126397781039,95554.10348299431,4768.243629467488,202023
12553952.872080816,8768.823655317621,6604.176889119716,97640.35487145548,4854.772503293017,202023
12552533.844387766,8464.955482142053,6371.512345034635,99511.53825203904,4939.14953302076,202023
12551132.844714835,8199.904187197357,6168.595948093306,101297.8966778423,5021.758472033951,202023
12549720.331369914,7993.43614655688,6004.438668510285,102998.63080561289,5104.16300940905,202024
12548550.86027467,7603.835721603222,5725.540610189901,104755.28224164173,5185.481151896964,202024
12547226.330499062,7425.706142119899,5577.980732044188,106326.24514519125,5264.7374815847825,202024
12546203.759255074,7005.861092226869,5285.090631789429,107985.1715093872,5341.117511525938,202024
12545197.147826329,6647.694485134088,5020.316698241209,109539.85496157022,5415.986028727607,202024
12544434.62740078,6133.068327425943,4637.1736185025675,111125.92324292217,5490.207410369679,202024
12543648.53896602,5733.226625029154,4348.586333413314,112528.0311337742,5562.616941762065,202024
12542983.70051317,5295.997051749255,4047.980568703159,113860.48606660498,5632.83579977329,202025
12542249.743777515,5000.699389148199,3807.82189367507,115061.08397996485,5701.65095969677,202025
12541395.101051608,4868.5296167859115,3674.921901422089,116111.44231127489,5771.00511890971,202025
12540569.49162131,4733.978173689584,3536.3851737692103,117141.6472586513,5839.497772581864,202025
12539867.70404897,4511.552078044277,3370.5551224904257,118166.16647420135,5905.022276293588,202025
12539209.352530286,4290.078540184246,3205.5789489502135,119147.643701885,5968.346278694658,202025
12538568.528188065,4092.895855427407,3056.097652918777,120073.15814544226,6030.320158145575,202025
12537929.753793089,3929.767597907359,2966.42738590035,120903.95877267212,6091.0924504311015,202026
12537278.048630131,3807.8374068443704,2855.605526227354,121728.55759321849,6150.950843578635,202026
12536782.223457932,3566.59796457935,2673.615972835255,122589.51688773648,6209.045716915396,202026
12536138.917317264,3503.012917563732,2608.7724027311715,123305.76041677366,6264.53694566682,202026
12535447.456946075,3494.6771251965824,2568.9785683778778,123992.4136348663,6317.473725484025,202026
12534827.006085053,3423.471559596217,2520.617601626203,124681.81108894815,6368.093664776677,202026
12534191.897368165,3378.461627707426,2475.4201659278583,125358.05339024407,6417.167447955872,202026
12533574.243909322,3325.831272499723,2441.072596736889,126015.22769961733,6464.624521824127,202027
12532888.2299543,3344.8825521649424,2452.8826212629115,126623.66552504474,6511.339347227934,202027
12532238.446416808,3327.497325598664,2429.5632736847288,127269.30670781992,6556.1862760896165,202027
12531519.818978176,3375.8403177918053,2448.2296676165315,127879.00048257,6598.11055384707,202027
12530817.772658126,3400.3687301440004,2462.041308384179,128503.23062961033,6637.586673736789,202027
12530066.296275113,3465.382005768416,2502.8472537251396,129112.0611769864,6674.413288409622,202027
12529323.34525345,3510.3834428697387,2435.6666841262695,129842.22623953837,6709.378380015901,202027
12528630.29013668,3502.5249128857977,2484.6436130038505,130459.93441721793,6743.606920213187,202028
12527893.161051659,3536.103420729034,2546.2092531529847,131068.29710587207,6777.229168588185,202028
12526901.930588104,3794.7319925950333,2738.57171910119,131570.96781356784,6814.797886633249,202028
12526029.22092829,3898.083986267622,2763.4494889369944,132275.06249127185,6855.183105233983,202028
12525138.528185854,3999.2960173571087,2848.630496838495,132940.89922057066,6893.646079380411,202028
12524172.599874577,4150.518748597816,2962.07842835521,133605.1096046823,6930.693343788999,202028
12523195.81040618,4284.118634494105,3066.354852110632,134308.10997372158,6966.606133493268,202028
12522261.306639176,4354.6066173870495,3053.9965538457095,135149.14378905605,7001.946400534604,202029
12521280.490106603,4454.866161217811,3160.9409604536113,135887.90422919122,7036.798542533738,202029
12520362.157000354,4480.109783592587,3230.0008939764543,136677.74399067284,7070.988331402881,202029
12519342.805615587,4592.514733437284,3330.9252054000867,137451.19661998036,7103.557825594135,202029
12518329.478671506,4678.960902786059,3407.6249422625515,138270.450959318,7134.484524126816,202029
12517244.628191534,4814.703446460512,3509.8237340811265,139087.37289252924,7164.471735393508,202029
12516153.643877564,4931.39421769794,3612.482646952231,139929.77510519832,7193.704152586888,202029
12515084.086007874,5007.36204353267,3685.2517699878395,140821.7877839377,7222.512394667089,202030
