S,E,I,R,M,epiweek
6732123.555551731,19.428571896570567,30.72988767262134,42.85741727178307,2.428571428571429,202013
6732106.032141775,25.714811495582627,39.265688322038876,44.588338092621505,3.3990203147972755,202013
6732081.550877068,35.21862379679678,49.67487892666547,47.95818317372237,4.59743703516855,202013
6732051.182350697,45.91961459182883,62.18186570781149,53.6691428663925,6.0470261375331695,202013
6732008.741737664,62.25758292691187,78.54443375856209,61.61798854565381,7.838257105296494,202013
6731937.622140973,93.89699963929685,84.2484646186191,93.29518059845654,9.937214170436569,202013
6731860.121809664,118.80797671441711,105.86904301059157,121.77432048762964,12.426850123453171,202013
6731767.779887367,146.067605988576,141.39092945368427,148.1327049246894,15.628872266318456,202014
6731663.467355617,172.47294370499253,173.39502313134645,190.07725118614246,19.587426360950232,202014
6731534.506491449,208.26412503241716,213.33830019003878,238.48814138210122,24.402941947767257,202014
6731384.10479309,247.07978338882003,255.23892809444106,302.3358697580664,30.24062566910177,202014
6731205.812628495,292.86672662201795,297.0654752248127,386.1299485069433,37.1252211521623,202014
6731014.36719758,331.5415480373912,357.9647688214682,469.818396057405,45.308089504838,202014
6730789.637018288,381.24518101174135,407.3677362062768,585.9130774014649,54.83698709409076,202014
6730547.347607423,425.20697247984083,443.5580898742537,737.0976919953131,65.78963822926326,202015
6730273.07925482,477.52055756155085,486.63955195395044,903.6571234858925,78.10351217919958,202015
6729972.450741637,530.6814584196386,549.4943046518985,1074.539957622595,91.83353766915059,202015
6729659.79259659,571.8148659186239,567.4509964916924,1312.898112046521,107.0434289524354,202015
6729332.459045697,609.1850049899937,620.2216227645077,1533.318144548652,123.81618199881459,202015
6728968.737945534,660.507112572333,655.4237827145223,1792.4191687082118,141.91199046890975,202015
6728584.227357166,707.1512972391547,649.2850708357474,2117.5178292185246,160.8184455394436,202015
6728185.496946029,747.1195156129266,661.1266090161572,2444.568939576592,180.68798976333133,202016
6727774.002142314,782.3336853072897,707.3372198135208,2753.4295592813987,201.89739328262067,202016
6727381.602584634,789.1040772297972,770.9092188297932,3052.544325207905,224.8397940968848,202016
6726954.461995892,820.4290250011387,820.1603718305122,3374.4737642926552,249.47484298161808,202016
6726500.681930655,860.4527967806695,860.58123778161,3721.8369552978797,275.44707948375566,202016
6726044.013234179,887.3165850108406,911.4981295890707,4073.3447903503384,302.8272608692992,202016
6725579.057308848,909.8259678840751,936.1998993850609,4462.564109274085,331.3527146070614,202016
6725096.132781663,937.8538252048603,965.5227525138167,4858.781448929484,360.70919168645503,202017
6724609.634462349,957.5413844841975,982.8805251857369,5277.876374106973,391.0672538720602,202017
6724132.528668258,961.1542181175079,944.0677589772761,5758.689761301908,422.5595933436167,202017
6723667.77519939,955.4145715869679,983.8804725276352,6156.319129366454,455.6106271279698,202017
6723181.634559088,967.6795693984295,965.7278073477341,6614.348545835981,489.6095183282464,202017
6722675.695764864,991.1903110922503,972.4095274982463,7055.566353288476,524.1380432566549,202017
6722163.253370138,1010.8875514851953,994.9723524908645,7490.648225440789,559.2385004450268,202017
6721646.8019088805,1025.8300463503554,996.3651285844827,7955.279755459756,594.7231607253573,202018
6721093.44908036,1064.377864069045,1020.9113105547061,8409.633917815981,630.627827200513,202018
6720560.290046144,1071.3642299955293,1019.6488601699208,8900.71429871724,666.9825649733579,202018
6720013.453630351,1086.9118583906784,1039.7185468319735,9375.234376920647,703.6815875058704,202018
6719448.3600323275,1110.6115835614246,1051.7425133724503,9867.347477101153,740.938393638155,202018
6718872.5443402445,1133.6876710603137,1067.761804557802,10366.312517079481,778.6936670584886,202018
6718298.032147141,1146.815692247634,1099.9560288938626,10856.843802235488,817.3523294825978,202018
6717715.3560649045,1160.730806644382,1109.4169052074844,11376.768113904283,856.7281093401276,202019
6717126.267780181,1174.5347660207872,1114.7875118430688,11907.072867268249,896.3370746874697,202019
6716503.720991466,1209.0627649609282,1108.364003880692,12462.020684767196,935.8315549261105,202019
6715858.902725914,1248.0588881574974,1118.5374862110698,13018.180604841358,975.3202948775753,202019
6715237.927536539,1253.0233980006356,1118.5059854300973,13594.565386519183,1014.9776935122071,202019
6714616.804834727,1256.1248874056785,1107.6627529139946,14183.982630692311,1054.4248942620256,202019
6713986.225922211,1265.7533765788535,1114.3236263157048,14758.874055322793,1093.8230195728079,202019
6713384.4070865605,1248.8320234027547,1110.1989793898965,15342.275320320934,1133.2865903275858,202020
6712767.005955595,1251.3968052793173,1126.157830370736,15901.666698933255,1172.7727098243986,202020
6712139.931544753,1260.1460761311146,1138.813926627558,16468.01054037187,1212.0979121182704,202020
6711518.954170893,1260.5503949346978,1148.7587204407753,17040.113435942723,1250.6232777903645,202020
6710900.986769563,1258.5153490000394,1157.413530722942,17613.350213863687,1288.7341368515827,202020
6710286.177973028,1254.755581418959,1151.6388642130266,18199.56995650849,1326.8576248316547,202020
6709679.660235565,1245.6342858569108,1153.0915228972192,18775.96884226652,1364.6451134144374,202020
6709080.646824378,1234.4962158568578,1145.785126655527,19356.09277620063,1401.9790569096397,202021
6708529.798640694,1188.8812113950237,1134.2926820535224,19926.784098037988,1439.2433678203495,202021
6707965.789470004,1171.7033186599472,1125.6329841906418,20479.615940556418,1476.2582865898528,202021
6707391.569635727,1169.3298717428795,1108.139192717146,21037.158799650355,1512.8025001636886,202021
6706814.39732976,1170.1377603760604,1099.4776519099412,21586.050933705417,1548.936324250371,202021
6706276.986114176,1139.0401088473225,1080.4150834495897,22138.043295115323,1584.5153984135984,202021
6705737.198291801,1122.296024528246,1052.5785117766206,22687.819413057914,1619.107758838914,202021
6705203.830291559,1106.8364228766036,1021.4860548391893,23234.072632263073,1652.77459846536,202022
6704687.683529564,1084.0307141216924,996.6518289771565,23765.11150221327,1685.5224251269494,202022
6704173.473298697,1068.3948989352377,968.67368221354,24291.036518246197,1717.4216019116886,202022
6703705.196809025,1022.2257164796894,914.0386508496522,24829.378660702012,1748.1601629480615,202022
