S,E,I,R,M,epiweek
4467375.307818955,89.23809523809751,89.57884146617053,107.16095862621367,11.714285714285714,202015
4467331.012375421,88.95561058201532,87.740601780797,151.45957349300062,13.831838723081662,202015
4467264.3874078365,107.02478490182101,108.93512342984477,176.24322222392146,16.40946160750162,202015
4467211.057927938,106.5600173697093,109.21082747373121,226.70855221256073,19.462675005229755,202015
4467137.317757206,122.90916556391375,121.01142693822511,269.0879558950229,22.67369439674588,202015
4467035.696206395,154.94037272966253,145.42380356070697,310.4891427003097,26.450474614996214,202015
4466960.801350174,152.6705069882372,143.8560817664353,385.05091578379074,30.621145287594175,202015
4466854.4226669,176.8886690165452,155.37728444912628,451.42048113674355,34.89089849823033,202016
4466762.673885714,179.93240301979193,180.46789172817498,510.2095560438819,39.71626349456541,202016
4466673.717510866,178.9603448746532,192.1809939366277,583.0533431760392,45.08780714713655,202016
4466568.999328505,191.17735612600111,205.28821599798204,656.7441124047594,50.79098696630471,202016
4466452.1690616505,208.3002302761043,228.4441218971668,727.0597066676722,57.02687950864863,202016
4466344.156886425,211.34643402006324,238.47086961613104,815.2773735499505,63.748436389365914,202016
4466225.728869524,221.28607598079387,246.88511792659574,908.3772383943217,70.72269817471118,202016
4466091.37207997,240.00599798921576,250.05326963389325,1013.7202155862226,77.84843682034439,202017
4465965.52474378,244.51563327463123,260.13876913573756,1117.6322190759702,85.18863473327079,202017
4465842.6468572635,245.4060740372843,287.86854442560866,1203.963309446715,93.115214825671,202017
4465699.627468619,261.36059859299456,299.66031916861976,1310.7895336719878,101.5620799467135,202017
4465572.981488997,258.02342009935205,287.88466869679377,1444.0946483861592,110.01577381912607,202017
4465407.876175495,286.6130657137473,297.8225685875981,1562.2668220141431,118.42136818802621,202017
4465265.823361233,285.34409095188977,296.3908550059067,1698.4695881412308,126.97210466639723,202017
4465106.883454917,297.73985597040576,294.20778305995907,1838.7277066487288,135.44119940288033,202018
4464949.111690523,304.33132452709606,296.21853528153144,1979.3453759564563,143.99307371085024,202018
4464793.478551863,306.83151141005715,283.0805380485107,2137.1669330941813,152.44246558298735,202018
4464620.631693917,322.08723182546515,304.2475007045673,2265.0799234166375,160.95365013423708,202018
4464462.284817725,320.0730412672302,300.94054098738076,2420.1112557515676,169.59034426686677,202018
4464322.930990537,303.51091188092505,282.5783991796557,2586.040738967185,177.9389594341223,202018
4464170.832742497,303.837350774173,285.8619209214322,2726.3850534259727,186.08293237995477,202018
4464021.176061637,302.0618295743187,286.114667810542,2869.4211376370054,194.22630334014022,202019
4463862.721504676,307.9988962145207,272.44189078122184,3027.74343852215,202.0942698040317,202019
4463642.965788767,360.2592992349389,284.10833920167903,3175.739389973133,209.92718282132466,202019
4463469.590075429,355.3744321281359,316.8821376288815,3313.175420270597,217.97793454146117,202019
4463296.016995772,352.47990781690095,311.26501655123354,3487.3598142919445,225.8782655664576,202019
4463111.199184225,359.24358363390314,303.8089781787789,3665.1363047775776,233.6119491833837,202019
4462935.859225121,355.84292225948167,302.18509853701664,3837.8714470161867,241.2413070644946,202019
4462788.245487913,331.8555941811844,288.3644592387968,4015.721678988299,248.81277967746232,202020
4462604.69299972,345.8270240578674,286.5600398217487,4179.636536984747,256.2833994140853,202020
4462429.199238429,347.6051464390624,274.0865919391078,4358.557181696978,263.55184149365056,202020
4462275.688442084,331.1457854661238,248.40995966911638,4547.422326448534,270.33348632949725,202020
4462077.53090743,357.0046356656631,250.17118495678253,4711.496584434535,276.796687510206,202020
4461908.982406351,349.0384382766824,244.19400338399163,4887.602782330288,283.1823696552148,202020
4461721.234350459,359.56442006320015,248.8146700772956,5053.993662665578,289.3928967319352,202020
4461561.925208036,343.5737056494205,242.8227287069528,5229.213866804268,295.4644907996397,202021
4461369.468927572,360.2744257009326,256.3628798892822,5385.270826743585,301.6229400904492,202021
4461200.505021096,352.14070511851475,289.5512680763484,5522.630733191801,308.17227251327716,202021
4461032.334717926,346.1506639526664,291.49925650723947,5688.105682329293,314.9096792810891,202021
4460865.980602916,341.2378197583453,299.6710657575779,5844.342717174179,321.76779438926485,202021
4460699.661147101,338.02940309372366,309.64920167705213,5996.952842470425,328.7074056530031,202021
4460512.89982443,351.920167719187,305.7255844528965,6166.912488692412,335.54193470023154,202021
4460367.640119982,328.00000754871303,295.03100302558636,6340.100956878717,342.2279125596729,202022
4460217.291868761,316.9661298817633,278.004302311047,6512.136742561369,348.6009564791702,202022
4460081.853810142,298.4364920833835,254.2079393878868,6683.96614314124,354.5356152396017,202022
4459931.1767045325,299.5069324433387,250.195039335135,6831.977177715722,360.14414596778096,202022
4459792.107201297,291.15521826027873,245.9839706538027,6978.089194206292,365.66441557770054,202022
4459632.491772288,302.534024093384,261.62099122242233,7105.091606043111,371.26160634775374,202022
4459470.835046665,311.41924960445914,276.3975665085812,7237.194871491511,377.1532657262673,202022
4459315.6140028685,311.6435256292303,276.1735203255982,7386.376155204415,383.19279596824515,202023
4459147.491501398,321.7720129237492,278.2527220821849,7536.225945273958,389.2578183172,202023
4458991.249460202,318.46068185291017,256.8357483164571,7711.301216214938,395.15289340915,202023
4458805.879884637,339.85636772690805,280.4622081556218,7845.693010046349,401.10852942953056,202023
4458645.877164898,332.5963552564845,282.5332417271471,8004.708509461681,407.28472865181953,202023
4458474.33519192,337.0747664437251,291.8015644150985,8156.227842032462,413.560635183452,202023
4458298.133647842,343.3691440188665,296.160074861221,8315.346404130858,419.99072914180033,202023
4458126.615913803,343.24006865945114,296.2916440027716,8480.380292058904,426.4720814717284,202024
4457962.427631791,337.5761236367986,313.85868333585574,8626.412761687427,432.7247995442964,202024
4457782.221500087,346.8282610970024,320.6050906197719,8784.982293827896,438.3628543631712,202024
4457599.351516346,354.302503221074,311.90607102000564,8963.875275124388,443.564634282131,202024
4457429.3951526275,349.0969884241852,308.78129768608324,9137.045795531816,448.68076572521255,202024
4457245.526076462,356.37827544271187,305.9543356407098,9311.394965581503,453.7463468672232,202024
4457051.6415180005,369.0968384324811,324.3252921665495,9469.092658459535,458.84369293572365,202024
4456867.595569175,369.10341099790963,324.3191495610794,9648.00732921962,463.9745410410997,202025
4456659.384510121,388.06646450310296,341.7835043194943,9814.513026693967,469.2524943559112,202025
4456511.057679317,351.96448980766064,332.68991536971686,10002.65948492582,474.62843057323937,202025
4456308.7175503755,373.1347883538482,353.64404520948966,10157.424318619756,480.07929743480474,202025
4456110.956700167,382.2907260584904,358.7756428814533,10335.450117734725,485.52681315156633,202025
4455922.574465146,380.435921915034,363.24830273329763,10516.088519871866,490.6527903264869,202025
4455740.324416278,374.28262398341803,364.7877618701318,10698.256180015214,495.3490178462317,202025
4455538.895774138,385.5656996175646,375.7785320145717,10872.930885412321,499.8291088107984,202026
4455376.608583907,361.5572597399725,358.9653278393606,11071.702092389285,504.16673611755067,202026
4455176.313027744,376.933213193696,369.66051479882674,11241.59082629846,508.5024179583459,202026
4454988.257307938,376.6048626384803,369.02224956984406,11426.254850299365,512.8607295482267,202026
4454804.905998196,372.5169147833148,369.2093248051589,11609.313160121525,517.05460208777,202026
4454622.222249127,369.75788155303485,366.24474102311865,11793.554456036263,521.2206722545873,202026
4454437.579340776,369.5419026291168,364.40453461575873,11976.182601197605,525.2916207754174,202026
4454245.236933368,375.7905957274351,381.78600460286214,12140.795022364786,529.3914439304427,202027
4454066.2681661425,368.58784627924854,381.94837588285384,12322.609170660777,533.5864410281789,202027
4453876.307764043,372.7718118471029,382.1569871444008,12503.986941851828,537.7764951070301,202027
4453684.7459417125,376.8515934269952,382.0955800051656,12687.342683026181,541.9642018223815,202027
4453475.197914183,393.7683796052549,380.32738199258665,12877.564564567518,546.1417596446038,202027
4453269.211096576,400.99522751791653,383.9117632663438,13068.551158407576,550.330754224972,202027
4453102.291241032,374.4934357775623,370.237321695245,13271.500780201504,554.4772212873204,202027
4452914.869633627,374.33870467962373,369.41722425821087,13455.797895378248,558.5765420503507,202028
4452658.478340895,429.0133418242641,378.0110627786509,13644.798806694307,562.6984478012314,202028
4452400.820523438,463.8237517757308,432.0787645099743,13809.171432148023,567.1055281216475,202028
4452161.657034635,468.9502157991337,400.8975340572616,14069.957069862216,571.5381456400889,202028
4451913.063117741,480.6266803625108,445.40015840010176,14258.031710591464,575.8783328985642,202028
4451652.621410574,496.66473955554454,475.0859642433382,14468.217773116656,580.4101125046307,202028
4451371.127107041,522.7640248323165,475.01821559044515,14719.025118116928,585.0655344133911,202028
4451091.883309275,536.9130087624324,479.8168531469711,14974.63487972939,589.7519490803647,202029
4450802.698749746,553.6557597512037,499.12775459828316,15222.955737470451,594.5619984279257,202029
4450493.846943609,579.3944631900622,526.5460967240368,15473.864774542577,599.347721928366,202029
4450177.281951654,601.4816869571608,574.9166269786004,15715.083274193583,604.236460211281,202029
