S,E,I,R,M,epiweek
4648514.198598573,79.71428571428571,148.64993812922503,47.627653773771975,3.8095238095238093,202013
4648434.694122136,111.62211069861557,194.9241725953876,47.627653773771975,5.131940796192705,202013
4648353.574923137,132.44453909882665,253.29927028952392,47.627653773771975,7.053613700539071,202013
4648239.115431227,171.40147941455984,312.3765285313224,61.404006796044854,9.702554031546601,202013
4648093.137367664,220.15796538207093,385.7436371167784,81.74715270736834,13.213877130508088,202013
4647932.1877143895,261.55605575649247,500.48354866409267,81.74715270736834,18.025528483738572,202013
4647733.625666851,316.49031729063614,590.0594364877877,129.72963356971005,24.09494580193481,202013
4647549.337848429,338.03995296297194,659.9054344744325,215.76949582491227,30.9472683101239,202014
4647323.825469046,384.4621209927621,808.4047077175383,238.37638485835714,38.9313173867906,202014
4646988.335331644,499.7337427900785,1018.5516627738068,238.37638485835714,49.00287793550548,202014
4646598.092818347,613.054310956398,1190.4816886198346,331.2292985541357,61.141883524152675,202014
4645966.928652325,872.1052115645754,1351.7693638600904,528.2672379900382,74.92953426126937,202014
4645399.14203584,981.2227127957367,1677.1098129967888,645.4626191172401,91.06281925051587,202014
4644655.561321942,1187.057917111362,2067.8025078500414,774.1569868792373,109.42126621802666,202014
4644006.493943855,1235.3021762023718,2355.298980536559,1066.431155416072,130.47374399096265,202015
4643173.792708033,1410.2270612435225,2698.1699694464464,1357.9920420044623,153.81821927363944,202015
4642313.660081334,1538.0645546061319,3063.8306768831285,1698.7589398361652,179.6857473401738,202015
4641466.707749924,1603.6102040358849,3271.7437981112034,2243.093545944296,208.8447019854136,202015
4640535.321331386,1710.5652855139992,3541.365662600813,2766.05905162382,240.68866887591503,202015
4639585.903875452,1789.504641934405,3792.9340473730986,3350.847883664639,274.8095515769146,202015
4638632.032177053,1840.708029840034,4023.2366393690227,3986.8458806983317,311.17727303963227,202015
4637655.468581312,1889.2377687206615,4197.233751328037,4702.638822086258,349.42107655300583,202016
4636705.903005211,1897.5178744145892,4387.8766619087355,5413.525533770203,389.17692469567487,202016
4635731.449188933,1924.982363274614,4997.621731271792,5707.509535155651,432.4371813650994,202016
