S,E,I,R,M,epiweek
6888887.701980326,1746.1891260524865,1745.5850975379751,114.28570084457884,9.238095238095237,202014
6888216.303110218,2039.88060929427,2036.5690474490857,198.5379011059933,11.70933193202207,202014
6887480.055739598,2337.6316263921735,2045.9530331480746,624.2041514575308,15.155449403017242,202014
6886667.222949505,2651.3463741779824,2139.3099766588557,1024.9385304374132,20.1821692196157,202014
6885809.531287047,2949.1026728462784,2271.056016609709,1446.5476288667087,26.76239462867386,202014
6884846.740409579,3288.5468974002215,2458.3331038846936,1874.3680151233052,35.011574010334726,202014
6883903.835707833,3548.190683231493,2616.077580826555,2390.168181290879,44.72784681514906,202014
6882955.410884087,3765.671676636101,2760.115749334169,2966.4335286224823,55.36816131805814,202015
6881736.319407601,4190.1579193726575,3050.9018440349123,3458.5692535990643,67.05157539005798,202015
6880437.264291301,4613.3316703893015,3912.0899177905776,3458.5692535990643,81.74486691735324,202015
6879097.830761273,4995.463764137449,4758.24904504859,3550.9459309836293,100.51049855428452,202015
6877649.554362478,5402.564890129333,4658.340753800322,4669.809603012442,122.7303905775751,202015
6876130.02541172,5801.093276004561,4687.374944838938,5735.595545354753,148.91082207871617,202015
6874713.175254136,6034.302774712442,4710.03739820172,6866.061448192407,179.42312475438865,202015
6873336.960379974,6188.426456795356,4734.0065671026,8030.025082735432,213.58151338967784,202016
6871728.901725984,6525.500220078506,4899.936775425383,9097.314656224606,251.34662228465046,202016
6869858.393033743,7040.283852964157,5210.591779796127,10102.733171509137,290.998161985019,202016
6867964.680027392,7482.650732577262,5503.103142861551,11215.654188437571,336.9119087294094,202016
6866087.19802213,7829.733170170212,5729.299938384719,12468.083901649408,388.6849676629001,202016
6863983.371589324,8319.745712281187,6063.607880330853,13692.978851420441,443.2959666408298,202016
6862102.419851558,8517.945293392404,6234.006224193008,15144.11391597051,504.514714882834,202016
6860255.903479507,8653.741736255837,7599.985440749475,15416.962534006989,576.4068094781704,202017
6858142.954173944,9000.11072879758,7409.046988403957,17295.836055406402,655.0520534460237,202017
6856098.591399975,9221.894885324631,7296.47671235839,19147.293059460004,738.7439428793758,202017
6853898.011001378,9548.752729554879,8029.232838397248,20194.596547152953,832.4068835140878,202017
6851695.22895357,9817.483337716387,8598.293541346206,21457.975884863285,934.0182825019381,202017
6849521.46682536,10007.58937556659,8252.279481549718,23679.138655286766,1042.5256622350482,202017
6847431.801459347,10087.403422740736,8001.861965850473,25823.483982445916,1158.4491696152154,202017
6845449.597445442,10055.494801957568,7782.17787672091,27934.060986904668,1281.6688889744894,202018
6843386.183915648,10103.391501761567,7678.032026903545,29924.980488020276,1410.4120676665568,202018
6841343.812995213,10123.655905576818,7602.838998923534,31890.43392384615,1542.2581764398515,202018
6839235.98628856,10201.809314690394,8078.530636093241,33306.944126204005,1679.72963445249,202018
6837178.953398641,10217.071851755718,7880.93285590342,35402.87048032246,1823.1714133775863,202018
6835129.126731167,10223.282928122835,7748.011743346412,37432.376983243616,1970.201614120902,202018
6833155.880149419,10158.981686314644,7617.868160967664,39450.710093424925,2119.5599098736116,202018
6831175.697805832,10112.78567968898,7531.789557400857,41410.68587968266,2272.0410773957597,202019
6829190.89473,10079.215774379041,7462.905269814987,43343.356325092274,2426.6279007144312,202019
6827475.110837748,9807.42354052043,7251.321665526282,45385.18073586468,2583.9632203409838,202019
6825750.447942943,9593.042698250021,7078.0996967596875,47338.425251018874,2742.9844110290373,202019
6824018.036410989,9424.637833436978,6937.985333359494,49218.6040092909,2903.7364129244397,202019
