S,E,I,R,M,epiweek
6043794.876588293,855.5002371732427,855.480317606134,159.52380930712076,14.61904761904762,202015
6043516.007317409,953.1224910280686,843.4647264173553,349.0387349884569,18.366730155885623,202015
6043244.474109167,1026.4611245111462,843.1526849007591,542.9335659608907,22.978515458928193,202015
6042740.921727613,1296.2129040337843,783.3064725476029,831.2448764909618,28.314019314096388,202015
6042316.405221171,1447.1907791516576,938.6706708965544,943.2337225585503,34.49960622126209,202015
6041833.687074178,1623.6544270843642,1114.5970016507633,1066.2760977550518,41.785399330715265,202015
6041331.373371864,1786.066079566775,1345.413711804571,1166.487916409223,50.65892035430143,202015
6040849.147782875,1900.384618719635,1536.656666499563,1332.7471992300186,61.06373267390961,202016
6040295.36953134,2058.7574784802373,1708.4601834476705,1544.6396741654792,72.77313256506761,202016
6039758.387760873,2172.3416295106545,1717.956779886522,1945.2931997844275,86.02062994376821,202016
6039196.96786293,2287.593344451666,1748.564475650953,2346.4589396260258,100.41537733982858,202016
6038583.832235398,2429.0409426235556,1817.784717309135,2734.1278105373945,115.21429413088306,202016
6037941.960754554,2570.9652648802135,1899.913350483533,3136.6199456114728,130.54068447026256,202016
6037288.002430311,2698.1255819407374,1985.2044765135179,3560.363590600592,148.30392063330683,202016
6036676.480543285,2764.098214157824,2152.2183467529835,3918.241983513629,168.9609122899729,202017
6035949.885156322,2921.9772730638933,2215.871419368532,4399.059658246551,193.20649299731502,202017
6035296.817442892,2984.365959502268,2236.5758211447564,4940.4416654287415,221.79911103057097,202017
6034632.88529632,3045.32642059328,2264.4460065558305,5484.5724436375185,252.76983289148302,202017
6033862.268049801,3192.2530222786495,2351.7111743578207,5988.171066298818,285.5966872611426,202017
6033105.499764766,3299.8879876855585,2421.096633948059,6532.990375557128,320.5252380404409,202017
6032240.590041921,3486.3454051828553,2543.61469802469,7051.401659810478,358.0481950585009,202017
6031458.82551724,3563.261999233451,2600.845538720958,7659.4004084067765,397.6665363966799,202018
6030620.874391284,3677.0878591855626,2639.576006717268,8304.408019280629,438.05372353087864,202018
6029807.070685909,3748.5279771139453,2708.9081104539973,8935.360191594515,480.13303492605274,202018
6029168.126911987,3648.0384405801824,2661.511831609835,9677.75115293865,524.5716628829069,202018
6028376.541782065,3704.4764131528627,2704.065710622765,10323.772432472202,571.1436616853492,202018
6027387.762756864,3929.988784378667,2844.9512394711965,10897.827223397577,619.4699958869111,202018
6026531.371582598,3995.4863514495314,3220.9517411842603,11260.42785946836,671.7624652976331,202018
6025612.037508302,4104.55118804267,3220.954884212034,12015.248982417446,727.2074370234907,202019
6024729.306679944,4160.512457966111,3182.9042020834954,12824.391606152572,782.8850538520257,202019
6023851.756470023,4201.710152873437,3162.8500162772357,13624.08850844371,839.5948523807888,202019
6022884.325510313,4317.4449263911765,3262.3442396346773,14317.861762105063,898.0235615536911,202019
6021900.529697355,4426.749254814646,3299.066204563668,15094.939721859177,958.7151214057478,202019
6020930.568744449,4503.668327854894,3328.882934168902,15895.084552648652,1021.7954408763987,202019
6019952.573436468,4573.919820893696,3356.7629620553516,16711.646472252443,1085.0973083289712,202019
6018898.5263860645,4700.6093874036815,3433.875212905711,17499.620550610198,1147.3684630144357,202020
6017971.813386974,4688.467159300212,3410.8290577289836,18401.41579338591,1207.4746026095952,202020
6016987.39316918,4731.095478454602,3450.03093401316,19245.787687981312,1265.69273037007,202020
6015997.055587468,4771.34258532348,3485.074290288937,20102.38056227922,1324.1469746391228,202020
6015009.145312157,4802.06431958209,3513.2568151536284,20972.599104604506,1382.9344485005456,202020
6013995.426922553,4850.646053993212,3549.2296740438114,21842.927667984826,1441.7696814230264,202020
6013069.472616919,4810.64226704902,3529.861772498625,22770.2717434371,1499.751600094605,202020
6012101.982763644,4815.645345209755,3537.604700721022,23667.777085408004,1556.9901050155006,202021
6011125.362307276,4828.030681046881,3548.3742062295128,24564.09844891682,1614.1343565296715,202021
6009856.690741387,5103.793795538628,3729.986361002566,25318.71235964119,1670.816742428926,202021
6008825.38023536,5113.559890099486,3749.3747655296775,26264.909586465485,1726.7755225445078,202021
6007719.62370842,5188.567840400511,3665.713006457249,27324.511961078257,1781.5834836428437,202021
6006901.686184903,4989.253920518048,3596.2301837362274,28357.273686544555,1835.556024297825,202021
6005883.394991972,5005.893154329543,3165.4773203158406,29739.45616744274,1885.7783659397396,202021
6004928.005562666,4965.176821150241,3316.444505857983,30537.237297764896,1933.1358125609686,202022
6003963.6248226045,4939.699862542706,3404.452723247452,31391.895306539132,1980.3272850661226,202022
6003021.726785369,4898.26751960674,3449.2392093826957,32284.511524017304,2026.2549616234069,202022
6002123.708529291,4824.448757703062,3464.900455719572,33195.47731930473,2071.4649379813554,202022
6001139.405733869,4842.310340540935,3501.2019652254717,34080.845687243826,2116.236273119754,202022
6000127.181952946,4882.318524626715,3554.6305040036937,34956.03425289625,2159.8347655265284,202022
5999156.711614556,4877.081150794403,3574.535154333265,35868.94898172226,2202.7230985937663,202022
5998257.49164358,4808.024041488566,3546.4569850427,36822.84586937751,2245.181460510408,202023
5997358.153409131,4751.587677449756,3517.7710320590877,37765.467183787514,2287.0206975719866,202023
5996366.006904284,4789.689973911694,3536.411142857372,38660.15675302019,2327.735225926978,202023
5995393.563670554,4803.026544090266,3555.221147110256,39560.61738619096,2367.5712520535,202023
5994489.404710771,4751.828759856961,3517.0723588009046,40515.219085228775,2406.47508534192,202023
5993583.877506338,4711.107678146411,3468.809987283556,41471.80614509253,2444.3986831386896,202023
5992712.592832097,4646.8127279121845,3440.41610504606,42398.29865328354,2481.879681660838,202023
