S,E,I,R,M,epiweek
1343990.1009392047,51.80952426590214,117.18231211620893,45.24055774659943,7.666666666666668,202016
1343958.5077929974,56.28747125433761,117.1805118284656,71.45420784408097,8.570016075847068,202016
1343927.2375154216,58.755972480877496,118.98186572845509,97.52676659617502,9.49787977309292,202016
1343896.6228149477,59.85838161775053,127.98145775416036,116.98939575006706,10.54794993051761,202016
1343865.2389694229,61.15527728435471,137.24684269912737,136.59500029219654,11.763910301847858,202016
1343832.6070306702,62.932103772397994,144.55804399346363,158.82964240522836,13.073179159033765,202016
1343804.1199220915,60.682223883997295,160.07965809436016,172.63778927920038,14.48040665131356,202016
1343776.461872712,58.39761194223566,162.28417108511402,198.8969724065452,15.959371854409037,202017
1343748.9412651896,57.09339045491905,165.29827727831923,223.20692763055533,17.460139446804725,202017
1343722.2506674656,55.62864838018983,164.54122183085119,250.6228890464745,18.95657327713617,202017
1343692.2127524673,57.5086431598761,180.3932128828588,261.3814011580761,20.503990332285248,202017
1343668.5557612504,53.43258818294649,162.29623747034435,305.53262197572843,22.18279112095811,202017
1343645.3181571239,51.03461535732356,166.36909053771282,325.3095498234902,23.96858715810518,202017
1343622.7384346065,48.76306946932358,146.06856859483887,368.68732935708033,25.74259797286329,202017
1343594.1942444448,52.109915369852054,157.98399490985628,380.13392458931355,27.577920686740303,202018
1343570.7968857037,50.03761633949621,162.00709044191322,399.6495425725111,29.508864943201615,202018
1343546.166970473,49.86527376372902,153.99529647471857,430.5609069015872,31.41155238776275,202018
1343521.5778171297,49.71514013226488,150.0055987997331,457.45745264428547,33.24399129490841,202018
1343494.889573877,51.28776425573126,146.022095163244,484.7726195974005,35.02794710752623,202018
1343469.2024033794,51.53366142718522,149.9131166568519,504.53700995002146,36.81380858746101,202018
1343443.6075453828,51.58568467967169,145.91725214805854,532.2911012149106,38.59841657529054,202018
1343416.240041692,53.09893654247137,149.79256928126793,552.484881231326,40.3835712537488,202019
1343395.376364089,48.62523711938651,149.9759454076714,575.825142265314,42.197311119228296,202019
1343373.2618780253,47.164174102159635,161.41392883624383,586.0804165775018,44.07960245957933,202019
1343350.670450243,46.558059817391936,149.54317944799402,619.2704574176217,45.957853074732114,202019
1343321.422423928,51.39721926178888,137.7153012962637,653.7746208565311,47.690434658085195,202019
1343294.3752228718,52.674586021705,133.62379465385652,681.9947577121497,49.33163874135794,202019
1343266.5665812618,54.08398316188946,127.28193986956234,713.1668035644993,50.90069214315331,202019
1343238.7998929524,54.83612383988107,119.3475983600735,746.6419802206087,52.37440462796649,202020
1343209.5404259101,56.632640504740955,122.47000017072371,769.554659335705,53.80227407970589,202020
1343181.3517493464,56.874637359707656,122.70229141745854,795.8647404583959,55.20658141910695,202020
1343150.9662947382,58.73076695720181,121.21682069088168,824.5470055573343,56.53911205742389,202020
