S,E,I,R,M,epiweek
9983715.02690056,1369.9872535731486,1369.795369683375,373.8095238042987,28.38095238095238,202014
9983166.947836176,1620.0276253459188,1659.0021166724673,373.8095238042987,37.21289800307366,202014
9982543.274463363,1893.4846153128535,1997.1539894721839,373.8095238042987,49.277408048948914,202014
9981701.593291638,2313.59583196416,2059.2495868536953,717.5513586752833,65.00993086890435,202014
9980842.400803873,2673.691896727014,2163.334887677852,1092.99997291789,84.57243880571329,202014
9979792.50119496,3142.880202363315,2474.4208551045976,1339.6018528782213,107.59589469706124,202014
9978770.641281731,3500.5994410965386,2659.349434692426,1792.6108236770256,133.79901880551603,202014
9977671.792897562,3863.5604289215803,2893.6510365827553,2264.238187394208,163.7574495429582,202015
9976501.176249426,4225.807645239222,3135.0251197122475,2796.316706961034,198.67427866468046,202015
9975183.81430297,4656.8969798251555,3625.8513944155648,3151.1256722471753,239.31165054459763,202015
9973897.141118724,4981.529414526897,4096.882690981855,3595.688266906365,285.7585088638722,202015
9972621.062095836,5235.4092216321405,4110.96482284325,4551.531565682437,338.03229401071286,202015
9971357.658790026,5431.893177120994,4147.645210343179,5521.667121382406,398.1357011331177,202015
9969991.786228435,5686.014299889027,4257.11308914961,6456.141378722482,465.9450038091174,202015
9968808.360605786,5728.170405434887,4255.825239677934,7525.850810454308,538.792938651676,202016
9967370.619032266,5993.9633589802215,4407.59899383466,8467.79932560125,617.0192893231691,202016
9965927.990955882,6215.934821355478,4547.102202406089,9463.85071985038,702.1213005104908,202016
9964534.223025762,6353.120631668079,4635.736443324779,10539.616542524927,794.3033567251522,202016
9963196.32928378,6414.570824393455,4676.207135989465,11678.695861155795,891.196894686145,202016
9961797.682488553,6520.081862863107,4744.47029962377,12800.419468016089,994.3458809469192,202016
9960555.847541083,6463.880087877498,4705.791090466388,14027.681441124394,1103.7998394506155,202016
9959318.096729329,6414.827746801178,4835.046201224314,15072.672854370574,1216.356468277727,202017
9958143.720365506,6316.231983808521,4705.6930860624725,16360.372144179288,1330.9824204462566,202017
9956991.752335697,6215.254826700864,4593.275946384911,17609.667646769434,1447.0492444490144,202017
9955857.222153796,6117.609609599389,4707.490305527748,18606.771836076692,1567.9060950022551,202017
9954652.44799227,6100.465468466426,4593.147512336664,19816.485070963674,1694.45395596422,202017
9953565.93130357,5979.961375954175,4669.590876789414,20817.129602658533,1824.38684102947,202017
9952646.447768472,5728.703408322266,4367.842084913851,22158.92015568061,1955.0865826132178,202017
9951705.67955861,5542.461395139556,4147.54416169852,23373.556880954682,2087.7580035992883,202018
9950874.658769418,5290.486157508101,3908.0178079530338,24562.14232657209,2221.6949385514645,202018
9949998.0488261,5125.679115232098,3744.671691728655,25632.487444402082,2356.1129225387267,202018
9949030.631984614,5073.527214963262,3722.3296091520165,26539.123751410032,2491.387439864042,202018
9948048.22338661,5044.479361975159,3715.7569758101968,27422.402711870436,2626.13756373823,202018
9947022.609780325,5059.726523767934,3679.040011184886,28337.942170270388,2757.6815144549437,202018
9946094.944554076,4983.278628391386,3599.4784116081014,29292.305777475394,2886.992628452361,202018
9945114.187657284,4968.993012671415,3570.119851995707,30188.059499220155,3015.6399788319936,202019
9944419.018669004,4697.962597751481,3372.065632792416,31226.579920195567,3141.373180259997,202019
9943703.525592089,4494.571045686802,3219.5804105519455,32176.22780446657,3263.095147207465,202019
9942877.702866174,4428.363672474394,3173.6510780811277,32997.47265757119,3379.8097257011177,202019
9942031.220954753,4393.120803240633,3188.143498674443,33749.69583686579,3494.8189064687504,202019
9941283.510437112,4273.798360482697,2949.7006690372673,34744.42949189242,3605.5610414790494,202019
9940508.139856752,4202.357627723045,3026.1084734211026,35406.73111760873,3713.6629244993082,202019
9939732.585861262,4143.532408437851,2976.659664638931,36182.715270501714,3821.506795162954,202020
9938927.905556904,4121.8616488754915,2952.295825283184,36928.49264553686,3926.4443234026267,202020
9938127.84154167,4099.952572975096,2932.4094954899765,37667.18741628348,4029.6089735820074,202020
9937517.791462373,3909.4196214500234,2793.712213145457,38508.39329263515,4127.6834103982355,202020
9936760.343633464,3887.271083565876,2746.7925563389967,39243.93782016361,4218.654906469443,202020
9936203.925816977,3686.7346703045305,2625.068871580968,40035.648766157545,4305.621874980973,202020
9935454.75326109,3697.692434494608,2638.082065144185,40675.93755289818,4390.534686373967,202020
9934742.289774833,3673.161475558524,2595.954719266971,41374.23153648026,4471.362493861089,202021
9933903.475394404,3767.9549372180513,2633.0159059822463,42005.7574101523,4546.796352244398,202021
9933286.995975066,3643.631504271656,2568.164725742873,42739.14813774488,4619.059657174832,202021
9932651.805190777,3558.843768178035,2518.5386227784093,43439.42646921464,4688.385949051811,202021
9932053.81177926,3455.7171946816748,2469.98003403061,44122.36664101189,4755.124351017055,202021
9931491.627996648,3338.7767917287824,2406.661469097906,44800.48322906414,4819.450513462741,202021
