S,E,I,R,M,epiweek
5639374.824593681,87.04761904762422,93.60095281241634,69.05064398327906,7.476190476190476,202015
5639328.933513292,88.86086767498301,90.38321705314907,114.9440038109419,8.878398168839432,202015
5639275.132657176,96.02629358406887,94.43730560165946,155.99758447496814,10.406159162953232,202015
5639218.901852275,102.23659315981806,99.55350674175358,199.15796525254075,12.150082570653243,202015
5639159.363057758,109.42789075276315,127.46233860873306,221.47768181699143,14.269031063483384,202015
5639096.172061884,116.08521326180225,145.4818427432358,257.43958475165886,16.82129735928899,202015
5639029.396366589,123.41198307400616,160.16610779970316,299.33224483429,19.693297702500757,202015
5638948.620571247,138.56606333979727,175.5902218803104,346.38972475995985,22.83341877180623,202016
5638887.444116531,132.0764674504257,175.7089655788648,410.64461128035396,26.125839159260554,202016
5638816.072949354,136.55018358981258,198.62943285695096,451.11691072238193,29.630523476880818,202016
5638737.33766077,145.0320800862196,218.99558777939563,497.0986012115576,33.53607015296915,202016
5638671.770571922,139.4348391383519,216.53212859713003,566.6507626148336,37.61169772722111,202016
5638577.408296103,159.81734488847587,267.5190596678603,585.0757149813662,42.17958435906447,202016
5638486.742053516,169.28246625610896,311.1387988965776,617.3555906623501,47.481090668232156,202016
5638392.61586089,177.82731102613948,347.31437437157547,661.0266309081508,53.21582280395065,202017
5638299.617997617,181.6541152711161,370.2034297115872,721.1616508236438,59.362806575846236,202017
5638204.472416784,185.6824486710885,412.14847317847466,763.6367289230996,66.05993244349442,202017
5638100.493611891,194.4141142898389,402.69052289209975,860.9730260934678,73.4287248339309,202017
5637983.851003455,210.36363455726547,452.42437656700645,903.7351419614695,81.62584345991812,202017
5637855.560536628,229.47078125368986,494.45338637843855,961.8204692924853,90.69482644868948,202017
5637719.545209657,247.10779951699192,546.6128241850685,1018.0603514026193,100.67381523853021,202017
5637586.870609854,254.71700405161556,604.0681637458074,1074.6310061975046,111.71321615071733,202018
5637441.022460115,269.7894616342262,636.4016294634306,1161.1959449047092,123.59050388280181,202018
5637271.978766089,296.89792136730273,663.9913346076276,1263.0970864486776,136.03489148712492,202018
5637078.489306898,332.7846757946961,712.0366981969551,1359.642452644252,149.04686646632078,202018
5636863.563283221,371.29953516000455,745.254321445072,1489.2125922970158,162.6702678773056,202018
5636618.668285791,418.4518618153747,796.1132644844074,1621.6894359738706,177.07715193570775,202018
5636360.271979947,457.59357819658334,839.3549598835722,1782.4095266516124,192.36995532206535,202018
5636103.288984706,480.0212957871207,885.268712082292,1954.9051253577575,208.51588206768642,202019
5635794.442344787,534.3297788966271,908.2072282867387,2169.7513574453437,225.26929058540046,202019
5635462.1220554365,586.4776712822048,956.1673767360994,2384.5345447058885,242.69835183972452,202019
5635095.637218538,644.8008055525783,1012.1334452223521,2618.3243095446187,261.1042211427243,202019
5634679.106168757,719.6323523531995,1070.6481245135683,2882.0422350496847,280.5711193268411,202019
5634263.446353864,763.4397801021944,1075.9037327743515,3228.572509649194,300.637623610753,202019
5633814.115908982,816.9520260124264,1111.598627536455,3568.2418385994342,321.09159886938744,202019
5633365.3449370535,848.6185869986813,1129.5267206157805,3946.454250581829,342.05550474968885,202020
5632891.309572809,888.1205756680837,1139.6196305625122,4349.700792388082,363.24942857167764,202020
5632374.985596769,944.8543324952934,1155.0538745218123,4772.412906175045,384.69329003880716,202020
5631870.066436293,970.1449020454395,1167.9807562087456,5217.387001019274,406.42090443307114,202020
5631348.936120242,999.0636756496748,1200.5321554523532,5654.874730280925,428.5933183742913,202020
5630781.166528866,1052.3437321160784,1198.1932173844755,6149.290071686135,451.00644994596155,202020
5630197.175600202,1097.0580712376254,1149.2872018847115,6715.270011457766,473.2091152163101,202020
5629582.90454111,1148.7940155050385,1134.4250914700447,7270.73831254744,495.13803936623043,202021
5628948.565910886,1195.747584052075,1122.227331231175,7848.645117061735,516.8140567677648,202021
5628316.337565762,1223.0437140352237,1127.221288269058,8426.952650396754,538.4447815363634,202021
5627683.756054177,1240.2112581852164,1150.9613845837916,8996.65205736842,560.4192456846575,202021
5627059.367340342,1243.9876835760344,1168.8736291717753,9576.915377159665,582.8559697486027,202021
5626412.476435255,1264.1587288470146,1183.5718718782682,10166.193584711942,605.5993793053343,202021
5625738.299536207,1296.6556944084589,1149.6841956533472,10819.260426020139,628.1001477090828,202021
5625053.808366715,1325.0894899715158,1132.3202586486732,11470.653130910614,650.1287537518302,202022
5624370.286221827,1341.7458727215173,1139.9384065710885,12107.925781259484,672.1037176178643,202022
5623695.969054263,1344.502641652021,1115.2404833631874,12782.407505729543,693.8803149894213,202022
5623051.721613176,1322.6429419337117,1125.163183005776,13416.896508510517,715.5757533709408,202022
5622428.069237229,1293.9991886257105,1154.4742902667906,14017.792110506,737.6651733693764,202022
5621798.106045079,1281.1241413964847,1161.4852810569705,14631.19084079136,760.09369167297,202022
5621163.742499851,1276.9777643510517,1189.0449890575667,15219.496181214095,782.7385655236054,202022
5620503.739986373,1294.224402176442,1173.9410755136842,15854.767453159353,805.3270827741098,202023
5619878.188082351,1277.9406070565276,1199.1847660162337,16448.92121852582,827.7653260468371,202023
5619287.526794379,1240.3815784209469,1199.3166091433523,17054.672276965117,850.1027410884551,202023
5618674.790641609,1234.7136057826276,1176.1090271225366,17674.230113444617,872.1566120388129,202023
5618071.775482324,1223.9905811486913,1163.0563439837051,18279.289927508227,893.8876650322213,202023
5617473.315064695,1214.6060359970797,1196.4038877260052,18831.838351264738,915.8366603141078,202023
5616892.574114432,1193.9005056554156,1209.3758112618796,19397.92828032195,938.2212883259907,202023
5616333.196724389,1163.8742498462511,1194.1220110826835,19980.229373581486,960.5776410975267,202024
5615795.684471524,1128.8226142187111,1199.4520267005785,20525.19190678329,982.8489807696898,202024
5615275.042401605,1094.5415776446473,1207.3438045321584,21049.846749704426,1005.2254665104796,202024
5614763.773587108,1066.3200952531906,1233.1192649979457,21540.854456123474,1027.9325965144665,202024
5614240.260918015,1058.4673035105661,1197.1600322022737,22085.81708089608,1050.294665372983,202024
5613749.939962403,1027.2562065911252,1176.61449559584,22606.07339392356,1072.1159414831282,202024
5613292.03503812,983.0451319785163,1174.170097586751,23089.004835118478,1093.744897192887,202024
5612852.025158429,942.0844290871682,1169.1276140556638,23553.464414555296,1115.2983838697571,202025
5612443.30248896,892.4802058890872,1153.7028162023867,24005.853005409783,1136.6614835355122,202025
5612051.418306897,848.8999752349004,1130.578493475273,24443.441806199604,1157.6614181902771,202025
5611636.858803429,840.5213898199247,1075.9393178975718,24900.79853922975,1177.881949621068,202025
5611228.146204969,830.4603258576906,1034.6470170478349,25341.501130024273,1197.2453220986638,202025
5610839.544908557,808.6149910254019,1003.6912272442671,25764.190931462388,1215.9579417077487,202025
5610461.020213338,787.7006206517046,954.1027415519849,26195.262308858764,1233.9141155965424,202025
5610091.600811807,767.8565288133626,938.7006597939995,26582.539877347335,1251.3021222341515,202026
5609713.642776545,763.0632039024625,923.0846578972928,26963.8372270685,1268.37213458312,202026
5609338.649575929,757.6003109385721,889.322388850768,27361.450468279974,1284.9772559981539,202026
5608967.352883409,750.958990165857,868.7555831600944,27743.819231732497,1301.1133115295881,202026
5608595.683329357,746.6965869165807,817.0621281898786,28156.00260198353,1316.555353550697,202026
5608246.505668299,726.6067251482226,744.1646046880942,28583.88445928608,1330.838542575679,202026
5607894.41339879,717.1268204413467,702.588350510545,28973.776003117433,1344.0954271374085,202026
5607519.557985249,729.7092894214209,681.7467584388994,29344.207453920644,1356.7785129671342,202027
5607157.943453787,727.4629707177845,678.9287058661419,29698.393479594295,1369.271390031823,202027
