S,E,I,R,M,epiweek
6137064.643111608,101.42877102556294,225.8003544429714,32.365858161995156,3.761904761904762,202014
6136971.816806004,134.57006204090078,225.80191866052067,91.29203141294298,4.5191818816880325,202014
6136873.249609011,158.9560673747,240.5945534842269,149.84516310727764,5.354607022385219,202014
6136763.871852605,182.52952337823515,264.88309634224254,210.33527870921844,6.3802489655938395,202014
6136646.845820417,203.07897880479015,298.5425536528263,271.81363100392196,7.719016121757854,202014
6136530.390869972,215.9244690716273,400.31602353275434,271.8136310085635,9.555006415127034,202014
6136381.040739812,249.47212597102993,489.3119932262982,296.3481742159154,11.826966774654736,202014
6136246.793596849,258.00188867712774,612.2928605276816,296.3481742159154,14.56347973045705,202015
6136066.983572628,298.4532687215511,659.1511182725741,385.6143750535204,17.797665324144933,202015
6135884.55677994,325.96547832197564,810.1599221223761,385.6143750535204,21.70344456259852,202015
6135702.889701048,341.5057895915351,933.2161492626474,423.9724467832288,26.4159133150864,202015
6135508.289024375,361.1636447636452,1073.9761785723515,452.72923623490135,31.841916054384207,202015
6135285.599649853,394.7617255795712,1144.3479444019931,565.4530797824945,37.83760038352411,202015
6135065.740526294,413.14983312100367,1249.88242797559,654.9140318078204,44.31318080193122,202015
6134851.32702607,418.99049238546627,1186.6128162414398,919.7285519640061,51.34111334009329,202016
6134632.080283205,427.13315398209966,1255.9156340102554,1053.980309121472,58.89061968312366,202016
6134406.197264397,436.6903807566472,1221.9620643124563,1296.180081308747,66.97020922698266,202016
6134183.8684041435,440.550387802832,1332.3713992847283,1395.4260280268009,75.78378074356043,202016
6133953.342951877,449.1417855121806,1428.8511731249755,1511.3550199553472,85.30906953186272,202016
6133723.939489048,453.3994553380818,1518.5100744728873,1636.671995137675,95.47898600425174,202016
6133491.8647638755,457.7317807405211,1539.1705680273583,1833.2060658317885,106.02682152567041,202016
6133257.526104597,462.1782284293109,1559.8121043501328,2031.7661421185899,116.71742050514708,202017
6133050.071915324,444.17779662598593,1704.5248603709688,2101.2383870348385,127.98704064496687,202017
6132831.963767137,441.463394016367,1807.8919531590232,2206.57086733859,140.11001834914907,202017
