S,E,I,R,M,epiweek
10486624.280518528,680.4805871018174,680.4769896590126,90.47619042583294,8.285714285714285,202015
10486420.82781978,741.4333554415343,659.3309338818809,252.1540007131177,10.25389018586905,202015
10486199.79586501,807.3907581849453,663.1196231772841,401.1103581807663,12.583395449667064,202015
10485985.25150456,856.2487760887905,825.6797183730748,401.4064382103473,15.413562772728225,202015
10485749.517333584,914.5853727025551,798.4527245377749,602.6607274439032,18.783841735719356,202015
10485519.000785593,957.6829418529303,785.8926125630783,798.8605156450578,22.563144348462174,202015
10485268.152163493,1011.4984485667463,794.9478270440388,982.7464850535865,26.655075845618377,202015
10484995.98477623,1074.8336967872174,794.9538656090638,1187.340085752527,30.887575622779238,202016
10484758.254948908,1095.5493469591515,810.9318431783979,1384.018686942391,35.245174012971,202016
10484526.070541995,1107.4539042886554,820.8853836252889,1589.432457228695,40.15771286436005,202016
10484259.551815813,1148.4113411171627,847.8818431154117,1782.280460589187,45.87453936747406,202016
10483961.332680888,1211.0526659169539,945.1479837268574,1914.0350902714417,52.43157919824919,202016
10483687.106096989,1240.1022223163914,948.3849170204836,2148.360755641482,60.04600803529048,202016
10483383.930306038,1290.3524190855533,997.7170350050158,2343.5017743023877,68.49846557069473,202016
10483082.591927132,1329.6422369531365,1009.2589723180121,2585.08360197567,77.42326162301177,202017
10482810.626331694,1335.116901524642,1005.4702642649017,2845.7488814501353,87.0376210667885,202017
10482505.354673555,1369.8826137025846,1022.4675781240452,3088.6865955000326,97.60853911826878,202017
10482199.953839328,1398.4568798200364,1038.2597073112936,3338.1969403666603,109.13263317299676,202017
10481858.993741997,1454.1791027105319,1072.1155846730385,3577.4152816582464,121.29628896007218,202017
10481529.687062632,1489.183356359843,1096.3552412246943,3834.931222843872,133.84311693787197,202017
10481221.40510088,1498.7069414438781,1104.3569240291486,4112.87842401251,146.65260963146073,202017
10480881.538329469,1535.3835568354614,1165.478119651148,4341.680093674861,159.9199003668223,202018
10480527.121913424,1578.4867684055112,1202.1529923594694,4602.485280348127,173.7530454598224,202018
10480195.155307103,1593.2487517632142,1199.9256327463925,4907.517769593016,188.15253878987465,202018
10479792.594813123,1669.4380687673574,1223.1572216161226,5195.762171052723,203.04772543683282,202018
10479428.371260153,1697.0599704051626,1245.4374329169348,5494.701961290247,218.4293752310859,202018
10479029.28968964,1751.3530541985922,1283.3504395487669,5785.72319647486,234.28362013352844,202018
10478668.851134246,1760.63868210191,1293.4001817874089,6110.682377142866,250.4276247155653,202018
10478334.063458953,1744.9204999697115,1286.5408514130493,6451.690104515476,266.78508514336755,202019
10477950.749122519,1776.1126327725142,1297.7311275791437,6776.12548859828,283.28162852512907,202019
10477523.814836605,1841.3595494075482,1342.4797839143962,7076.209558481526,300.1362715852609,202019
10477070.759804329,1918.5135486847819,1397.6610907787015,7379.746340782544,317.31921541960173,202019
10476656.479263874,1946.3735514412708,1423.2294377763096,7723.336123385541,334.5816235177449,202019
10476222.44782745,1987.0924154194367,1449.5191356900991,8073.3138981655675,351.62672326834723,202019
10475790.261488376,2018.7624481540745,1477.3824687139718,8428.892009741876,368.70158500880956,202019
10475392.338884402,2013.5221284825266,1480.4509206014548,8811.648511497133,386.0395550106078,202020
10474960.365085943,2040.1916039966065,1504.9742100415199,9175.285428459561,403.183671553976,202020
10474519.361701494,2070.1943356744787,1525.6265051061841,9548.682375468847,420.1350822508526,202020
10474023.967180735,2144.2528240906113,1584.2883620918108,9894.336716736028,437.15491634283967,202020
10473510.830391169,2220.9296638372903,1634.9142308997407,10263.032804346502,454.2929097438557,202020
10472986.040799735,2294.272613575159,1686.4847269159914,10645.4584986103,471.74336116016394,202020
10472477.476232298,2339.5158989565152,1719.1992141609462,11058.353217785025,489.4554367961511,202020
10472010.42991006,2338.7999486233516,1724.6432405801547,11503.219182021372,506.9077187104796,202021
10471521.772080394,2357.8486894243288,1740.7271538680002,11939.721331572213,523.930744737106,202021
10471012.768144503,2391.89931638838,1759.2983410955685,12379.845716414853,540.1884815929403,202021
10470467.029362654,2453.3350737710357,1833.939367825071,12773.456614847704,556.2395808965052,202021
10469877.096415924,2543.5845009773952,1882.6309277929236,13208.458923662674,572.2292316380439,202021
10469241.92514933,2658.599147353934,1953.3322293414815,13641.628438494907,588.5150354735154,202021
10468650.2884243,2713.1294599890434,1992.1601323183024,14123.173619354096,605.2483640331106,202021
10468025.241532084,2788.1387731913874,2046.9775786604894,14601.801406425104,621.8407096349196,202022
10467429.722390916,2822.6658426570857,2077.821451928511,15115.331189881254,638.4591246122073,202022
10466820.715301117,2863.1459940107043,2105.2806743338697,15640.281099948448,654.5769305855309,202022
10466235.601169728,2874.5742697848723,2120.445772681777,16182.586952961665,670.791834838199,202022
10465496.833493248,3023.6421731159876,2218.0263864888047,16657.68995860315,687.8079885393146,202022
10464731.943745017,3169.3762195639197,2318.308813929567,17158.658521118963,705.7127003650825,202022
10463987.10639081,3270.3414996427296,2388.0022096051275,17714.584137739454,723.9657621964506,202022
