S,E,I,R,M,epiweek
1934212.8610336785,70.4761904761911,77.891831903607,40.4852296558679,6.285714285714285,202016
1934174.7772105804,72.66791853777063,74.88959956609928,78.5726157255956,7.092655590000333,202016
1934130.177610003,78.98696240339328,78.99335870579897,111.8650633953689,7.977005492300309,202016
1934090.6178319282,78.6004517402736,80.26237513413392,149.58650399244408,8.932837204735906,202016
1934045.4473335075,83.28989501884756,84.14633579726677,185.20942194570708,9.907013730418996,202016
1933991.155312414,93.45456255775551,94.8447835001784,217.56907340800254,10.976268119905912,202016
1933924.617068121,109.28847956480892,106.0525543598733,255.98692139696172,12.054976557168164,202016
1933844.4268351542,129.82363861400674,125.02518232357141,295.5283873482263,13.195956559928671,202017
1933763.4358243316,142.93815993981494,148.98490810526505,338.08788725768227,14.553220365583277,202017
1933690.612059483,143.99064293746716,145.45449025741667,411.93952885613703,16.00327846563729,202017
1933607.9812841506,152.60424807179555,158.9690304804066,470.9159550183557,17.529482278462698,202017
1933489.97825711,186.24189484981096,196.35167914933353,516.095333591109,19.332835299254864,202017
1933374.3603370748,204.34226813394858,211.43886150858515,596.4827165933598,21.375816688971863,202017
1933241.6222745006,228.44516831385167,212.48134740101992,701.9889104745349,23.462299309698796,202017
1933095.3807934115,254.057188301235,231.73044145113997,801.1798428859712,25.651733949739384,202018
1932935.847585468,280.11626188540026,263.50656974733306,900.6234031307438,27.90617976801836,202018
1932780.3590142722,292.4014348043826,270.9744608266081,1034.147003782843,30.118086313629238,202018
1932602.189824016,317.5080339087002,259.1308273362941,1196.9245991695866,32.2467155690893,202018
1932399.71635564,353.4956687871886,329.9707905389503,1290.189852835548,34.627332198074534,202018
1932143.735119917,416.38832245811443,350.9788567577284,1459.5715409780987,37.32615988891232,202018
1931905.0830518478,439.74855579126796,323.9970571651221,1699.1543321073243,40.017003088284724,202018
1931654.8572530593,463.78618178362615,328.4644846351526,1918.095990237529,42.7960902840447,202019
1931380.8960918915,497.4468547517539,347.267978704051,2136.6936909409355,45.695383711454106,202019
