S,E,I,R,M,epiweek
1359476.4650347955,81.52380952384922,90.61083775737534,54.78127030442544,7.619047619047618,202016
1359432.2363080722,84.19321828496473,86.86489065548467,99.01828719880379,8.687295788629253,202016
1359382.6045395127,90.19384448979,90.68367318236983,137.73640363961005,9.781539175818159,202016
1359312.7548180271,110.2177134651743,113.84828143954694,163.09107101717842,11.088116051358414,202016
1359261.2445152067,107.25281590098379,119.75499872027311,210.17985002482422,12.567820147586637,202016
1359192.628455336,119.44214573503771,138.974139568815,245.7941142269515,14.16114513343307,202016
1359129.635540578,121.69319083643957,139.2000309467672,304.59428802029333,15.876949618570386,202016
1359066.054053379,123.5052486581569,139.64321920124235,364.2055494924994,17.591929269392757,202017
1359009.3904434554,119.34510451162654,151.27436794869845,411.60552077903833,19.384563305613796,202017
1358949.4811075353,119.5292940579359,151.0952277309522,469.6539958593684,21.24037481681524,202017
1358879.3180427703,127.87588298951265,174.34432356005206,506.2199379429047,23.241812737832987,202017
1358818.888730043,125.23985049395638,185.86709250926646,555.5441780185374,25.460148935689098,202017
1358750.1186793614,129.90984275181268,186.0172736143804,617.2100126062912,27.744191666633057,202017
1358682.9289772708,131.25404803317446,178.45576650425033,688.3812351784742,29.979973013780278,202017
1358618.79515651,129.84405007949013,182.62211457270556,747.4454390597867,32.293239778368864,202018
1358555.971712947,127.81887904808634,182.75640039745394,809.7286285335108,34.72437907445999,202018
1358483.1086153092,134.55929591504665,186.6956494441941,869.4853376824265,37.15110164956386,202018
1358413.3266811464,136.34024515214762,171.81788258598516,950.0407294218702,39.4744616941708,202018
1358343.2378486854,138.03357680666275,186.26218896025418,1001.6560310413311,41.810354507092676,202018
1358254.8385637195,153.43383639420875,219.28469576130476,1038.989849972073,44.453054153685684,202018
1358171.5456156367,158.40134441451588,226.67325445697767,1107.0215985419495,47.358186950484125,202018
1358086.6343737592,162.59005963086224,230.42136894291687,1181.0200437472683,50.3341539205654,202019
1358003.2543651168,163.81891955310505,230.51846768342372,1260.0738279722227,53.33441967534543,202019
1357922.7370181875,162.29642475165065,233.37074224258095,1336.1629731479559,56.43284167109444,202019
1357854.4393292877,151.93535962019334,208.71458872402195,1436.464459019006,59.44626334979097,202019
1357766.9603255917,161.85611882175252,282.896640856036,1436.464459019006,62.82245571217411,202019
1357691.2299044232,157.74956651402223,289.72042358673946,1505.5217889130706,66.77831656365885,202019
1357611.4135421652,158.80790113880002,316.32755274875115,1553.4543332342564,70.996670713695,202019
1357530.5625495624,159.9784331840259,323.10276013297744,1621.8826049518468,75.47365216922421,202020
1357446.2890717927,162.89485062570216,293.7205025111811,1728.2086778050955,79.8868972657021,202020
1357360.723649335,166.67185833795804,322.4150829110222,1776.7533141841807,84.43609523215557,202020
1357282.2175076872,163.25848421347982,336.21178426360484,1840.0634625779333,89.24876125820839,202020
1357200.711251787,163.40437382999326,344.76056838923796,1908.0639190820236,94.0598869122013,202020
1357117.020013101,165.47820302774784,383.96925614098643,1945.5700326302376,98.96249510048037,202020
1357031.6824856761,167.82096716882117,427.5807336728044,1979.6139400571037,104.30187342565502,202020
1356951.012227252,165.20410559287632,405.8832035989342,2079.1266765027262,109.77378705405926,202021
1356870.7240936982,163.5468796176582,405.8222611971814,2155.799099653413,115.10766583411859,202021
1356789.4745694457,163.31747636583958,405.7653563293974,2232.0018397240447,120.44075813564777,202021
1356696.4035868696,172.61662374093135,450.67835180327825,2265.093112443091,126.20832514367157,202021
1356612.6825703103,170.6627058595978,440.2293448355887,2355.0997815323494,132.32559746278525,202021
1356537.6636339314,162.4693953085703,426.4597434979653,2446.1269500397602,138.28027722291995,202021
1356461.9186524362,158.46086735684418,429.72640459088,2516.7320146399743,144.16206097682058,202021
1356386.3720044654,155.7686194370504,426.1823280798635,2592.633764216118,150.0432838023306,202022
1356311.4139743538,153.77808078149215,429.5325894440409,2660.3501641669222,155.92519125461808,202022
1356236.4603501118,152.5941508666042,422.4497304574839,2737.715263432545,161.78050513247527,202022
1356166.7660489564,147.70504811949792,453.7343996754249,2774.983220894355,167.81128235511193,202022
1356092.7547578763,147.7952614141878,408.8865369925351,2887.8376673481994,173.7257763695603,202022
1356019.2382217022,147.80090294639334,405.0034561276151,2959.6379779384583,179.3194412860583,202022
1355953.1992430454,141.6958450384486,370.36999565680816,3061.0896800591026,184.64523620085015,202022
1355870.8192439992,150.89542771473847,387.91537434695636,3111.5109524730115,189.8590014666147,202023
1355802.2130091516,145.51110751148238,388.0604422010326,3180.018274672707,195.1971664635438,202023
1355731.4947818397,144.2696958817761,394.7934858821457,3239.863800117961,200.57823627882627,202023
1355661.3206905727,143.00164123451586,398.18550560906215,3302.460540811954,206.03162177205425,202023
1355590.5362012836,143.08899587458203,422.1343613560733,3343.565794064141,211.6746474218727,202023
1355518.5940622005,143.71613205884168,411.70335995485544,3419.57670627785,217.4097395082588,202023
1355451.4996345637,140.19152342395816,387.46618726135074,3508.9376138655693,222.9050408855689,202023
1355383.8433707291,138.79054762638205,394.2483010344124,3565.830624418937,228.28715619137122,202024
1355317.3704002756,136.8612076681627,394.26058731308484,3628.7908967440385,233.71690799929766,202024
1355257.831788804,130.32306937303468,394.17004110099634,3689.5264790624415,239.14862165983467,202024
1355198.9211688277,125.5957094946826,383.9287630352812,3758.0473547132992,244.5070039293537,202024
1355140.8665682778,122.08687488015318,377.07230163526077,3821.228205204082,249.74605000293755,202024
1355084.6899749278,118.29130582729384,384.26400595604093,3868.7646938197677,254.9900194693294,202024
1355029.0531391352,115.79193139000643,380.7157787042492,3925.186962772247,260.2521879984763,202024
1354976.2128450118,111.89283192947437,346.3885514598998,4011.014933822607,265.4908377765101,202025
1354923.0864066677,109.95241342737378,343.1955964251504,4064.0127841807944,270.7527992992339,202025
1354870.2932558933,108.61639107481433,349.33044073721754,4106.7201857152995,276.039726579789,202025
1354814.1717326902,110.34902465704144,333.6394162650264,4171.591626654538,281.2481997336476,202025
1354770.104523119,101.81522900362259,308.6879435715432,4244.241671565708,286.1506327404484,202025
1354727.773505955,95.52093248271086,308.52674449256136,4288.3109718361375,290.8678452339465,202025
1354676.5822389652,98.68691836555463,314.67492108184103,4325.427699080192,295.6282225075255,202025
1354643.6967448127,85.65953392493861,293.2028411336514,4388.16418173857,300.27669839047974,202026
1354603.6009876109,83.69604136228925,293.2496904797144,4425.698869846542,304.7544107007791,202026
1354568.1080797205,78.7573101047472,271.46839597343495,4483.604941910651,309.0612722908374,202026
1354531.1648072356,76.77029294318909,256.03825810926446,4533.943483991054,313.0831577210023,202026
1354497.9186684014,72.7710575318164,262.3757932974624,4560.894901443401,317.0395793258967,202026
1354467.0118692238,68.49515075794756,271.8348560283888,4582.544542830604,321.1135811591168,202026
1354435.1944823132,66.54644803525726,262.50425440540636,4621.570384982614,325.1844302634981,202026
1354401.175456995,67.09144292747732,253.15532491775747,4660.46669199189,329.111083168051,202027
1354370.433101147,64.88533693934431,253.1708202382957,4689.54088864838,332.9698530270859,202027
1354335.4095773492,67.05252397792485,265.60580813770696,4706.010424308611,336.921666226569,202027
1354311.3464088063,59.531195072468094,224.96628897678173,4774.506877058085,340.6492300863961,202027
1354282.873993214,58.44545092950803,209.38006704519992,4816.344670875728,343.95581793565634,202027
1354254.4164045597,57.755611830186346,190.65212564263976,4861.177285527071,346.99857244060655,202027
1354229.5516566741,54.597476847150816,190.6672881663261,4886.278119843002,349.90545846957826,202027
1354201.5406955252,55.195121990196036,190.64218150442332,4910.812336799434,352.80966418082255,202028
1354175.195442683,54.22362048561705,193.78677051702599,4932.05464520647,355.73952110810825,202028
1354148.1138670864,54.15504727807589,175.73980750395125,4974.403110959189,358.58816717291785,202028
1354127.3278453038,49.180209701628044,169.70157291329528,5003.485988368303,361.3043837134302,202028
1354101.9099829476,49.83168920707274,169.71675877300177,5025.57102876686,363.9705403058717,202028
1354079.1319387774,48.11308177415911,160.62895405737447,5056.56152944605,366.5644959456053,202028
1354054.943594388,48.20181657968823,157.60474035491566,5081.186025166422,369.06382351146283,202028
1354030.3528215245,48.587288830163175,157.60049678290565,5102.918475766011,371.54091709694984,202029
1354006.0494247633,48.46802837146791,157.720639450678,5124.743005088795,374.0189023260679,202029
1353980.4944623522,49.4807157847956,148.57928303437328,5156.025540931732,376.4199978969982,202029
1353956.2993195467,49.03979377292828,142.48000215907956,5184.476801376088,378.7040831452822,202029
1353933.22430395,47.54505855174939,115.35636363982739,5234.157455274374,380.71681858405606,202029
1353910.0497819134,46.93939134092742,96.45359047182586,5275.226902818924,382.33033345490645,202029
1353889.1874614477,44.8012568598301,84.95016305821898,5308.333847546815,383.72727108736245,202029
1353868.5845805353,43.63073782578895,79.18543137057627,5334.450750928681,385.148499339556,202030
1353842.8003786586,46.66360176886729,75.1511647318648,5359.766502340288,386.6183525002979,202030
1353820.6204555475,46.12478057881987,69.98079803690179,5386.233016721358,388.0409491152316,202030
1353796.2160658543,47.22763039296645,70.11762572907014,5408.019413726731,389.4192642967906,202030
1353772.3410689277,47.420950547683766,71.3116845022619,5429.098834056217,390.82746196599635,202030
1353746.0775719956,49.448448060271716,73.75791320479905,5449.435733631151,392.2803331080489,202030
1353718.3890844055,51.739907396939834,75.17022600939889,5471.967900534248,393.73288165385213,202030
1353692.9772639743,51.35518041529542,73.00048128223659,5498.553333146645,395.1137411814354,202031
1353668.7450196238,50.26743345265329,70.6515531741164,5524.913617097345,396.42237665191686,202031
1353638.586415527,53.95912264093134,66.42701625400329,5554.369970074238,397.6574755036284,202031
1353612.3612668456,53.37918717000043,63.5369922805294,5582.877668062708,398.84488564078987,202031
1353584.8597125476,54.063624733501285,66.8595892526295,5605.126217192056,400.09085627377794,202031
1353555.187623425,56.16515117184834,68.51498855913366,5629.781781184476,401.3504556592457,202031
1353527.2762464418,56.18926305795494,68.29964992130641,5656.695295451053,402.53954512745116,202031
1353500.3918429103,55.13488628872719,70.82924801043393,5680.8867836686895,403.7572391214015,202032
1353471.4160113279,56.205543603571606,71.71411591577616,5706.6726460662285,404.99168308608364,202032
1353441.985054423,56.96602523770001,72.65863703721925,5733.15836390983,406.2319193917563,202032
1353412.7970816398,57.19724221672906,73.0518548343814,5760.529408813992,407.4244124947923,202032
1353384.2622819364,56.79457577847641,73.17290869122628,5788.201323599553,408.5689099939558,202032
1353354.1921473183,57.68102010193245,73.31698449463605,5816.097077452362,409.71277063241894,202032
1353322.994381656,58.98514847251479,73.58738558799163,5844.599907303214,410.83317697995227,202032
1353292.7065954776,59.02807537494521,73.38373610658148,5873.999238351415,411.88235468904475,202033
1353267.486913889,55.12254206301898,75.67609969760872,5899.828037053748,412.8864072964912,202033
1353238.4228092695,55.8004780554571,78.7521585356594,5924.1854379179,413.83911622113004,202033
1353210.7434427575,55.075213287999134,81.2115893325657,5949.248404838221,414.7213497832239,202033
1353181.2564074476,56.006482462674995,82.88120829569365,5975.301101343413,415.5548004500646,202033
1353154.1853907944,54.62436216716493,83.693690248016,6002.154683490452,416.34187329926186,202033
1353128.9121293325,52.29029993244497,81.7361781759904,6031.003070070128,417.0583224881871,202033
1353103.4856512183,50.97767956787961,80.08632251900838,6058.724621833369,417.72572486083124,202034
1353075.8814730472,51.90053955070487,80.1733550725575,6084.652032115505,418.3926002134543,202034
1353054.4159316784,47.5666433976027,77.68716383646151,6112.245942829792,419.08431825711267,202034
1353029.060820483,48.02834481153458,77.10126958001287,6136.987202571186,419.8223625536777,202034
1353006.0824633802,46.357868169862115,75.3105862844757,6162.734530452392,420.5145517123101,202034
1352984.040207153,44.61209602353221,73.45327106950162,6187.759890346473,421.13453540664773,202034
1352961.6797039376,43.77716126766904,71.3888406629529,6212.400480470159,421.75381366093507,202034
1352939.5842612162,43.032980954246995,69.58756555990618,6236.445283110625,422.3499091582461,202035
1352916.2237215138,43.58160366936964,69.64342418787834,6258.629610479408,422.9216401488994,202035
1352895.2945038942,41.94030077428457,68.35733988877725,6281.937548050642,423.47030739143634,202035
1352876.1956848444,39.483484095146146,65.8425827792873,6305.4834668041385,423.9947814764048,202035
1352853.6156864143,40.75990517696405,65.73217228263115,6326.35015815283,424.5420779727575,202035
