S,E,I,R,M,epiweek
8881208.670349406,371.951723931616,535.5894629456525,69.02655895622935,4.761904761904761,202013
8880914.887275463,552.6846465257349,646.9986712407797,69.02655972927843,6.402847043484196,202013
8880598.249577971,714.2199690522293,742.8671178359856,125.86615880148452,8.797176341757426,202013
8880264.603899546,855.5305500903665,819.0090876064012,238.6958618449275,12.160600915440162,202013
8879515.43732363,1335.9715794164892,940.6220855376819,381.3056727993894,16.663338620065414,202013
8878762.886073349,1714.7627002189029,1061.669792929418,628.0714741020353,22.609959403328453,202013
8877842.827964967,2161.1809673372027,1273.829785988064,881.6181477867283,30.54313392338597,202013
8876821.125520136,2600.6076924831923,1490.7166065050403,1237.2603684878982,40.289812390961664,202014
8875477.642457375,3232.241404276334,1847.5210239372614,1580.7626761391007,51.832438275367345,202014
8874238.664359247,3630.6643318532138,2016.955925332825,2236.7689133201293,66.94647025037918,202014
8872577.058394758,4320.804758994575,2415.4378496734853,2789.7321086046113,86.96688797325955,202014
8870793.834704863,4967.801297307749,2767.6565089058595,3546.0868868097614,114.62060211798686,202014
8868644.412528709,5800.5978334415,3229.526393183356,4365.257926677334,150.2053179933174,202014
8866306.711996935,6618.6273906211245,3654.3064320695275,5415.435852340093,194.9183280385683,202014
8863948.782971444,7275.156471126205,3971.73882574451,6746.071967489863,248.24976420190194,202015
8861407.709244648,7951.706426545148,4315.019033644488,8207.365570069805,308.1997250989193,202015
8858749.42655232,8583.750843998892,4531.590959331807,9946.450162080018,378.78148227449714,202015
8856020.68893222,9142.336649531322,4892.093299792853,11670.122948109301,464.75817035230773,202015
8853072.436538097,9773.225862095787,5152.400624703982,13627.055423228478,564.881551880429,202015
8849934.51597362,10436.381725554018,5519.93267479036,15621.152269022261,678.0173570190514,202015
8846695.97120253,11043.957355059394,5828.77513255173,17815.974762162143,805.3215477028749,202015
8843311.54397366,11648.81645378834,6132.836112115227,20151.0349143025,945.7685461413274,202016
8840065.319951702,11999.462193436353,6444.796341703826,22584.806280147473,1095.6152330174873,202016
8836380.765640553,12662.053390702453,6668.973646770115,25219.711657168784,1258.4956648134948,202016
8832961.33880941,12949.533674469356,7386.0252945515485,27452.683226391764,1440.418995185364,202016
8829397.99040657,13301.934478695035,8112.285076815046,29736.867614866813,1640.9224230622451,202016
8825887.701415492,13535.393796423732,9610.719317340106,31297.921781489076,1858.263689262805,202016
8822435.156317176,13662.5450531475,10639.804212852538,33362.72652449964,2089.7678923315257,202016
8818738.921590244,13977.255140425284,11533.318676509884,35606.18480911901,2334.3197837088874,202017
8815280.128109299,14010.533218734883,12084.315621826461,38225.88238245347,2589.1406676933125,202017
8811498.422452645,14322.529485104084,12526.591764212466,40990.925151411335,2851.5311466324724,202017
8807995.844709942,14316.354474321071,12454.041098118907,44297.63381434764,3126.1259032769835,202017
8804320.70941923,14467.229166787754,12891.168220946563,47099.83086106289,3411.062331979305,202017
8801243.27817212,14052.506482385295,12793.21628468185,50398.957887757206,3702.041173062611,202017
8798003.217877654,13872.381743693828,12750.687164100022,53566.35717549876,3997.356039061535,202017
8794568.286521677,13903.334131022862,12526.230998280285,56900.66540604847,4291.48294297979,202018
8791475.998952042,13624.468681193626,12457.181016833125,60048.38406972391,4583.967280216037,202018
8788281.952300048,13496.625134208667,12425.529175120146,63106.52055565771,4879.372834975148,202018
8785087.174051277,13397.159225614412,12380.672735875749,66146.7686453376,5178.225341904446,202018
8782089.489866864,13143.946671743359,12205.385739873142,69269.04846294233,5482.129258588425,202018
8779089.965131976,12947.684038120353,12096.310701350863,72263.6719659183,5792.368162645358,202018
8776142.715677744,12747.338525004763,11901.814441992343,75296.47005568571,6101.661299584538,202018
8773165.849143328,12616.964380286878,11746.982353954956,78253.6105493223,6406.593573118556,202019
8770336.931515386,12383.57169873003,11554.903086746679,81207.61163136306,6706.982067784636,202019
8767719.743647616,12012.754928298222,11264.833760961474,84189.49962318265,7003.1680399512215,202019
8764974.231731752,11836.696667980543,11075.15422191362,87008.30776487618,7295.609613488423,202019
8762549.961563075,11413.393322002403,10718.428275294029,89925.76329278125,7582.453546857422,202019
8760034.796044154,11163.079306792682,10473.546429139675,92657.44326803945,7861.134951882581,202019
8757603.040582677,10893.325194114515,10258.773097323588,95302.52338115226,8132.337744740023,202019
8755485.124102984,10403.146694782803,9837.678122728656,98067.6440619594,8396.407017553081,202020
8753363.365998818,10023.175161323685,9504.473330820469,100644.75399723514,8654.231511811333,202020
8751549.830929218,9452.129935056935,9053.75249224504,103226.48562134318,8907.801022144755,202020
8749861.008623226,8894.298441450746,8520.350007342866,105760.89857903334,9153.44434895494,202020
8748326.675831031,8320.913392165245,8042.681979273864,108108.01907759316,9391.709719944236,202020
8746479.932845423,8149.69115543329,7777.7798786894655,110156.07225368245,9626.523866779704,202020
8744962.95597736,7723.447142821314,7534.531836514046,112113.14475773563,9855.920285576187,202020
8743533.733538587,7311.386719288,7116.864619481575,114145.66213505645,10082.352987593995,202021
8741829.528563049,7233.267098169189,6897.62283021311,115920.85315726775,10308.72835130699,202021
8740392.660407918,6934.72040956786,6571.557032601822,117763.97032665898,10527.09182325889,202021
8738926.239559773,6727.529888076026,6331.467968493369,119470.30998638959,10734.452597272928,202021
8737597.07607439,6443.557781180934,6060.263861666545,121160.41848369478,10928.683799073546,202021
8736353.726582877,6145.199078464945,5788.208308434622,122793.6494840233,11109.216546204954,202021
8735278.530807957,5762.86939955489,5584.679103105526,124281.66538538827,11282.25530399883,202021
8734306.452069357,5372.374621996477,5434.379537349805,125626.82964750603,11449.964123795602,202022
8733118.856917817,5257.310963391757,5176.023255223712,127023.95277349703,11613.856090074725,202022
8732189.721768664,4937.563537679661,4735.87254997644,128557.15007187724,11769.692071805724,202022
8731071.67726882,4855.738093599127,4596.960957791124,129751.00316542576,11914.620514366998,202022
8730216.854529267,4557.758412194652,4289.054523142559,131075.73630860893,12050.596226788664,202022
8729142.58207341,4519.862118461975,4206.288514135448,132140.51768504508,12180.74960894968,202022
8728208.946295891,4365.33571520744,4082.0682195390627,133225.40765114533,12308.24211821865,202022
8727253.184821786,4264.069575035521,3977.649933821914,134263.0244197818,12432.071249575783,202023
8726422.69184326,4073.581128646724,3830.1083794561546,135311.32437514787,12552.294273490774,202023
8725438.602397073,4060.180784124652,3598.210051538149,136425.7351853443,12667.271581919898,202023
