S,E,I,R,M,epiweek
3079658.653230827,174.7619047619048,198.07481143562458,109.55767202297278,14.952380952380953,202015
3079562.2478896356,181.71922456059332,188.9421456504976,205.98009124968203,17.11064890332053,202015
3079453.179068702,197.79700490298984,276.78062602179267,208.34912873567345,19.89417163762421,202015
3079338.253782504,210.41365220808498,277.03460313768096,307.0274142982236,23.270547852480135,202015
3079215.2396407644,224.9050041759365,312.17574755897084,376.8121480628918,26.867459437900752,202015
3079079.140799228,244.0410765319201,343.3408218921212,458.61180092831984,30.86550141983665,202015
3078955.7721341304,246.02489075057153,417.3710608146651,501.49656210096106,35.33535220363009,202015
3078820.8899007193,256.09595758898297,476.2210801948581,562.4608275483785,40.332233948701536,202016
3078680.9937591287,265.53206928777985,476.2246445803433,687.6834604743467,45.56606652888061,202016
3078535.61882889,276.1796103682957,533.826702866487,759.2838505457034,51.09100732980862,202016
3078394.2578808167,279.2792396446537,573.1960336348146,852.2951940513059,56.97165185290371,202016
3078266.300891455,270.3300067337588,582.3508618235072,974.0409101558694,62.97732983224178,202016
3078108.210396494,288.90341038187165,616.2597408722912,1073.4872193836854,69.13923286844602,202016
3077962.9581704177,289.84629847431614,658.4852993667021,1169.065590357003,75.64464138438483,202016
3077841.5015467736,271.473870282153,667.9059623746955,1292.7024276327154,82.41619293708746,202017
3077704.714675297,272.4689686127597,672.5414736378978,1417.0252168054767,89.24966564701322,202017
3077567.73365895,272.9672470257156,639.8292086618637,1579.5371785672576,95.93270679538497,202017
3077434.108830963,271.0145698318735,658.4611629584697,1689.8602831065298,102.55515314052342,202017
3077306.261976565,265.6717784831722,733.0766332610148,1741.332188404649,109.65742328633443,202017
3077156.8142653457,278.98122169829696,734.8757590816491,1868.272264862917,117.05648901145402,202017
3077028.3082876,270.7879794510496,758.6183165071184,1973.770754938547,124.51466150296594,202017
3076883.3104661885,278.6428718558931,763.36437648048,2098.575064138143,132.10722133647906,202018
3076752.0822688285,272.6187484037124,763.2790433132867,2228.291609848322,139.72832960552722,202018
3076621.7304539816,267.80199473194403,701.3052214805666,2418.136115402291,147.02621440296795,202018
3076491.2166924984,265.7171645692746,753.7688790049729,2491.00361373235,154.2936501944649,202018
3076368.2853066074,258.31901890282984,772.803963767818,2594.673907968382,161.9178027534266,202018
3076247.9033731194,251.57049246251177,744.1555870180312,2742.8835553547005,169.48699204551136,202018
3076107.685953764,263.16866594303616,729.8096332489306,2878.4988680459123,176.83687899870333,202018
3075982.4374074177,258.2837106327088,696.4331193595991,3034.8940915987528,183.9516709917725,202019
3075853.373774758,258.71524412806014,720.2334720925422,3132.6519179889383,191.02559103297818,202019
3075738.0257203276,247.82795239621788,686.8434438702744,3285.255282718513,198.04760068795443,202019
3075614.49604948,248.29438708644193,753.5327813437153,3334.4350165156816,205.24176557467803,202019
3075477.3822585912,258.9619787231869,763.0221950291815,3443.8238037460565,212.80976391076487,202019
3075377.953208252,235.27286666538245,753.833728931992,3568.5486813247,220.39151482642416,202019
3075242.8908713064,249.55433297959502,801.4970347121405,3633.9067667662107,228.150994235823,202019
3075124.5429980145,244.786844108157,782.309193096226,3768.3065518723033,236.05441290929477,202020
3075011.0532762962,238.03042913877417,787.1541475133866,3875.8707220714514,243.89142498095492,202020
3074885.9918770036,243.25967130458758,810.9397316089535,3963.941202742422,251.86751734150596,202020
3074762.483378306,245.17274789442334,815.6155916976855,4072.7423634161464,259.9859186866543,202020
3074651.7668592674,235.76373145433993,715.404124623028,4285.456802421465,267.60848223484237,202020
3074529.867730714,239.55273077676117,753.5003479587676,4358.135783843187,274.94340670822487,202020
3074417.8824110394,233.8113442246489,734.3289005703793,4487.606334388946,282.37100977737697,202020
3074308.737369135,228.25923884510794,743.7670757420855,4585.481383447411,289.7549328312751,202021
3074185.9429794103,235.79204939727677,781.8458025838139,4655.045399111277,297.373769498146,202021
3074078.7473385436,227.58946977733493,719.839165430441,4824.959157877225,304.86486837221867,202021
3073944.0843309145,244.8091553635246,757.9070810542398,4896.957654249141,312.24177841970527,202021
3073835.2066842066,234.73231252071153,724.3545103794265,5042.062193898562,319.6442989962582,202021
3073727.387459102,227.22073954372607,724.7032293740801,5149.79980449665,326.8887674851225,202021
3073630.8623535903,213.8335790604087,686.5802065846182,5290.788512464668,333.9353483015316,202021
3073491.4141360233,239.8055512303518,705.6568244336037,5378.244331642942,340.8791566717212,202022
3073382.126215617,231.9322449631886,738.9727022683684,5454.869214123488,348.09962302953727,202022
3073257.726663301,238.75499822488518,715.1006638197645,5589.062966518583,355.35470813774106,202022
3073136.80173213,239.91677012428596,650.7956772700401,5766.267407007828,362.21841346951845,202022
3073019.038121009,238.4644413717944,631.9917278603294,5897.766648348567,368.73906141177036,202022
3072892.467483517,244.52502362537632,617.9139204808888,6026.002634678143,375.09093769992916,202022
3072783.734701818,234.04147277475923,580.4336924588742,6176.607954381372,381.1821785680452,202022
3072659.7391718463,239.4337883886737,566.7109030341143,6303.1040046303715,387.012132101422,202023
3072535.1343633756,243.47019554434314,557.319439491572,6427.353229291359,392.72277229796515,202023
3072413.8738340633,242.78772718711357,515.3675987130947,6585.804430631781,398.166409405955,202023
3072301.3809133703,236.15598642700368,538.7520949406588,6676.205776205132,403.50522905828626,202023
