S,E,I,R,M,epiweek
19446342.558304925,3012.858025405568,3574.2027807253503,592.8570794227984,38.52380952380952,202013
19444357.503264256,4141.978889664695,4415.754219382626,592.941664883342,52.821961817487384,202013
19442297.320784327,5093.203030888297,4895.559250125905,1202.3867166964637,72.53021796558232,202013
19439931.072462775,6114.835679518688,5530.453786333794,1885.6657592344004,98.97231214166202,202013
19437012.24235347,7412.955535510525,6505.973106799509,2495.0812005224952,134.7478037005531,202013
19433616.95676505,8861.025636992408,7923.268376682541,2977.381090511329,182.3681307685096,202013
19429794.58311084,10377.7184284213,9166.891832145648,3976.9888234025952,244.81780519645574,202013
19425711.049387,11809.522974681542,11526.573078248253,4189.453039853824,324.40152022063285,202014
19421323.5320087,13194.31683234769,12278.53887787208,6341.497101880489,423.11517920718654,202014
19416118.61014586,15014.270060195959,13530.860139186905,8353.952242972337,543.3074117925686,202014
19409315.403089505,17882.267159855313,16587.19897793783,9086.594316261571,689.5364564465659,202014
19402744.3568347,19929.73699119509,20142.300652489746,9876.482811845539,868.122709774676,202014
19395602.219318718,22030.559370828305,20997.619175129235,13848.852141402762,1081.74999392278,202014
19388089.322324213,24028.23704729369,24573.614204229474,15537.309193146144,1332.5172311215424,202014
19379889.623271592,26193.937252672902,25392.339860153894,20460.3213793244,1624.7782362609998,202015
19371497.69107383,28084.748558566316,29292.431915821617,22722.91290630688,1963.2155454760987,202015
19363193.098851483,29466.63674187098,28035.210502596445,30512.276616345698,2353.7772877062994,202015
19354092.384976074,31273.789982791317,29094.0255284801,36302.75050350212,2798.049009154579,202015
19344282.630376257,33328.096393781656,30551.286757346006,42110.36154097397,3288.6249316423446,202015
19334496.24513392,34921.67437210889,31810.96534831903,48508.13734340292,3823.9778022458813,202015
19324816.899016473,36068.79965465042,31047.38922182524,57228.41986682978,4399.492240219424,202015
19315368.723786063,36781.38363375211,33277.78234200545,63113.79030530185,5019.3199328729825,202016
19306057.920739144,37209.94228942818,33639.15720811001,70972.73565927295,5681.2441040411,202016
19296529.98622693,37740.46564543216,34071.64887234991,78836.61658497163,6382.282670311849,202016
19287136.180015795,38037.743134391516,34350.290393279734,86920.87330598851,7115.913150541862,202016
19277707.587151673,38302.30241222983,34583.20391540918,95090.59863174977,7877.307888935627,202016
19268582.57489502,38239.39332862739,34578.96045578605,103502.975695917,8657.095624644568,202016
19259584.674002454,38076.51710849699,34482.43023344565,111971.32123393867,9446.05742166036,202016
19250577.394701615,37956.882386518286,34408.83960099305,120375.18043822492,10242.702872644288,202017
19241604.23528412,37832.28830771444,34292.78106147889,128775.26086427372,11056.434482408053,202017
19233534.820943832,36928.56541236333,33615.65858369029,137595.06676818142,11886.888291928139,202017
19226953.542468313,34892.62926501432,32202.10862810122,146794.72092354443,12717.998715021286,202017
19219666.759935733,33919.66052890905,31265.731971782723,155164.13232638792,13544.715237181743,202017
19212413.444659162,33125.00319832562,30440.126020003278,163217.72335902185,14364.70276348001,202017
19204638.86086609,32964.8831383564,30011.14244123879,170775.09171478887,15171.021839519533,202017
19197907.29829958,31910.16447353423,29144.609997156454,178642.8908259837,15956.03640373729,202018
19191480.09758783,30809.810968591715,28217.405318561698,186338.38103936467,16715.305085644657,202018
19185084.89348687,29916.332858462312,27423.477524708145,193697.2947612358,17439.00136871816,202018
19179476.495571017,28513.057654870183,26272.11410574902,201171.20650072163,18128.126167634666,202018
19174342.801484924,26986.984681513866,24988.485973063645,208453.96208716108,18788.765773330415,202018
19169417.130376823,25601.932023215555,23781.01710557726,215341.0095526502,19419.910941725673,202018
19164194.84068236,24777.236207604117,22950.293799041276,221615.6574867939,20022.97182418924,202018
19159327.50837323,23812.885719154976,22061.211025086755,227764.62369984254,20594.77118267454,202019
19154657.973724637,22878.677096800257,21211.302941440594,233677.91012872916,21135.136108382816,202019
19150358.665323377,21814.53266997007,20274.003272004185,239468.29990149688,21645.49883314353,202019
19146130.256351534,20915.020868380117,19502.79039084309,244876.17645316146,22136.755936072812,202019
19142149.378804818,19987.13707991079,18636.750118993583,250177.47689739836,22610.257098872342,202019
19138259.914341327,19176.479379238815,17907.17220557686,255151.22127293676,23066.21280091383,202019
19134599.53791515,18335.069952794962,17134.476304780066,259980.41237613553,23511.503451130746,202019
19131141.525506403,17493.25848436263,16331.717641600137,264653.4130594353,23941.08530819069,202020
19127956.54192996,16588.362602145357,15496.305727901834,269176.201582284,24343.58815770371,202020
19124708.51433794,15933.201312548068,14861.041625372161,273340.83491522534,24717.40780891168,202020
19121492.732137408,15389.516726036163,14323.827858465354,277281.132501291,25073.790776795075,202020
19118500.42898735,14763.110899156944,13746.973256745694,281139.48686155624,25410.99999518601,202020
19115940.414895635,13886.366670793446,13184.25407338424,284819.83152922086,25730.132830962637,202020
19114148.793166738,12512.913526861592,12147.898748589307,288715.65813370777,26035.736424101102,202020
19111957.27810253,11788.107619342094,11362.71576021014,292124.68853950786,26328.209978407962,202021
19109753.09502338,11229.72635260472,10760.927167585709,295202.7268760642,26614.52458036503,202021
19107394.94205535,10927.830826588111,10332.377283451013,298007.58389166574,26898.26594294864,202021
19105209.187726606,10537.06587003769,9880.275065308719,300764.5533428453,27169.917995202377,202021
19103237.9140152,10038.983031296622,9392.125973325758,303466.08752687176,27425.889453308246,202021
19101403.89089117,9525.22733387805,8906.47365472846,306057.32537492865,27668.082745298347,202021
