S,E,I,R,M,epiweek
11688134.063689394,393.5987660382449,393.5756398068036,164.28571428496383,14.476190476190474,202014
11687982.225753104,460.26986008829005,467.72823396621345,171.71267643540656,18.0634764066057,202014
11687821.057119248,522.9015677608728,463.2209400644633,270.6734432821056,22.14692964488078,202014
11687625.496401465,605.5461792471398,489.1963972883405,352.9265492381027,26.834472762750785,202014
11687412.209982196,689.6088516669748,571.4873855582172,394.3438164396271,32.34996414071794,202014
11687168.809748184,785.8628255236406,672.0382223672319,434.47373695905804,38.815466968591636,202014
11686903.335677134,884.2224081471234,700.2648754147849,565.9194530333779,46.257586274229126,202014
11686647.876336731,955.6729115743,729.3381014169431,712.4049405305993,54.70770974985067,202015
11686354.664314935,1048.562771466948,784.2861652908794,848.3067689880814,64.17997932209927,202015
11686063.279132757,1122.8726002846256,827.226140594539,1012.1124671407593,74.5096592250536,202015
11685748.691500457,1204.8046456768152,879.665637071944,1180.847835747926,85.99038104915266,202015
11685420.535067556,1284.3600861742918,965.2270304387691,1331.0552870060144,98.82252882902169,202015
11685082.038584271,1358.6716372188466,1016.5201539630983,1530.1667852618396,112.60283928848001,202015
11684732.295449909,1429.6465592334318,1056.4342591472814,1754.2600860238927,127.36364569182881,202015
11684382.252656993,1487.9996223181365,1091.2455107802525,1995.0933890170325,143.40882089789892,202016
11684010.353676973,1555.6404657240862,1135.761099846239,2237.358955481751,160.8858019808423,202016
11683650.594909763,1599.9397267910451,1166.8599022295684,2502.7423462427896,179.86311497939303,202016
11683233.29103049,1688.5406021604174,1226.574857523302,2751.3053960461916,200.2881137856362,202016
11682776.32127494,1797.1493901467143,1304.3075063124247,3000.1318809383433,222.08994766871973,202016
11682305.987462658,1898.1356918759184,1374.4021733503425,3275.9564171088746,245.51825501165953,202016
11681705.09482072,2099.635662682847,1508.2282122588633,3516.6178077344816,270.42349661012685,202016
11680987.839755544,2369.477575567449,1541.9883028372074,3904.52424644832,296.1701196070585,202017
11680242.253587546,2616.4423685348875,1626.410669521553,4291.951897473974,322.9414769282131,202017
11679577.778372522,2745.0565846297973,1710.8229257155938,4715.166776743743,351.17534039375084,202017
11679017.962513352,2755.5381058314256,1825.6060413337814,5120.1195927428,380.7737467441771,202017
11678408.97249463,2808.651664340765,1929.3199850538122,5541.554915086367,411.5009408932001,202017
11677830.868825838,2823.8948824646704,1987.632597287434,6014.227893448695,443.37580096568445,202017
11677268.775817188,2821.7516067037013,2022.6078923715502,6510.713870465258,476.1508132766069,202017
11676683.446415478,2841.0430357793857,2053.316376876211,7012.346805579881,509.8473662922027,202018
11676130.389622882,2827.4666015379385,2056.8506425407054,7540.489010174571,544.8041228698376,202018
11675534.950633796,2854.8555850528965,2080.6172283541364,8048.316029897628,581.2605229051042,202018
11674920.139091581,2894.867748168002,2110.080234772144,8556.129319492458,618.7836059904967,202018
11674247.04049498,2980.6094079527034,2168.7387997086153,9047.000239445882,656.6110579161602,202018
11673559.423707116,3063.969345967933,2227.196953379992,9554.158171059184,695.2518224803018,202018
11672889.192723213,3116.366742355653,2267.0776912956035,10092.397065076757,734.965778063722,202018
11672207.174599767,3169.9549270281454,2307.550046170286,10639.9739849838,775.3464420558582,202019
11671523.605817573,3214.9651182662324,2288.6393731640082,11256.964211496514,815.8254795038803,202019
11670832.443793928,3259.0269340036757,2341.167995297209,11811.123359474432,856.2379173003237,202019
11670155.22786086,3282.36744145828,2373.867266963305,12391.674954915248,896.8624758070375,202019
11669516.027939945,3266.8858147638553,2375.8811039815787,13003.431955854381,937.7731854590554,202019
11668812.563380098,3312.6142907808844,2412.4312463198994,13583.794798217663,978.5962845883787,202019
11668264.037645139,3209.2480088453513,2353.135474828383,14254.253111205278,1019.3257599866131,202019
11667883.670335066,2972.0322874479925,2207.6523339668406,14976.445028209579,1060.2000153145066,202020
11667452.246046346,2824.1284883847743,2100.9574918006956,15621.898335669975,1100.7696378029632,202020
11666974.829921303,2744.816826812024,2037.0989985458236,16202.290655104263,1140.963598240259,202020
11666405.259804813,2763.631298863845,2036.9987522936099,16713.05621895804,1181.053925075861,202020
11665837.199044332,2777.6826119874613,2040.3952166870663,17224.02604155998,1220.697085438561,202020
11665249.835514626,2806.7387970885875,2056.3816714353457,17727.086612244868,1259.9574046099733,202020
11664661.907302268,2831.0314234191237,2070.277531705228,18237.56536693187,1299.218375682012,202020
11664079.097883658,2846.2737164131026,2082.4907795216013,18753.917700378795,1338.2199200336856,202021
11663463.362021184,2888.667587707692,2109.6643629708724,19261.61317870943,1376.692849435223,202021
11662871.65850737,2901.528199328921,2122.4013274322083,19789.954078251023,1414.45788762498,202021
11662304.504378939,2889.616923587164,2089.837583345151,20364.641021582593,1451.400092551801,202021
