S,E,I,R,M,epiweek
3956726.1540263575,101.93584257644481,101.91013114038243,38.095238020755914,2.904761904761904,202014
3956692.1089509963,114.32091364264329,101.91038475761381,58.99461736290239,3.665133240432713,202014
3956646.7114098975,134.8829623636145,113.58016312067555,71.22829091297534,4.597173705211584,202014
3956579.8017257964,171.38495245067182,142.730795943932,71.22829091297534,5.854234896266939,202014
3956503.888951155,209.34220207912279,161.84025321416485,88.55528564555038,7.373307906370701,202014
3956433.5358587606,235.35518234421713,180.86555948750623,112.15803921737842,9.085360190563472,202014
3956342.020967391,275.9248715925746,208.06156998879214,134.00924649317352,10.983344534829905,202014
3956262.580015757,298.1304450648487,227.85782313199928,169.35429447896317,13.077421567405672,202015
3956185.037556823,314.60552202478664,252.61031063596815,203.3595756852713,15.387034831701616,202015
3956086.0081226476,347.53283299450146,266.9978611076809,252.26146027568564,18.199722975348497,202015
3956002.9721461814,359.9384062044167,272.2688404550627,314.14531166612363,21.675295493897487,202015
3955896.230735341,391.67330292607886,289.96084947095665,367.704415332158,25.430696930700634,202015
3955791.1075880644,416.25854238790924,319.31132779253403,414.9397472480073,29.382794508394262,202015
3955689.626196661,432.95877691707625,325.70300844318785,489.04568374867233,33.666334231342816,202015
3955580.1004780615,453.9545223587936,336.4165942944471,562.4120784593968,38.11632682732187,202016
3955467.1723875473,474.2291988888794,347.15523452935884,639.780825489461,42.662353546286006,202016
3955348.901639308,495.7024299908687,361.25358214498806,717.6702256684729,47.47212288878973,202016
3955244.6323320437,500.7280494377324,405.9641642212486,766.8881203029678,52.78733399560223,202016
3955142.1386587326,503.1265874925278,426.59389223130245,840.5880161102679,58.55284543467035,202016
3955032.823081724,511.24614619778595,440.3478851810538,922.0289350391121,64.55395185950707,202016
3954945.1390468776,498.1186471551134,409.51705058428985,1047.7522788462184,70.47297653835336,202016
3954832.49720624,510.0434412234206,397.8611366431282,1154.3058968765743,76.29231901839098,202017
3954714.6410299907,524.5959537766074,399.11889885680694,1250.379127994196,82.26498938284615,202017
3954599.405579773,534.1380063142653,400.285695373385,1348.5286548353897,88.64206370503754,202017
3954510.1011176393,518.3884631896635,387.04307355264393,1460.1376364757105,95.3297091432754,202017
3954416.3255612776,509.55822016939095,378.80022324588333,1564.2047068796833,102.11128842829987,202017
3954315.912273134,508.3633022903088,375.77226366104355,1661.8192613133058,109.13289960220989,202017
3954240.161792571,484.9796070750373,358.96199805447026,1770.5805833645902,116.31601893561667,202017
3954152.0043915086,477.10402121470537,351.82825108351426,1866.5813568487674,123.48197934534514,202018
3954069.359341292,465.6496498600198,342.97876253061213,1962.507235187905,130.50501113025197,202018
3953980.5910788532,461.8300494127309,337.36169434580563,2053.902341161751,137.31483622744182,202018
3953885.503508065,464.4528289469446,336.99887384945976,2140.1828214988127,143.86196764084698,202018
3953796.815837255,460.8827747091026,354.4642547784458,2208.373163230565,150.4639700276789,202018
3953699.027207641,466.13275350468194,354.46265765278577,2294.15323220789,157.22414899480844,202018
