S,E,I,R,M,epiweek
4217447.312068856,127.16090973565493,127.14606908110434,30.952380898451505,4.428571428571429,202014
4217406.631190966,140.9725641811956,124.56094610380627,59.71873862686377,5.116560122127485,202014
4217356.429402891,160.99779673318912,134.2587696934085,79.38877259371534,5.925258088932128,202014
4217313.505815778,170.77810002591545,141.70648521420355,104.20383561453261,6.805763367037063,202014
4217257.082094506,191.03863307216366,150.68499481094534,130.43710350366555,7.757174106777045,202014
4217201.328288957,207.00644481762228,158.0618765929658,161.82338347595734,8.780006157587803,202014
4217161.513268313,205.57370138889024,155.97008770910116,204.11548419323768,9.82745839559663,202014
4217076.201476536,245.98417580246235,186.23694314041146,217.6113839666065,10.96602055413776,202015
4217027.839919268,245.266133668554,184.89147240337078,266.7985158227663,12.203958836659263,202015
4216969.136498176,254.08696930757318,189.7666821969172,310.5201637411125,13.489686578715284,202015
4216907.8933596,263.62432503783964,196.62247783521025,353.98900657571113,14.870830951287195,202015
4216821.97906063,293.9153739446395,218.38005155739233,386.15700126571403,16.56851260178591,202015
4216769.820740023,287.95195787554763,214.57874710528685,446.1277025979569,18.520852397865635,202015
4216705.477181914,294.1496718221233,218.12024013024046,498.7082285077561,20.544677624595796,202015
4216612.104180646,325.6362438441673,232.9783214213857,543.5726863914172,22.7085676951811,202016
4216539.992395138,332.0735614378394,240.12279734811625,599.8405102965398,24.970735777188565,202016
4216465.803721391,339.22610318769273,246.83524533097534,657.9025765165319,27.23235357209387,202016
4216404.867393649,333.02439392422974,244.58062879997965,725.032966034652,29.494617589937135,202016
4216332.316000276,338.507123826031,248.9208218522959,785.3565066088304,31.89954743507273,202016
4216278.079013182,326.3446978812723,241.98941681033838,856.0470226946612,34.53984943000547,202016
4216213.936351871,325.3888609857587,241.3787369646645,918.9706147884267,37.32543538826558,202016
4216149.7653632695,324.68151940087415,249.55293395562757,972.8158398044261,40.184343568017034,202017
4216087.77887722,322.05580809986316,244.75003963681345,1039.3750332414277,43.040241800015,202017
4216033.1424400015,313.23088382367155,236.9322767792756,1107.8242583658093,45.87014102853657,202017
4215968.201048476,315.3745694154831,236.43772698240966,1168.2836280001409,48.703027125308175,202017
4215910.965957032,310.12653248207624,232.0367850897745,1232.2880868104774,51.58263858535532,202017
4215855.093507868,304.64678641272366,239.51862628411132,1283.155566056637,54.585513377493704,202017
4215774.271285195,322.76662664634273,243.25887703484787,1339.0491861642765,57.65402495872829,202017
4215738.924303287,296.2997921299639,223.83785806039066,1417.1959311611158,60.74211536053298,202018
4215668.425362716,306.547997289155,223.83969310202957,1474.3519031530498,63.83504373770892,202018
4215615.845111425,298.6777379509743,219.5596080511383,1535.8698699423999,67.0476726283983,202018
4215553.032350314,301.5374269023072,221.66134915262123,1590.4354161917804,70.33345743802596,202018
4215512.737089462,283.41560289403986,210.41319715754813,1657.0722765080145,73.36183397777579,202018
4215438.257242754,299.6242937882248,213.9796510059058,1708.946213986389,76.19259846424463,202018
4215376.575875571,301.2921470599077,217.55265266709208,1762.5050880360557,79.07423666469236,202018
4215345.520580912,274.82735376112134,201.29476760001796,1833.474275232827,81.88302249264194,202019
4215284.810469376,280.0653860559335,197.76877670928593,1889.7840685524072,84.57129930511493,202019
4215220.747645763,287.4565003686464,205.41491885623182,1936.0950269863908,87.2859080246282,202019
4215150.986403789,298.65727493720846,210.21540597745263,1987.116834434148,90.02408086067808,202019
4215091.336095768,298.65622287981626,213.86343930901256,2040.4050559732477,92.73918606905238,202019
4215023.81073282,305.8080784653705,219.55132862272183,2092.4483556670875,95.38150442396781,202019
4214954.077443823,313.67544876239987,227.03746215426065,2144.232922269618,97.97672298966397,202019
4214890.889909402,314.1505235593903,228.34305589414572,2203.067973895876,100.54853724838361,202020
4214825.27727763,316.7755115912031,236.95689195054737,2254.8690552341027,103.12126359320443,202020
4214755.427999103,322.7340403255814,239.114552309293,2314.0557925461394,105.66761571411315,202020
4214690.164341167,323.44729045532586,239.65266741985414,2375.4968925417884,108.23880841467839,202020
4214626.852894801,322.25299610820696,238.37781681704897,2438.6581688186857,110.85812345408854,202020
4214559.246241789,325.1008091461527,225.14727059748245,2514.151809507229,113.35386895925029,202020
