S,E,I,R,M,epiweek
12800252.54056324,815.8250796357769,815.7295952196944,97.61904761683705,7.285714285714285,202014
12799900.282384478,987.7538528667899,899.6807386995102,191.82814744057794,9.454876514851117,202014
12799492.582044452,1179.0050969169265,1013.1340696767479,292.1291597875505,12.149629166165518,202014
12798977.34098593,1433.5418795382757,1190.0509943974337,372.6636990635251,15.402441071284672,202014
12798365.231671017,1729.5650296695976,1330.9776491477114,543.8949677968961,19.330682369507635,202014
12797680.58675124,2037.9677793230305,1512.7758101562467,733.7053569518679,23.964302330462225,202014
12796782.457178438,2481.8382615603646,1428.6913811569054,1266.2626540846395,29.7505247608234,202014
12795980.11764193,2758.7823944404204,1379.7880289847212,1833.4831755484945,36.828759096370945,202015
12795034.673310602,3116.695350103066,1482.527441140965,2310.1130641647783,44.9908339902707,202015
12793965.855818655,3522.2359346666613,1647.233120292947,2798.194460419273,55.4806659664952,202015
12792802.345978556,3940.1598936218443,1821.048744080645,3356.1953017718984,69.25008196952773,202015
12791589.4049356,4326.888871586431,1978.0665328062742,4009.185559920681,85.45410008704513,202015
12790296.297729714,4716.2378568644135,2143.6126764569162,4728.561798720867,104.28993824305701,202015
12788944.456764953,5087.965984684174,2282.86538412888,5546.834391397811,126.87747483569409,202015
12787636.689235028,5351.820964348704,2369.417725415819,6478.41214106476,152.65993414297597,202016
12786261.65731348,5629.012007219081,2477.588531501733,7440.183337218386,180.5588105819216,202016
12784898.914495487,5847.623471857341,2968.1574107856095,8062.46890056235,211.83572130828688,202016
12783475.671742624,6080.041652659376,3303.545103205265,8882.244433857393,247.49706765502717,202016
12782011.613112295,6307.953427979696,3766.9093249752814,9615.77962446514,286.7445102839511,202016
12780459.282926964,6573.72224111554,4113.341634970593,10513.09660971206,329.55658723844704,202016
12778822.097540302,6868.782600114284,4572.011769683044,11349.254025155416,376.8540647449853,202016
12777288.395569095,7018.582531371509,5585.099005621524,11664.648388427137,432.2745054843027,202017
12775810.673481554,7085.499579542178,5492.739453935343,13105.34978040235,494.73770456631456,202017
12774252.952751985,7213.143039724886,5486.4574985403015,14471.888084160531,564.5586255888911,202017
12772859.611196827,7168.374417115512,5404.91998448969,15914.693973627254,641.4004279394824,202017
