S,E,I,R,M,epiweek
1058852.8852532478,214.94419654355312,214.78959983225428,71.4285694238677,6.952380952380951,202015
1058768.3991184053,252.83328617326907,259.79400092375596,71.4285694238677,8.54502507351541,202015
1058679.7379784833,287.3943891945751,257.09141330437643,126.35639117953951,10.419827837892605,202015
1058566.9468975395,337.69804059666114,273.568132834848,170.12991074332325,12.657018285183769,202015
1058429.7772413236,401.1188006111349,305.48766816021504,209.34658388931962,15.269706015393812,202015
1058352.5011606957,398.76112168319605,363.3960711769858,228.0455039697334,18.296142474160632,202015
1058112.2327655125,544.1381512495796,345.4077542966985,337.3926966336326,21.82863230738195,202015
1057925.3814120542,615.4126675275947,403.8326364103436,390.48656489615524,25.88671911148259,202016
1057808.545567701,609.9300236191601,418.6412709201712,493.4901777402655,30.39296001918146,202016
1057537.2703935835,745.3012366351719,413.60496132247323,629.557214008028,35.266194450839144,202016
1057390.7310148624,743.3976037557788,460.45759496183894,725.6307239930077,40.78306242692107,202016
1057178.1618686265,801.791975929837,512.4449354495738,821.5808636248973,47.020356369248944,202016
1056857.4594671617,947.1733635855778,503.00245923110487,999.3617486501169,54.00296137168737,202016
1056595.4916872713,1013.4287180354025,547.8597559672164,1142.407717549807,61.81212117642884,202016
1056351.5314208476,1051.5734669418555,633.1569557381357,1254.5839193200704,70.15423715256927,202017
1056071.0698575021,1115.939644597403,724.7516389597089,1370.3697448347925,78.86911410623898,202017
1055761.915138131,1194.607046224803,810.0975626321502,1506.2330998786103,88.14715313382922,202017
1055454.486921349,1257.3014355720147,875.3488919347297,1675.6424196230596,98.22033152158926,202017
1055115.3735073598,1337.397432226739,944.9312926233965,1854.3462579137354,108.95150987682172,202017
1054749.4947502222,1427.266900860584,1017.1818719855976,2046.8263592475878,120.23011768454397,202017
1054376.6272447528,1507.1238998792248,1079.469901436506,2265.865857800803,131.91309613135445,202017
1054024.7460754588,1553.3693499504272,1122.8808772830087,2515.9943841108384,144.00931319759655,202018
1053685.8759695687,1579.3522664119719,1148.9269392050178,2790.383458709535,156.46136610527694,202018
1053351.5054276362,1596.5152340705854,1167.710079555966,3075.877025605296,169.3922331324102,202018
1053006.6784144377,1620.116175310631,1201.071116886823,3350.215090108203,182.91920325722757,202018
1052657.5715775746,1643.2384486004719,1215.8642007740164,3647.2877197052635,197.0380533461767,202018
1052239.679668351,1724.5192414402698,1227.8262772830774,3957.3544481038634,211.62036482227137,202018
1051972.6219541014,1654.2006404584106,1200.7555382931403,4306.851780936457,226.5700862112962,202018
1051675.7537476432,1623.6894832570104,1189.9227070973,4629.5405959657255,242.09346603765297,202019
1051305.5052082376,1665.4058088099978,1220.1412183849543,4911.831100710604,258.11666385777335,202019
1051052.8368957653,1592.7032895810728,1177.85532173752,5263.075483562015,274.5290093551399,202019
1050663.3363161802,1657.5425848716081,1218.3657235250218,5530.523073880713,291.23230154355224,202019
1050319.8771205915,1668.7468467017748,1228.5878860582598,5835.578992352893,308.2091542966052,202019
1050091.2218622828,1573.6379001208995,1170.1764645812323,6200.600623945756,325.3631490701975,202019
1049804.1051651593,1548.84737856798,1151.3299024015512,6514.166298641198,342.5512552307672,202019
1049476.301611458,1565.5340905195071,1159.102313790246,6800.2504085013925,359.81157573160533,202020
1049218.1039683016,1515.9530991132897,1126.089542013245,7123.597041109007,377.2563494635518,202020
1048979.7809668896,1457.3140438328778,1085.372314466688,7443.621188908287,394.9114859031293,202020
1048720.0965027139,1428.70946992105,1062.819974794409,7736.8218761043145,412.552176466735,202020
1048496.0508557864,1372.9307691410038,1023.1648834597373,8038.788382607679,430.0651090054549,202020
1048284.720935681,1315.7217619235655,981.440953694318,8331.563056384417,447.55329231696527,202020
1048078.2550307091,1264.4719399790388,942.9988179263503,8610.232191864503,465.04201952132024,202020
1047843.9714951495,1247.78571832187,927.0151427109731,8859.759693853159,482.4679499647582,202021
1047633.493983891,1212.5066083122413,900.0629985948424,9114.957465593943,499.9789436083254,202021
1047407.7042138672,1197.4864383903553,873.7105864830507,9364.675147701288,517.4236135583823,202021
1047146.1854255801,1217.7490513545163,888.567805421376,9573.788841933901,534.7088757103294,202021
1046944.6153518341,1179.848181910903,865.4972442704393,9819.046074032163,551.9931479526333,202021
1046755.0726026004,1137.8949456255552,837.9257226367577,10060.999430252383,569.1072988850275,202021
1046556.8472521617,1111.4355525294982,819.1281010438975,10287.695226241729,585.8938680233822,202021
1046354.4613123509,1093.5574602288016,805.7555093928305,10505.114742360134,602.1109756674534,202022
1046181.8919139467,1051.842393754606,777.194860499462,10732.248502431083,617.8223293682901,202022
1046007.4163443393,1019.4235663096922,753.8006058514732,10947.042041898789,633.317441600874,202022
1045837.5789716323,988.673273845082,731.1775487944522,11155.038689103834,648.5315166244394,202022
1045688.3259997398,944.8151859076359,700.1148799607288,11364.571397818509,663.1725365733062,202022
1045527.8820380842,919.070427154881,680.5030988608532,11556.276860775599,677.2675751244657,202022
