S,E,I,R,M,epiweek
5148415.219340898,74.09523809528268,182.6373997108011,38.095640343926725,3.9523809523809526,202014
5148360.455442442,88.37997980649862,221.34715652012287,39.06023880570167,4.757182426371998,202014
5148298.107191084,103.1182367386973,268.0066420607831,39.06040718122896,5.7075229359713475,202014
5148221.6443373775,122.93421946542759,280.5798006875578,81.99264699827351,6.848995471402748,202014
5148129.557771415,147.43982931586393,321.4607251366368,107.33708754064314,8.204586591506498,202014
5148038.684422164,161.2135588472506,352.67121299214375,151.6795075630169,9.751298433115387,202014
5147933.531308877,180.91770041106514,383.55909601783486,204.4780713722713,11.513823321605368,202014
5147827.582467187,193.4372323716931,421.97143297787903,257.49527003962555,13.513597423671465,202015
5147710.426192703,209.89613823906413,452.4459234550506,325.55309142090425,15.678654182372046,202015
5147585.568954914,225.97476325388118,483.9027632901934,400.5668501069648,17.98666843554208,202015
5147474.463883192,224.77631696081664,502.33577216255486,492.0556671735849,20.368360511313483,202015
5147318.54539467,258.5734398071288,459.70017947296355,654.088914895779,23.09207115444599,202015
5147162.035532451,280.29366116193313,480.6050465169582,764.7626453283997,26.30311454201233,202015
5147011.052634219,289.51232880647,536.2587067758183,847.3945669794475,29.781763220613588,202015
5146856.489342781,297.8615062002054,587.9959246753162,938.1602236039132,33.49300274090726,202016
5146711.79842542,294.9457030755723,619.2833033806755,1050.7649865239603,37.207581600267005,202016
5146551.399313106,306.312093505523,739.8132617512642,1075.2446322362364,41.2306994018779,202016
5146396.424672039,308.37245100949826,796.1399555248719,1167.2818044913502,45.78111693670596,202016
5146209.429434473,334.37579543385834,820.4685898631197,1299.1627149418628,50.56346529044886,202016
5146036.478691061,339.1857423429154,832.301572818995,1450.5898662860259,55.4441274930977,202016
5145863.459613141,342.18492837249687,845.6076322554284,1602.3747258435503,60.37310038979513,202016
5145690.757187457,343.45283566397893,845.7716602741491,1768.6923294704363,65.3259871367093,202017
5145529.138375114,335.66609757987266,847.9557945775823,1930.9353726768247,70.30436005349632,202017
5145379.724382631,321.2984525450811,842.2929870220298,2095.4481741111404,75.23600369226114,202017
5145206.479533063,332.0211158961601,941.342328763652,2153.7775050374917,80.3795172404041,202017
5145053.621909039,321.88443430395046,982.7883125175629,2269.772358797641,85.93298534348315,202017
5144892.18875241,322.59844801559836,1015.7834292366055,2391.7327667302793,91.69660360901861,202017
5144735.325127081,319.4095029549096,1040.5195251443386,2521.118449178866,97.62739564249547,202017
5144561.704461535,330.2241778206743,982.8257872301248,2735.5410097133654,103.70456370172658,202018
5144405.525808622,323.15391013930815,975.171290804411,2900.2771546733848,109.87183576239896,202018
5144251.994152276,317.2669201642837,1065.8446372137655,2962.5892934072867,116.3049969397353,202018
5144076.504182698,331.30306833803456,1219.6281117170045,2962.593040285535,123.9715969616126,202018
5143930.232141991,315.9723206583482,1199.3981844688722,3135.9228136129373,132.47453926941273,202018
5143786.555613586,304.8919258413428,1246.6344733506683,3234.843918568688,141.0740686547549,202018
5143623.649983992,313.2082873253722,1266.7840538507874,3360.452641331111,149.90503350257418,202018
5143463.60809428,316.3460760217752,1306.9582968642035,3468.1281964378472,158.95933639846874,202019
5143298.312010722,322.17099722249304,1361.2984949177712,3563.8769695923397,168.34152754737275,202019
5143146.741101197,315.12291615577277,1347.3428536569959,3726.9251386535097,177.86799033879782,202019
5142990.468997807,314.29730951247996,1347.4065281300204,3874.4825817125034,187.34458283949104,202019
5142843.029949614,306.7982031604873,1387.83742561944,3979.3680078555967,196.96641375276494,202019
5142682.236647825,312.59139098437817,1381.0791071424387,4131.39046691803,206.70238713193646,202019
5142524.212925356,314.12521722910003,1428.5454001487053,4230.531232321605,216.58522494655185,202019
5142368.054579522,313.41363381998315,1428.601129285375,4377.29728717843,226.6333701948877,202020
5142201.130081403,320.123907345735,1103.3142807862605,4852.762041168052,236.66968929851274,202020
5142025.8873609705,332.45160343481524,1142.773223730585,4965.4104419191335,247.4773699467111,202020
5141886.071000762,311.53814106104386,1098.2974311745413,5159.828344294368,258.2650827094066,202020
5141730.001565543,311.75175318394463,1093.4247889691899,5310.009198200144,268.81269410560503,202020
5141566.379576791,317.89579488167806,1103.367424749294,5446.974047795494,279.38315578467007,202020
5141398.595152574,324.7120869787603,1058.7903310627005,5642.124189306525,289.77824008057087,202020
5141247.112887767,316.1159514345196,1043.9710646667913,5806.901264101666,299.8988320317177,202021
5141087.876844382,317.20082306805523,1058.7776999712014,5940.125768367692,310.01886421383244,202021
5140929.357895075,316.49074687051,913.4661406261343,6234.7287120095625,319.95650542122496,202021
5140773.545643515,313.75306468222936,776.7462408765641,6520.920529037373,329.0345218908232,202021
5140617.438438377,313.1178726256207,759.0625828577897,6687.064334373748,337.3167717673048,202021
5140449.208760766,322.09894190615455,719.3228857895438,6878.090118663627,345.2792928756116,202021
5140284.902419435,324.6328944674545,697.2050788295514,7054.343992399364,352.91561486935257,202021
5140115.050977455,330.743339970016,706.020932173082,7201.698747521402,360.4860028806026,202022
5139955.627202567,326.10741064193866,692.747495549413,7371.485389322489,368.03250191993527,202022
5139774.5056789825,340.84351196580667,733.8990279331379,7489.417996884255,375.33378423496566,202022
5139591.217857161,351.3675260023018,787.8691235474087,7600.803135529995,382.7423577611476,202022
5139420.288289339,347.39398542876853,753.6819418743657,7802.39908675422,390.23669660451674,202022
5139232.764171517,358.6901336328685,791.3020073532158,7933.458119008811,397.78556848946187,202022
5139041.242128408,368.11416482966405,762.1852818791189,8137.06401077054,405.3944141151011,202022
5138816.133890875,400.69561705463326,791.2786386353134,8292.886899417648,413.0049540195117,202023
5138596.425100428,414.56314916028424,679.3064831571137,8603.23170462347,420.4735626327082,202023
5138372.028809002,427.36074994277413,644.1491518344029,8842.861245989434,427.60004323306055,202023
5138164.562770381,422.3484395448997,657.246167155656,9035.041916523385,434.80070639642094,202023
5137965.522128016,412.7139565834573,648.6506572361145,9244.93075366446,442.1825045014623,202023
5137672.990138254,480.83871684517203,669.6058126432032,9440.956840577926,449.60849168072485,202023
5137453.829736389,464.2260864820555,694.928501781508,9643.677411754126,457.3382635943258,202023
5137148.9280402195,522.1777981927276,752.3713646842033,9825.444900707727,465.0778961964377,202024
5136843.27821196,557.5241232480727,788.4287606908858,10051.912183360477,472.85672074122914,202024
5136526.571320203,587.3191263443094,802.7619157952956,10316.522458655905,480.82517900167943,202024
5136182.532800945,626.9010901912719,797.9413467732016,10617.794046503728,488.830715586909,202024
5135811.7658647075,672.0850146250071,817.0609384318549,10916.174152364283,496.914029871893,202024
5135418.652312274,716.8849833173065,826.6777975116755,11246.647332797927,505.1375740992507,202024
5134995.379276927,766.9477781150202,799.662609948693,11638.6153960634,513.3949389463464,202024
5134532.994899295,828.2544255672673,758.2227063480918,12073.108684512936,521.4192842761165,202025
5134057.820505806,876.0366569260552,744.3711449333528,12506.594690646403,529.1770016876252,202025
5133574.603656355,911.8475216717568,739.6250842924521,12951.07837878427,536.8453588954029,202025
5133073.791571391,946.076800998921,688.0049552273433,13461.901540819386,544.2251315628042,202025
5132502.562130451,1023.3639118794515,688.0482639422755,13948.64350580419,551.3821879221218,202025
5131903.188657247,1093.0169362213346,710.8235373574553,14448.294934630294,558.6759345432113,202025
5131249.558112152,1177.3697950140813,715.3251789848644,15005.649158475435,566.0977553736928,202025
5130608.943946653,1219.0444501618797,745.8777645098309,15566.511503821772,573.622334853663,202026
5129912.707284507,1287.4260881488312,750.1293351510999,16182.569391146473,581.16790104609,202026
5129195.102503314,1347.5394541172614,816.4289017104135,16765.8316150013,589.0975258577299,202026
5128368.706334979,1468.9646274375546,848.4729330868787,17430.772996879783,597.083107617011,202026
