S,E,I,R,M,epiweek
6827888.436383013,342.95238095238096,803.2597567946902,126.2086220974588,13.142857142857142,202015
6827700.43773967,357.10476777211954,974.2977684736319,126.2086220974588,15.951101986825982,202015
6827483.79670793,387.15647364392083,980.0215989122217,303.8166839240005,19.208535590521876,202015
6827266.316433714,406.0600532614475,985.8862104732352,492.9127481860919,22.82455436581974,202015
6827037.277324812,426.7824351590031,1009.5775243835241,673.3952098258217,26.96750582040299,202015
6826801.4169682255,444.7409929670515,1033.4810175698778,862.8473248541642,31.513696384231974,202015
6826560.005159674,460.03114029485886,1058.7194411737162,1058.9209059874493,36.32335287027395,202015
6826295.7369234245,487.4276727503429,1096.401912696435,1253.1383872469112,41.29510388285123,202016
6826066.840393359,476.1260090744094,1127.0073025425768,1457.70318796524,46.32310705966236,202016
6825823.1000423115,481.6350454989189,1285.146064166627,1532.3401394188443,51.77870860447287,202016
6825599.750025867,467.82909626217906,1274.7151115023655,1774.139909842473,57.56585652709402,202016
6825346.556469661,482.9191935396278,1249.1167775886136,2031.8036091719082,63.60395003960294,202016
6825120.350709901,471.02461968466736,1267.9245437790637,2244.7108984427678,69.9892281934648,202016
6824868.601536855,483.729519319561,1246.5997574891003,2498.6569256578105,76.41226068036185,202016
6824593.977261291,509.6888262491543,1258.6020050545203,2728.776675487166,82.95523192072046,202017
6824342.544347078,506.8444357356631,1240.71026274946,2994.3270143358536,89.57394010381032,202017
6824127.498064204,476.43748210187823,1204.7276775449784,3269.2837090244134,96.05306712684826,202017
6823954.923535203,425.0820918833727,1195.3896455332904,3496.1848606058866,102.41986677706684,202017
6823647.059161411,500.65638788491236,1240.4953685033759,3677.0031691560675,108.78591304640092,202017
6823347.643576563,539.5877926576192,1253.913401994788,3917.7199539700478,115.13527481575323,202017
6823053.441346185,559.2698219838088,1286.65595837218,4153.238738801923,121.3941346580119,202017
6822754.194474769,575.2348112775918,1324.2562785047658,4392.6600301026165,127.65440534711068,202018
6822456.38151993,582.5738695898576,1234.0133260669606,4767.317271419417,133.7140129946293,202018
6822190.153023816,563.2746866631647,1283.442592057448,4997.62578199555,139.50391546953054,202018
6821897.579254234,571.8019147513113,1272.8122790041132,5286.614474292584,145.1920777185528,202018
6821600.222537292,581.1805310590208,1310.452286447846,5531.525429741274,150.61921545995594,202018
6821201.309884656,666.5475863591635,1322.417702527241,5827.904603619931,155.82022283775547,202018
6820802.485232788,716.7613798073761,1209.27879779712,6284.517877233358,160.95671237496228,202018
6820427.053976576,730.2926646768917,1220.5346467399818,6630.0442768519215,166.07443515660188,202019
6820027.358432635,758.1846125640026,1288.3392969210668,6928.756661363952,171.3609965179548,202019
6819659.229661992,748.7438993182197,1217.6090089808845,7371.8235704294675,176.5938592816757,202019
6819256.6711106105,772.1171118910752,1367.1781663702914,7596.076719938625,181.95689119125038,202019
6818890.927160294,754.7461533519268,1250.0284409731382,8090.947625490824,187.35061989248155,202019
6818481.968825974,778.1799604489722,1156.6966041565925,8564.709655808641,192.444953614308,202019
6818092.458061082,778.1932110501702,1161.2296001205775,8944.602056772626,197.51707097613465,202019
6817734.595728389,752.9783823895676,1140.1877833173905,9343.79000821033,202.44809769581062,202020
6817310.978571338,790.5999636499578,1185.1112574039848,9679.95982705684,207.35038055366593,202020
6816867.377981982,829.4798324277782,1298.203761707911,9966.346854682053,212.59156920200792,202020
6816422.022233049,853.9744928686596,1377.3763988174294,10302.38925942484,218.23761584183,202020
6816059.195738412,802.194316939234,1288.821380046277,10799.7502808512,224.03828375292898,202020
6815681.18013696,782.9609238757414,1231.9514690613325,11248.044254385732,229.8632157186327,202020
6815307.694587693,767.8232580246464,1188.9868389565556,11673.850149853613,235.64516547395482,202020
6814968.761219132,731.3866725313802,1140.5797195637758,12091.938633785081,241.33375498970196,202021
6814553.123773671,769.3480289491049,1084.6900604260013,12519.859952497236,246.97818445856538,202021
6814135.527650073,794.6195881004577,1089.174902432561,12902.037462807637,252.64039658829662,202021
6813775.642695099,764.691034895463,1111.9622362937814,13263.55650768365,258.1475260303901,202021
6813371.321890116,781.7179961931082,1151.7514823931158,13605.630824335823,263.57780696459827,202021
6813066.390486639,712.9095834452714,1107.2932615992052,14018.369586357967,269.0370819607451,202021
6812754.243247806,676.7852773703945,1057.7957208291516,14410.556980782716,274.61877321399675,202021
6812437.435363508,658.6252513796813,1019.9866081157719,14777.391101510431,280.5616754886914,202022
6812103.3656663615,661.379200140278,1003.1138468350993,15119.653070261185,286.48821640431214,202022
6811742.056737905,684.1255217096971,966.0575331835852,15489.57044895004,292.1897582543131,202022
6811381.4086457165,697.4826098012861,941.8402444699086,15855.490819647339,297.7776803677707,202022
6811003.643458255,719.7878548216332,978.7770478717168,16168.44266326743,303.34897578783,202022
6810638.230554281,723.4093413057938,1005.932661780136,16497.43251809849,308.9949245375233,202022
6810254.280560709,740.0165226217885,1022.9448802564698,16842.026324869836,314.73171154564443,202022
6809909.3986046575,719.3432021046953,1044.471674499601,17180.261440982536,320.5250777582292,202023
6809615.4627561355,666.2009628265969,1016.4038655349693,17549.826554394946,326.1058611100138,202023
6809133.527898218,780.5719025764737,932.8338485587504,17995.58755550951,331.47879514043257,202023
6808715.987891031,802.5671856988912,1071.9012025459217,18246.604053513183,336.9396672130664,202023
6808309.426242817,805.0929157415972,1062.713295700588,18654.377074437885,342.3904713051866,202023
6807879.998258223,825.1991013640385,1100.0768758697761,19020.809989962352,347.91577458337196,202023
6807440.784767049,845.0198990739423,1137.453621546945,19397.110182979148,353.63152935226543,202023
6806990.130795973,865.7763393271156,1160.4110681614402,19798.290467994448,359.3913285451291,202024
6806573.005169198,852.4771900705905,1226.9323160744689,20156.473570098053,365.11175456053536,202024
6806124.190657601,868.3833807211571,1218.6399593856481,20591.719015710572,371.066986583536,202024
6805645.347199308,901.9168317625939,1237.6190089951967,21011.81577801507,377.3011819208547,202024
6805209.526964995,888.684873704308,1285.5043759933822,21406.785848748274,383.497936560304,202024
6804724.62493508,921.271289174367,1516.5990851563142,21621.35576896578,390.1489216239924,202024
6804255.3671234185,924.9150381533279,1415.0358067384207,22181.551259641008,397.1307720492304,202024
6803733.223075451,969.0936239608001,1365.696560956998,22702.18131243984,403.8054271907685,202025
6803217.418059362,991.4295658713563,1366.7621517206164,23187.872082583628,410.51814046190475,202025
6802672.565390209,1027.969548345623,1386.2876902665764,23669.66062200317,417.516749174808,202025
6802158.094853098,1025.2591780073253,1340.2501846519397,24225.86218120784,424.53360303487,202025
6801611.9157002065,1049.9848476636655,1405.035346458072,24675.45495837452,431.6091472970365,202025
6800980.066028985,1131.525012944497,1418.9896946218607,25204.539392469545,438.879870978321,202025
6800421.159895837,1124.4485936903623,1510.4634388936538,25671.561646233436,446.36642534541306,202025
6799776.390255763,1186.4181179823142,1508.7014610509814,26248.46848156378,454.0216836395572,202026
6799125.92523813,1229.0011589438734,1555.3595833635786,26801.860527545683,461.8534920170958,202026
6798632.081310188,1131.848466637698,1639.233644676498,27301.15145256436,469.68512593330337,202026
6798010.487492852,1173.47225687874,1710.6969165835656,27801.824296884683,477.51903680109183,202026
6797366.353645328,1215.160722676787,1690.556217990776,28416.468569156033,485.4608448478703,202026
6796641.658516803,1303.545204747798,1669.9650852919917,29065.415773737157,493.4154194209279,202026
6795959.213783351,1323.7464566171363,1650.4587452432647,29739.172403650875,501.4086111388739,202026
6795332.542979845,1293.798291598038,1765.2893401098672,30273.020880098975,509.34850834915324,202027
6794484.89703321,1446.0630831606386,1662.9393251617219,31062.78737602575,517.3131824426662,202027
6793678.99605081,1506.5851708753426,1643.6734325102932,31819.352093298185,525.3932525059167,202027
6792746.546670857,1643.600701980135,1689.4838550890934,32560.874898466074,533.4938736083844,202027
6791780.039910967,1753.5744380331998,1762.3333427516436,33336.209285006335,541.8430232419735,202027
6790758.981486792,1852.1183465881595,1333.0483286371252,34680.076702206745,549.7751357772515,202027
6789702.939564075,1946.2852264335,1245.5481667104436,35721.61228486254,557.6147579191286,202027
6788677.938708896,1982.3676751059327,1290.8691999873815,36657.20147842804,565.6229375837573,202028
6787670.381815422,1988.1614521080792,1251.2373242951855,37690.49475157717,573.7246565984766,202028
6786580.185968276,2056.841118666914,1228.7465589456529,38726.391479779406,581.8348743329103,202028
6785296.455514505,2256.179538122425,1382.103777672654,39648.88367082442,590.377498877288,202028
6784051.241356128,2345.8876455686445,1544.6232689070255,40632.583689286934,599.6640401105208,202028
6782777.635312488,2412.649034773444,1371.9190259633933,42002.50944382969,609.2871829463214,202028
6781447.02418091,2510.1751298870136,1617.6016049350023,42979.859173337165,619.3399109324508,202028
6780144.1618098235,2538.258207029655,1554.2648329189788,44307.80349738583,629.511652843193,202029
6778526.868472256,2808.880092944837,1708.0410290654227,45490.41803684108,639.7923688941356,202029
6777021.560976442,2881.071412848576,1762.9052604978183,46858.11827493526,650.3440752778823,202029
6775413.475874312,3007.789902641816,1898.5623747754992,48193.06230304879,661.1095452231476,202029
6773697.896410129,3166.5378430457563,1956.3271241627053,49681.27854859813,671.960074065964,202029
6772000.502518975,3248.677239060068,2033.2662965434522,51208.466462831624,683.0874825906488,202029
6770157.983530641,3417.8815978077373,2305.2113598951028,52598.10641335479,694.8170983029037,202029
6768214.164859054,3585.809320437169,2101.6579438091007,54565.49481350016,706.8730632012991,202030
6766470.100795713,3539.864042323675,2235.3656901013082,56209.51403132061,719.155440543112,202030
6764572.365281578,3632.301438968541,2340.5715318793855,57897.16370615968,731.5980414162315,202030
6762665.325897664,3695.3274565098836,2446.0084912536513,59622.72022329567,744.6179312788072,202030
6760690.899533094,3789.3960484902946,2673.929006916552,61261.20884349522,758.5665680059882,202030
6758744.093318779,3814.902466282284,2521.7406937565565,63320.24721606296,773.016305121204,202030
6756785.484577344,3842.2624414138354,2476.670798538368,65281.54511932301,788.037063383158,202030
6754614.146278381,4027.832990206739,2504.507010868867,67224.06059809084,803.4531224541059,202031
6752369.140632242,4200.745134032625,2634.750006649538,69150.47788113335,818.8863459438395,202031
6750124.748985503,4302.78836164732,2699.446009876455,71212.41626780569,834.6003751694764,202031
6748036.784222311,4237.117570419337,2601.4722761001867,73448.11739911427,850.5085320570863,202031
6745844.574239107,4278.975881524954,2499.9726167042036,75684.3584996058,866.1187630603314,202031
6743559.575675151,4386.055364022914,2709.308601704908,77637.18432560076,881.876033521712,202031
6741254.9956581,4458.2563512372,2645.15088330095,79917.907469151,897.6896382125476,202031
6738944.343734188,4504.331114915962,2509.6866719158666,82302.29684348028,913.341635501592,202032
6736953.374365204,4286.4615237315,2565.5419068803562,84439.12719506976,929.4950091156022,202032
6734759.998597876,4313.901679284892,2617.969241231864,86536.11996658001,946.0105150283814,202032
6732659.274171516,4255.632365286107,2595.772153750707,88700.36675352286,962.9545559252253,202032
6730543.921839012,4234.148003609657,2657.4958408563853,90757.56833267376,980.8659838489082,202032
6728394.469719829,4248.611773908806,2744.1438861872443,92787.28623880733,999.4883812682905,202032
6726335.745035027,4181.0815974245115,2636.9812494896523,95002.44820121407,1017.743916845135,202032
6724183.937353088,4213.884869222738,2557.0180387554356,97183.44929148232,1035.7104474516357,202033
6722114.295720864,4172.543097331648,2604.018771351542,99229.16006195304,1053.9823485000593,202033
6720151.505815066,4060.1324345168146,2515.5005403290734,101374.18725649937,1072.6739535884624,202033
6718221.336002128,3966.044584098192,2408.679499198245,103486.24635129845,1091.6935632767904,202033
6716277.025583686,3923.2833881402107,2417.6509618677533,105445.54245142253,1110.4976148833,202033
6714317.417762747,3909.6277400751724,2432.8206472949446,107385.14718938516,1128.986660498449,202033
6712397.29502273,3869.0354735802052,2398.3687917423244,109362.00895451143,1147.291757436389,202033
6710585.583565506,3757.536718510099,2296.1620440873758,111368.87802345544,1165.8396484408731,202034
6708871.846694831,3614.1497001327502,2228.0550932327606,113274.86761661901,1185.0808951843467,202034
6707231.926641141,3469.6333661751337,2163.327911762541,115104.16766410554,1204.944416815862,202034
6705454.254821272,3492.826582412132,2199.5975418467215,116801.96326069212,1225.3577937773684,202034
6703772.758613545,3429.104590415134,2150.261613470476,118575.4200539804,1246.4551285886107,202034
6702211.657647397,3295.002987777888,2058.1595785603345,120340.29582981575,1268.8839564487864,202034
6700667.075064037,3201.808504270107,2000.0574319230468,122012.73462104687,1292.3243787226631,202034
6699004.633740372,3240.588443721887,2037.710222589538,123575.1624276437,1315.9051656728482,202035
6697410.717053898,3208.228620829932,2003.0364683822274,125212.55624664461,1339.4616102457323,202035
6695910.435691486,3114.469592206161,1942.362330717658,126843.30359259776,1363.4287929921984,202035
6694305.58165335,3140.756240267865,1915.8204393174337,128424.28090605578,1387.560761008613,202035
6692770.9327492295,3100.446476545228,1851.3082888340768,130040.19178182853,1411.12070356248,202035
6691304.268187374,3025.2499051952427,1881.7467140707768,131528.1690460422,1434.5661473178636,202035
6689819.013782625,2993.2744905555264,1869.0344696500008,133034.184466937,1458.4927902318834,202035
6688462.526922021,2871.190730816509,1790.6100241572658,134566.58905522633,1483.083267778207,202036
6686935.553232281,2929.186836893342,1655.2381857982903,136146.23749091732,1507.7842541097011,202036
6685416.474269062,2966.4627209653727,1809.0614285689924,137449.60516126905,1532.3964201329954,202036
6683918.844382778,2968.685386787014,1845.6924612883176,138884.11453718066,1556.6632319650862,202036
6682469.346129273,2930.575357884547,1821.1097537678934,140372.25844556274,1580.7103135102805,202036
6681095.779244028,2845.969179834094,1724.4838740826206,141902.9795535249,1604.7881485284558,202036
6679600.586138444,2890.738006864416,1654.5918476949205,143398.91801760666,1629.1659893879646,202036
6678169.818101738,2872.1027902363394,1755.3214883842481,144723.3290713489,1653.4285482901935,202037
6676725.492515209,2866.987248891887,1695.6324612117046,146209.15499895625,1676.7327757284675,202037
6675326.063647533,2830.953549489541,1720.3844081739953,147597.10255158055,1699.495843220875,202037
6674038.517631685,2719.6714380847766,1683.4062156071275,149010.23935462322,1722.1653599968263,202037
6672638.467527711,2743.8202915295906,1757.233525311697,150288.9551258373,1745.5235296080943,202037
6671259.3348644925,2739.331498313404,1732.7110082710706,151673.87625873977,1768.7463701806041,202037
6669901.9700258095,2719.738307312266,1717.3967367080938,153042.8955395783,1791.9993905888707,202037
6668639.151955391,2632.730949963079,1665.4079333214197,154420.61559244333,1816.0935688776603,202038
6667100.004919055,2801.034689915049,1749.2119031537334,155683.43146959494,1840.3170182778986,202038
6665670.139627815,2814.58574445541,1760.1460414252613,157064.80791416118,1864.3206721397617,202038
6664260.353848391,2806.982064070155,1774.3160285623394,158444.15150709232,1888.1965518807092,202038
6662935.75897151,2733.952035860932,1726.5019031574063,159865.92640901,1911.8606804580304,202038
6661471.4173088055,2801.983154955083,1768.4417519603112,161196.8214977145,1935.3362865622048,202038
