S,E,I,R,M,epiweek
8535231.041889135,84.57142857142887,151.09723890457838,47.622776723791915,4.666666666666667,202014
8535173.632335061,96.94437285207987,195.06540609339163,47.624969351358516,5.732916642997053,202014
8535098.636500526,118.29982706654904,228.68772324641483,66.15918141549379,7.216767745563766,202014
8535011.98093489,140.4361629765129,272.00861639526886,85.4340282039004,9.140257534614289,202014
8534915.730399553,161.49939578686713,315.20491915020045,115.16718234254478,11.398103167413995,202014
8534800.517342707,189.34955065963192,366.36200404241015,148.83650236762446,13.934600221908278,202014
8534660.29445096,226.19841767899626,433.48826183806904,182.31578816134888,16.703081360919906,202014
8534519.512328511,248.4911774580154,458.05810513597305,273.3358090349169,19.602579858692483,202015
8534369.30349663,269.8255996322141,550.9341443228763,306.11885914679857,22.81790026659891,202015
8534181.551112913,311.4112735329185,551.022154283456,448.68434472107435,26.3311145492775,202015
8533989.87263161,339.7348083153008,552.1574187793204,607.3871946327268,29.847946662824572,202015
8533777.291730497,375.2261750685513,724.656676715757,607.3871946745995,34.43822304427836,202015
8533536.852101076,417.8899159286034,821.1376804308103,702.8359594087166,40.28434315673905,202015
8533264.013294017,468.9208385944253,871.9509373641546,867.5071455156071,46.60778451001291,202015
8533014.487816095,481.7496930386379,959.097386926508,1010.3456228654713,53.31948107447741,202016
8532721.30715649,523.6575494559178,1011.970541943923,1201.6563646439038,60.4083874675063,202016
8532412.295908676,561.4941709527421,1053.89093724224,1423.5842303989439,67.73475273023028,202016
8532108.702307617,581.7587006676457,1328.8651271553892,1423.5842303989439,76.08963416224016,202016
8531779.85143411,612.1961431208035,1372.8176828143241,1668.4238005604025,85.71093939585936,202016
8531419.727678105,656.2313950529341,1524.5383192431564,1822.3425090759397,96.16009852318554,202016
8531042.262203278,696.2821934095415,1682.8142814814512,1989.9119248770446,107.72939695522277,202016
8530653.700896302,728.6731024631467,1761.9541808399556,2254.5161205317,120.15569986351863,202017
8530251.4567728,759.0081613892479,1828.4630944727696,2546.7737635213803,133.29820781570865,202017
8529823.096555643,798.0311655574408,1905.3687972041082,2845.352728317823,147.15075327622236,202017
8529376.439504243,836.3787902319382,2020.791417218881,3123.6695443803956,161.72074392287107,202017
8528897.64783499,884.9248085953575,2129.8233759958157,3429.483281678115,177.12069873955764,202017
8528421.942545287,912.6124507060849,2341.470040435968,3649.2540958892946,193.72086768038292,202017
8527921.13605255,948.5767839532848,2469.750898753769,3967.958545473609,211.57771926768078,202017
8527402.654158877,983.9644963934725,2546.7051882856554,4355.482794826074,230.19336161676577,202018
8526870.640872218,1015.4374375178603,2527.4271868994547,4856.480028011523,249.01447535291325,202018
8526323.659650002,1047.7246936860465,2732.5510738434273,5146.52236676788,268.5422156995242,202018
8525763.402184714,1077.6064646883863,2924.8744417051603,5463.570492825145,289.5464160658437,202018
8525164.731868282,1124.102044398334,2841.4759101603263,6077.764751492253,310.9254256655545,202018
8524532.453711076,1180.1429361362414,2950.4424540088653,6523.542377435504,332.41852134251394,202018
8523911.347759938,1205.7201240111308,3123.6492017279907,6923.310090723216,354.97282359862464,202018
8523221.298943833,1275.763686695781,3328.7756707731132,7314.242654816321,378.91904388031753,202019
8522541.955005873,1309.0631217777075,3431.353949605603,7832.6139204516985,404.01400229114057,202019
8521848.828279983,1340.447566042906,3585.232926857775,8314.425763570067,430.065463543777,202019
8521128.049968952,1379.5280443991276,3476.178962510775,9078.990414499398,456.2526096351518,202019
8520415.58385021,1398.2430279480732,3598.005030836671,9624.647421025276,482.52066997726564,202019
8519696.956350973,1414.484784974062,3726.243149461644,10171.597421813436,509.718292775825,202019
8518953.882044539,1442.1766109463858,3649.2778368048735,10936.582997579257,537.080510128744,202019
