S,E,I,R,M,epiweek
623845.6112951086,55.72070799391157,55.71561601882478,28.57142849764621,3.3809523809523805,202014
623828.9414559907,60.7215996669032,53.81846262617464,41.56766749269286,3.9508142234629218,202014
623807.0920167363,69.54826213480547,56.494426421441375,51.3203922879092,4.544902419502987,202014
623785.8453608997,76.22712982602184,59.15397160374717,62.53796704980585,5.235570620679529,202014
623766.4114737684,80.04191862559384,60.72885782127534,75.79681946876102,6.020930315922868,202014
623737.0091122071,92.195877072771,61.019078296338975,91.94810509984865,6.827827323894535,202014
623700.4070356779,108.6236780393341,58.9230072592448,113.34486325451559,7.701415769030843,202014
623665.2668321225,120.7684385497349,59.14420173246089,135.1208001602607,8.699727435157357,202015
623634.8437877836,126.48216646393217,62.60347683314709,155.29939440594367,9.77117451340252,202015
623601.1550471713,134.10392236274555,65.61489800201993,177.25972767550758,10.866404788464177,202015
623566.722244638,141.01137449942473,68.22773025254112,201.0770861988045,11.961564411217449,202015
623534.8219585262,144.36442213869555,63.05054133694451,233.75845987761895,13.00461812051192,202015
623494.4195863807,154.8474303503856,67.83430259879631,257.8700419899785,14.028638680035975,202015
623460.2618391289,157.61934472253807,70.99841826617147,285.01655335309783,15.103844529206238,202015
623425.347001279,160.7162852484742,73.78225661887171,312.90720879449634,16.247248059095096,202016
623393.7466848776,160.30180221935143,69.04867311864048,348.5173014491436,17.385538335220694,202016
623365.8399285637,156.49942838548165,58.83308127631734,389.38439695337695,18.443164821052527,202016
623340.5764148264,151.03025420006895,53.78623540602917,424.1448688639499,19.462226703326383,202016
623315.1413595775,146.76867529521758,51.64882759463746,454.9120974482597,20.52904008414243,202016
623291.3124828056,141.743116991236,50.01680773116798,484.2331441054579,21.694448366414964,202016
623263.725612125,141.0370576312813,52.00837691415424,509.31532350725496,22.913629822126293,202016
623239.1820385612,137.6635728364497,52.052300502035195,535.9478468676767,24.154241232490808,202017
623216.3516355937,133.33265670991779,51.94099269296099,561.9796740581759,25.395040945108892,202017
623198.8833116938,124.99626940076917,53.94333109034507,584.5148317086184,26.66225610637646,202017
623179.893335256,119.50180273684714,53.50757559169884,608.2186457157627,27.878640699567054,202017
623159.8629925709,115.8848604411085,50.1082892853251,634.0790966139634,29.064761088761458,202017
623149.4658245818,104.196499682502,46.70581554082522,658.3056519796022,30.326208215284563,202017
623143.2939243261,90.87077204273581,48.176417934320696,675.0634467707644,31.59543892614634,202017
623136.3745467968,80.63757917836838,47.87689693676844,691.3199240340203,32.79105305411575,202018
623127.308614761,74.21079061781238,47.606874303158925,705.9370988491919,33.93662146892061,202018
623118.9995930444,68.25976279872302,46.20949192212067,720.4502207839809,35.08093145084174,202018
623113.1846976916,61.11929499294214,43.07529279119404,735.397518445182,36.22319607917952,202018
623105.9181526314,56.593439069669195,40.56796370420916,748.5102241168543,37.410220477872954,202018
623104.545503582,47.556372815566355,40.577450812682756,757.6675449921331,38.65312779764517,202018
623101.6058676003,41.620757853759194,40.5484165771815,765.3313515333715,39.893606435448255,202018
623094.5807186358,40.41967871010528,40.56255032263142,772.3044791798384,41.13257315165872,202019
623090.6724217004,36.60737183039407,40.57936996844056,778.7678749478649,42.372961552989025,202019
623083.0709546793,36.833404737709074,39.02968304786299,786.4795139223646,43.586443612866326,202019
623077.2567527292,35.39557906160811,38.42305184705567,793.147192605204,44.777423757112615,202019
623071.9869698544,33.72097522583396,36.878263452109806,800.5153837868627,45.89840768086535,202019
623065.7390061904,33.23444522873894,34.246736732551156,808.8819893224488,46.89782252590642,202019
623064.8192135412,28.009977604255504,29.17217806107415,819.221177535713,47.77745325776826,202019
623060.2332108124,27.049822594935932,25.365517408593217,827.771905852416,48.579543331685386,202020
623055.3175545628,26.566524862173456,22.82813919334545,834.9038129495179,49.383968432120525,202020
623050.2354293386,26.317699240271207,20.69839730182726,841.6037338860497,50.14474023314964,202020
623045.7280431628,25.599980226194056,19.47463096806522,847.3399686148415,50.857377028052674,202020
623040.3214932483,25.835024908235688,19.053320464034613,852.2887158109068,51.50144556854033,202020
623035.3902872086,25.594508455791097,18.672411365096565,857.2929753748944,52.04981759572108,202020
623034.1473120354,22.035113630985983,16.59915054268049,863.6905120103447,52.527911780659416,202020
623030.2378083777,21.55609364834444,16.001483296006935,868.225614818599,52.97899985943593,202021
623026.944142951,20.602091916435697,15.227212368830138,872.7946492440799,53.431903519662086,202021
623023.5809797149,19.88584941563597,14.663320263679331,877.0096141686993,53.860236437218056,202021
623019.5797997537,19.88274059825194,14.44331203916161,880.8055471560184,54.288600453017224,202021
623015.0587528432,20.35777590990746,14.679292726647187,884.2345579340224,54.669620586449916,202021
623013.8168953164,17.749475596222943,13.408303755732772,889.0447886194556,54.98053671240726,202021
623011.5401809086,16.560027398852746,12.511095861976589,893.1453151149743,55.243380715767834,202021
623010.5256063965,14.434274211689235,11.044767211591815,897.5537721179907,55.44158006246498,202022
623007.3557354786,14.666447143401637,10.44045060924258,900.9764788897105,55.560887879257095,202022
623004.3986911551,14.66255114534607,10.03535118538581,904.2473432200361,55.65606329424175,202022
623000.664493332,15.373764413888312,9.951427133458528,907.2592576045942,55.75105751619911,202022
622998.8647463131,14.186390049854083,9.76961999080663,910.3326172288466,55.84662641758063,202022
622996.5248398988,13.709017612762286,9.58364481375762,913.2405155381343,55.9419821366039,202022
622993.7612468448,13.70618613640212,9.483079339931583,916.0122640191496,56.03722365981043,202022
622991.516221585,13.229315089785128,9.343067358605744,918.7787803210651,56.13261564564087,202023
622988.5887501368,13.46426248571967,9.34330559429576,921.3758665343453,56.227815248929645,202023
622984.8321616532,14.403571396081045,9.546578103733653,923.8946950547012,56.322993792360656,202023
622981.9232899143,14.396587926067081,9.618450591014808,926.643274738493,56.41839683028638,202023
622971.3038749045,21.49614851308249,12.767619950097286,926.9295140465827,56.50284258582791,202023
622966.8400506722,21.502005710688234,14.141643603223757,929.9182669085438,56.59803310547684,202023
622957.9654791858,25.68923835694755,16.238224669023218,932.417902206175,56.689155582158975,202023
622949.4061258036,28.594634843554015,18.088645478198654,936.1472221686521,56.76337170607156,202024
622940.4784333957,31.39433916849557,19.914022139360547,940.4023478697206,56.81085742680228,202024
622932.7749590442,32.56192955814014,21.37630683921726,945.428309915115,56.858494643467736,202024
622923.2926971337,35.12995368649785,23.049526389262574,950.6218433103444,56.90597948034579,202024
622913.8067812178,37.233418604958665,25.75051931506775,955.2558107594987,56.95347010281293,202024
622904.4016175102,38.86865097947515,27.99488772314527,960.7338140557673,57.00102973150109,202024
622895.4283004492,39.80166790719427,29.434874209387228,967.2865228354508,57.04863459897828,202024
622887.2876067642,39.80032847077112,30.056111532212217,974.7596880511785,57.096265181680096,202025
622880.4262400549,38.63221272640579,29.65716392475075,983.1404724198594,57.14391087415073,202025
622873.032119804,38.16252445121815,29.363499619179365,991.2503141764537,57.1915419492545,202025
622865.9904941802,37.46058467916999,29.051512741469786,999.2582269289204,57.23918147029083,202025
622857.8102025747,37.92474797645212,29.346849448449195,1006.6313981036992,57.28680189671948,202025
622847.9934298263,39.78637593458903,29.931572972765522,1013.9542856729945,57.334335593375,202025
622839.5950976381,40.01782812129108,30.432415373193933,1021.5726926191486,57.3819662483383,202025
622829.3552920873,41.88291888543861,31.86371137387586,1028.4685374757391,57.429540177687315,202026
622820.2717514298,42.34748011706201,32.44646870646243,1036.4571390026376,57.47716074418679,202026
622812.6296943148,41.41274621905296,32.07485353914409,1045.3579087411006,57.524797186062806,202026
622799.5290425761,45.607814383785154,32.90067278860547,1053.3901496810654,57.572320570581184,202026
622797.66566289,38.85745740761005,32.91228233422339,1061.9445861926456,57.62001117571234,202026
622788.169519024,40.25320910997921,32.91431788924342,1069.9953582817466,57.6675956951224,202026
622784.2815449811,36.290373168961395,29.68279356946956,1081.03017453889,57.71511374162263,202026
622780.6902378674,32.79415246107778,26.77905883201295,1090.9739450027555,57.7626058366363,202027
622775.508649349,31.392558331044114,25.46623946110704,1098.822347282559,57.81020557614814,202027
622771.3794651827,29.292686007722562,23.733939823312856,1106.7361127035274,57.857796282556734,202027
622767.6808331385,27.19506773257029,22.116444703388705,1114.1022874878206,57.905366937563215,202027
