S,E,I,R,M,epiweek
5822114.477149056,110.8571428620914,133.76421054758424,69.09197372508916,5.809523809523809,202014
5822050.970894304,117.14570238161004,129.27662167766434,129.28879101514704,7.3179906220867394,202014
5821971.135330699,134.1990124614253,145.80898982187372,173.68099658911632,9.175670428596767,202014
5821887.43851958,147.68294437562804,183.2321008754507,204.1569843273624,11.489450842040567,202014
5821791.657278511,165.3975784424338,227.4946989568528,235.08073708966614,14.369707000857382,202014
5821679.39908945,189.32768194110898,292.10855991350684,255.158473154637,18.006195540565006,202014
5821583.985770321,190.39300021272226,346.3289216823432,290.8039863165416,22.488321467158563,202014
5821453.890412743,217.87663577016843,359.90286729924543,374.9014666940806,27.428617493512867,202015
5821332.053316824,228.59553968671617,393.5217388695919,447.1159870598997,32.713417560170214,202015
5821205.48295793,238.49474247626188,417.2298495810323,534.3884031358793,38.40404687731861,202015
5821075.506787323,247.7873041584657,471.7117943052902,594.3253884705426,44.668725743050224,202015
5820936.677240644,260.06388997017115,508.71134577488414,676.950003336565,51.597520275012506,202015
5820792.155963096,271.47798361943626,539.2382293359516,772.1113177876272,59.01650616144611,202015
5820646.837434458,279.3871525470856,583.1827334241892,857.6427375249558,66.94994204692092,202015
5820504.119571249,282.2049577926968,619.8896615241073,952.4523378562172,75.33347157882974,202016
5820358.352925315,286.3452703791092,661.4064679966605,1043.7476098329498,84.14772647804459,202016
5820206.953798196,293.17100434737273,682.658204726587,1157.806964924577,93.41002780691969,202016
5820057.613435175,295.72358793273617,703.2740210381362,1274.4051532415808,102.98380261392782,202016
5819904.350192098,300.25253011372547,708.5623952171557,1408.043288125404,112.79159444666232,202016
5819757.092890179,298.3718061003547,728.974205089124,1526.71677066112,122.84432797145936,202016
5819606.424639663,299.8285250403067,773.4274890220696,1620.963720048847,133.3556262270098,202016
5819451.927556712,303.49052665064204,751.6714158542742,1782.7136387592338,144.1968620249199,202017
5819289.786945372,311.6261428721054,745.2654683976701,1932.272136752576,155.04930660760124,202017
5819140.881553367,306.3194241081641,741.9502556487934,2079.0117607572165,165.83700612075802,202017
5818978.530640487,313.4823559440851,732.1549769200707,2233.306036275531,176.5259903753446,202017
5818819.825445952,314.7515759493191,706.0454054759622,2406.429837891116,186.9477347334226,202017
5818657.353992146,318.5099294053322,673.2234000943872,2587.9779720158035,196.93470633978635,202017
5818459.903320462,348.41231543406315,646.8807628139033,2772.3251863646337,206.47841492616587,202017
5818293.932365047,342.55350374224025,669.5125845431678,2911.968345874643,216.03320079432288,202018
5818118.051543857,346.4820173966377,669.4040962495123,3074.318034827418,225.74430767023668,202018
5817935.910673028,353.92382515310067,705.5933110558096,3202.8466208294585,235.72556993484696,202018
5817747.08989202,363.320486169732,695.7935567292603,3381.9123313975147,245.88373368378078,202018
5817546.2741841655,378.11314272123394,666.3554797701545,3587.5114412866255,255.74575205700583,202018
5817323.741735026,404.4591555636947,666.3938498514245,3774.0082046640714,265.3970548950168,202018
5817096.931711265,423.5111166941914,646.782988217219,3991.8720003497187,274.902183474597,202018
5816864.106450638,440.2294782630556,663.2394290496602,4182.026064490037,284.39857756034405,202019
5816621.311220557,457.7460988249594,646.9136350468049,4414.147218175122,293.8818273965016,202019
5816368.377298097,477.026063070409,684.2255969119105,4601.110741988793,303.2602999324124,202019
5816109.0037174905,493.2934717992571,663.2265524488943,4855.997525536142,312.4787327257353,202019
5815843.504355063,508.4581796812054,696.9647582539935,5063.572983659936,321.499723342638,202019
5815565.767152325,527.1560921357516,722.9735491174472,5287.483959597171,330.61924682505133,202019
5815277.963373477,546.4040656450333,750.0726753843087,5519.899715368383,339.66017012631886,202019
5814988.811532119,559.1686009398663,766.1928753037575,5771.263494712027,348.56349692552084,202020
5814703.728303372,563.4588793103998,777.6175839023759,6031.605144243335,357.5900891718649,202020
5814413.642675878,570.1829445600395,789.943532451786,6293.520570519959,366.7102765912447,202020
5814119.870227054,576.9164200561603,781.8010947177657,6579.565122437401,375.84713573587925,202020
5813811.940227436,592.6634623058445,819.8023654717052,6824.531154250533,385.06279053708784,202020
5813503.041821125,602.6681682547706,838.3420894649382,7095.647385501463,394.3005356550297,202020
5813180.734566655,618.822479707439,825.3661259784117,7405.715700448821,403.361127211384,202020
5812855.120800311,631.1787797822421,812.3827209040643,7723.037389194146,412.2803098097275,202021
5812541.785372206,629.2397336634318,799.330103042981,8042.582398433232,421.06239265567683,202021
5812227.178024819,628.2537272295938,726.5352177032936,8422.53676396996,429.49626627938295,202021
5811877.235191573,656.3089391512283,718.0623112838539,8744.724065823097,437.6694921699274,202021
5811532.662481641,669.276250383867,739.2291579427194,9046.89713214835,445.9349778856416,202021
5811191.60530625,673.8944304269214,739.5235463727801,9374.660785310476,454.31593164160137,202021
5810838.508468974,686.985040480685,764.5675643750432,9681.09653724172,462.8423889300584,202021
5810482.930232622,695.9357692208779,752.145057220224,10031.55963417443,471.4293067643867,202022
5810130.973260729,699.1415651549405,781.6858011365214,10342.068688318193,480.1306846634754,202022
5809787.388681141,694.8395284932915,811.0491423903127,10651.555533186038,489.1671147916877,202022
5809409.847850794,719.9498593702449,915.6694139758255,10890.016320558121,498.5165553036503,202022
5809026.42028455,738.6317532054182,952.4667667196915,11208.246008936207,508.23518659008374,202022
5808613.404205027,772.388965762734,943.6106315994105,11586.519071214212,518.0771263977415,202022
5808205.896869031,789.4779379694903,966.4443921165189,11944.175281133786,528.0055197505128,202022
5807823.357989244,779.1101259227194,929.9865978469852,12363.691009605513,537.8542773815858,202023
5807440.804790432,773.3419056422523,934.7255340730133,12737.57775746332,547.5500123910869,202023
5807031.469316799,790.2674140752348,912.0995133681389,13143.031429455314,557.132326303466,202023
5806612.6864874745,808.3676569633568,912.2614617133926,13534.082481823192,566.6019120266453,202023
5806192.755930117,819.6691759302745,867.7122615101524,13977.907993079387,575.9546393631362,202023
5805790.151961042,814.6011623586895,940.4854441855377,14303.2878712378,585.4735611767607,202023
5805403.138197294,797.8050813970157,880.3622951254392,14757.587283295901,595.107142887518,202023
5805014.751933011,788.9644825419009,867.3766225710375,15158.25303453434,604.6539273419106,202024
5804612.43013543,794.3515086925861,854.5007861878905,15558.665105458185,614.0524642325531,202024
5804205.568251897,801.521753872652,825.6635300847154,15977.953148505903,623.2933156412054,202024
5803833.83382145,778.282780546818,825.7894018780114,16363.599276181774,632.494719944065,202024
5803460.621939509,764.8399588564945,804.6310915754933,16762.342691455353,641.5643186044205,202024
5803100.562867998,746.4834476052026,796.2725832555569,17140.20578507386,650.4753160685519,202024
5802751.3614753,726.3939969498738,766.4356468417108,17530.669465739706,659.1394151697396,202024
5802406.539742752,711.8003055997004,757.5063966051908,17890.584597641933,667.5689574028493,202025
5802065.789124907,698.9072664991445,731.9322951165755,18261.568245328985,675.8030681498125,202025
5801716.279313932,697.5719999485029,676.262941030716,18660.25696646156,683.628778627738,202025
5801408.071700921,665.0463959796505,671.8153219089817,18997.85265251794,691.2139286724832,202025
5801085.212856535,656.2204643853798,627.9833107215433,19366.148696145417,698.4346722130875,202025
5800810.8257931005,613.0656717007372,580.5496235363205,19724.443430659267,705.1154810033546,202025
5800520.668481925,600.220117629992,583.159070741328,20018.593929924686,711.3583997795085,202025
5800207.423399757,610.2463986697329,597.8132702981395,20301.033808397537,717.4831228777671,202026
5799888.86059391,620.8660701321667,600.2652591021715,20600.386801103985,723.6212757503012,202026
5799591.644822896,610.5164966247047,593.0277909252071,20909.144757525548,729.6661320267101,202026
5799292.225302517,605.4004010260408,593.296134902111,21207.40698373338,735.6711778195673,202026
5798992.639967732,602.9469562062624,583.6711727636864,21513.125798805977,741.6161044910191,202026
5798670.117962066,618.5515796520922,532.475753781714,21865.63100056846,747.2237039315473,202026
5798334.945237351,639.3093679828902,551.2504312179991,22155.795974293513,752.6989891551149,202026
5797992.085095315,657.9070576601368,555.8103921586238,22469.91103960584,758.2864152604676,202027
5797649.357603143,668.7589110646792,546.2179599517222,22805.81737038915,763.8481554523299,202027
5797274.725102066,699.9047710398569,522.6224370075976,23167.521951132087,769.2257387553193,202027
5796892.6638846835,724.1322957505495,485.05582228467904,23557.86185319149,774.2861440908697,202027
5796506.590139415,743.8034991414577,516.2881022448333,23888.174402368695,779.1438568305678,202027
5796102.210458031,768.3856089199462,487.1021400292034,24292.494927455176,783.8068655660633,202027
5795660.728536878,813.0226066465884,471.87510209598213,24700.094237757177,788.2795166237485,202027
5795218.945543409,839.800447991028,451.68725020015194,25130.975421269584,792.5913371316594,202028
5794761.458125592,869.6063254156809,470.9572543706582,25535.28237537136,796.6959192515972,202028
5794298.557524547,891.2418931417951,466.1907612674137,25977.41420189462,800.5956191512269,202028
5793813.1616905965,923.5648487185292,506.43428998010575,26386.552018363287,804.2871523434616,202028
5793310.354865373,955.6128433917237,512.0783130719102,26848.117621594847,807.8363565701111,202028
5792768.460309428,1009.4228691598177,621.7321931580182,27222.978463283944,811.4061649720038,202028
5792197.568475129,1061.0405245635766,613.4678430885737,27746.934650988846,814.9885062317388,202028
5791607.1358584585,1107.4484537752253,596.3434686881648,28304.659734486348,818.4124845932018,202029
5791023.558945821,1130.9570782578942,605.4192937287054,28852.29506890191,821.7696132921584,202029
5790376.736938087,1197.6976718291594,690.2136176926372,29344.18002484885,825.1717475438023,202029
5789730.817925994,1234.8919640464921,699.7838977048331,29939.931549987446,828.5746622683429,202029
5789060.591672584,1276.3201994805445,699.9733235336743,30565.119058574473,831.9957458286651,202029
5788379.664599436,1310.6754270152273,729.0799057850859,31179.078969397175,835.5010983684658,202029
5787671.322308697,1352.7240075821805,750.161482428433,31820.788601982706,839.0035993121775,202029
5786949.9738206025,1388.4013561522643,760.6504975210887,32492.51908306414,842.4552426624631,202030
5786210.386747122,1425.4326521059372,803.7542274225119,33148.29391715727,846.1324561951675,202030
5785437.148387181,1474.8361002740037,863.064281924466,33808.8063571627,850.1448734604852,202030
5784681.232836355,1491.0165127890473,922.8045219979699,34484.49986595337,854.4462629059835,202030
5783875.413256002,1539.7507378779078,972.4816770817832,35187.35376241898,859.0005666213566,202030
5783054.429071615,1581.0275057063432,1011.985212173585,35922.79567530133,863.7625352046325,202030
5782238.0442616455,1601.4702498296783,1016.4650735059979,36709.305447429506,868.7149675902655,202030
5781385.971123835,1642.8898106347403,1054.7638111445044,37476.46607668706,873.9091776992718,202031
5780551.604138629,1652.9223806665925,1053.3040906204699,38296.88096442437,879.2884256605294,202031
5779694.828804327,1678.3801127592553,1117.9671360929967,39057.92592080852,884.898026013045,202031
5778823.031628975,1704.241267696131,1127.2690773245824,39888.776932519315,890.6810934865648,202031
5777936.073677977,1733.3226872414002,1193.2879590118541,40674.596906844155,896.7187689264478,202031
5777071.321893155,1732.1116384910406,1204.266815511778,41523.29153268557,903.0081201575397,202031
5776189.21622388,1745.0930542283436,1216.9647896240317,42373.36002807457,909.3659041939803,202031
5775299.6059774505,1759.5668291646707,1262.3161216559527,43196.63512112474,915.8759506055682,202032
5774432.104504122,1751.1245729148602,1307.5952666715216,44020.54850281085,922.6271534818663,202032
5773585.670691636,1728.6839951860281,1320.0176053036437,44869.96952652399,929.6581813514546,202032
5772711.550413845,1734.7057086025993,1240.8371657117475,45810.070536570245,936.8361752719248,202032
